signal,n,win_rate,win_rate_barrier,expectancy,expectancy_R,n_barrier,mae,mfe,avg_duration,sharpe_like,sharpe_R,last_updated
PINNING_RISK,504,0.405,0.395,-3.3547,0.0558,501,-4.943,4.9339,60,-0.185,0.064,2026-07-01 16:36:21
ZERO_CROSS_UP,588,0.444,0.406,-1.4662,-0.0111,586,-18.6397,17.1804,60,-0.028,-0.01,2026-07-01 16:33:21
VIX_REGIME_CONFIRM,1000,0.371,0.356,3.1128,-0.0024,1000,-22.3139,16.1768,60,0.06,-0.003,2026-07-01 16:07:21
SWEEP_ACCELERATION,174,0.385,0.2,-1.5272,-0.0126,275,-26.9038,19.5518,60,-0.033,-0.015,2026-07-01 15:14:21
CALL_SURGE,147,0.429,0.397,-29.3627,0.0357,146,-75.5992,40.3116,60,-0.297,0.031,2026-06-30 09:55:38
ZERO_CROSS_DOWN,780,0.544,0.464,-0.9283,0.1267,778,-18.5426,19.4918,60,-0.016,0.114,2026-07-01 16:37:21
ZERO_PROXIMITY_RESISTANCE,1000,0.343,0.332,-1.1585,0.0233,1000,-12.4561,12.7204,60,-0.023,0.032,2026-07-01 16:36:21
IMBALANCE_REVERSAL,1000,0.398,0.377,-3.0925,0.0191,1000,-30.7921,36.4712,60,-0.036,0.018,2026-07-01 13:43:22
DELTA_DIVERGENCE_BEAR,1000,0.331,0.313,4.9728,-0.0373,1000,-23.7633,18.1329,60,0.092,-0.04,2026-07-01 15:57:21
REGIME_TRADE_CONFIRM,1000,0.421,0.389,-9.96,-0.0179,1000,-41.6331,28.3696,60,-0.119,-0.018,2026-07-01 16:36:21
FAILED_SQUEEZE,136,0.375,0.26,-6.3174,-0.1638,131,-49.1872,56.2977,60,-0.043,-0.161,2026-07-01 09:29:20
DELTA_DIVERGENCE_BULL,187,0.364,0.333,0.7833,-0.0119,183,-8.016,9.0103,60,0.026,-0.011,2026-07-01 15:31:21
CHARM_MOMENTUM_EOD,55,0.364,0.418,5.6744,-0.1224,55,-15.3125,26.5623,60,0.059,-0.121,2026-07-01 15:31:21
ABSORPTION_REVERSAL,5,0.4,0.6,-37.55,0.9,5,-6.15,44.55,60,-0.752,1.095,2026-06-30 08:25:47
PUT_SURGE,29,0.586,0.379,0.6455,-0.081,29,-25.2353,9.1212,60,0.027,-0.08,2026-06-30 12:12:41
