Time,Activo,Strike,Type,Contracts,Premium,Price,IV,Delta,Gamma,DealerState,SPOT,Side,Rel,Moneyness
2026-08-12 08:32:36,SPY,773.0,UNUSUAL_PUT_VOL,5861,934830.0,1.6,18.99,-0.498,0.100106,SHORT_GAMMA,772.98,UAP,ATM,0.02
2026-08-12 08:33:36,SPY,774.0,UNUSUAL_CALL_VOL,5266,576627.0,1.1,18.73,0.39,0.097736,SHORT_GAMMA,772.86,UAC,ATM,1.14
2026-08-12 08:41:36,SPY,773.0,UNUSUAL_PUT_VOL,6314,981827.0,1.56,17.93,-0.502,0.107283,SHORT_GAMMA,772.94,UAP,ATM,0.06
2026-08-12 08:41:36,SPY,772.0,UNUSUAL_PUT_VOL,5216,618096.0,1.19,19.0,-0.402,0.098159,SHORT_GAMMA,772.94,UAP,ATM,-0.94
2026-08-12 08:47:36,SPY,772.0,UNUSUAL_PUT_VOL,5336,632316.0,1.19,18.1,-0.422,0.105134,SHORT_GAMMA,772.69,UAP,ATM,-0.69
2026-08-12 08:49:36,SPY,774.0,UNUSUAL_CALL_VOL,6854,798491.0,1.17,17.04,0.439,0.112714,SHORT_GAMMA,773.43,UAC,ATM,0.57
2026-08-12 08:49:36,SPY,769.0,UNUSUAL_PUT_VOL,5044,133666.0,0.27,19.1,-0.127,0.052949,SHORT_GAMMA,773.43,UAP,BELOW,-4.43
2026-08-12 08:50:36,SPY,775.0,UNUSUAL_CALL_VOL,5630,410990.0,0.73,16.16,0.327,0.108927,SHORT_GAMMA,773.48,UAC,ABOVE,1.52
2026-08-12 08:57:36,SPY,773.0,UNUSUAL_CALL_VOL,5102,528057.0,1.04,16.8,0.412,0.114265,SHORT_GAMMA,772.21,UAC,ATM,0.79
2026-08-12 08:57:36,SPY,772.0,PUT_BLOCK_BUY,7890,1053315.0,1.33,17.53,-0.473,0.111971,SHORT_GAMMA,772.21,BAP,ATM,-0.21
2026-08-12 09:01:36,SPY,772.0,UNUSUAL_PUT_VOL,5372,604350.0,1.12,16.68,-0.437,0.117075,SHORT_GAMMA,772.5,UAP,ATM,-0.5
2026-08-12 09:05:36,SPY,772.0,UNUSUAL_PUT_VOL,6443,885912.0,1.38,17.74,-0.481,0.112041,SHORT_GAMMA,772.13,UAP,ATM,-0.13
2026-08-12 09:06:36,SPY,770.0,UNUSUAL_PUT_VOL,5910,328005.0,0.56,17.78,-0.249,0.089027,SHORT_GAMMA,772.38,UAP,BELOW,-2.38
2026-08-12 09:11:36,SPY,772.0,UNUSUAL_PUT_VOL,5616,564408.0,1.0,16.57,-0.409,0.117891,SHORT_GAMMA,772.72,UAP,ATM,-0.72
2026-08-12 09:21:36,SPY,772.0,UNUSUAL_PUT_VOL,6028,629926.0,1.04,15.57,-0.444,0.129429,SHORT_GAMMA,772.4,UAP,ATM,-0.4
2026-08-12 09:24:36,SPY,778.0,UNUSUAL_CALL_VOL,5670,42525.0,0.08,15.66,0.053,0.035349,SHORT_GAMMA,773.01,UAC,ABOVE,4.99
2026-08-12 09:27:36,SPY,774.0,UNUSUAL_CALL_VOL,5628,447426.0,0.8,14.63,0.388,0.134697,SHORT_GAMMA,773.16,UAC,ATM,0.84
