NDX: Timestamp,NDX: Open,NDX: High,NDX: Low,NDX: Close,NDX: Volume
05-09-2025 17:15:00,23652.44,23652.44,23652.44,23652.44,0.00
05-09-2025 17:12:00,23652.44,23652.44,23652.44,23652.44,0.00
05-09-2025 17:09:00,23652.44,23652.44,23652.44,23652.44,0.00
05-09-2025 17:06:00,23652.44,23652.44,23652.44,23652.44,0.00
05-09-2025 17:03:00,23652.44,23652.44,23652.44,23652.44,0.00
05-09-2025 17:00:00,23652.44,23652.44,23652.44,23652.44,0.00
05-09-2025 16:57:00,23652.44,23652.44,23652.44,23652.44,0.00
05-09-2025 16:54:00,23652.44,23652.44,23652.44,23652.44,0.00
05-09-2025 16:51:00,23652.44,23652.44,23652.44,23652.44,0.00
05-09-2025 16:48:00,23652.44,23652.44,23652.44,23652.44,0.00
05-09-2025 16:45:00,23652.44,23652.44,23652.44,23652.44,0.00
05-09-2025 16:42:00,23652.44,23652.44,23652.44,23652.44,0.00
05-09-2025 16:39:00,23652.44,23652.44,23652.44,23652.44,0.00
05-09-2025 16:36:00,23652.44,23652.44,23652.44,23652.44,0.00
05-09-2025 16:33:00,23652.44,23652.44,23652.44,23652.44,0.00
05-09-2025 16:30:00,23652.44,23652.44,23652.44,23652.44,0.00
05-09-2025 16:27:00,23652.44,23652.44,23652.44,23652.44,0.00
05-09-2025 16:24:00,23652.44,23652.44,23652.44,23652.44,0.00
05-09-2025 16:21:00,23652.44,23652.44,23652.44,23652.44,0.00
05-09-2025 16:18:00,23652.44,23652.44,23652.44,23652.44,0.00
05-09-2025 16:15:00,23652.44,23652.44,23652.44,23652.44,0.00
05-09-2025 16:12:00,23652.44,23652.44,23652.44,23652.44,0.00
05-09-2025 16:09:00,23652.44,23652.44,23652.44,23652.44,0.00
05-09-2025 16:06:00,23652.44,23652.44,23652.44,23652.44,0.00
05-09-2025 16:03:00,23652.44,23652.44,23652.44,23652.44,0.00
05-09-2025 16:00:00,23652.34,23652.44,23652.34,23652.44,0.00
05-09-2025 15:57:00,23622.97,23654.68,23617.06,23654.68,0.00
05-09-2025 15:54:00,23606.34,23635.93,23606.34,23622.73,0.00
05-09-2025 15:51:00,23634.97,23634.97,23612.51,23612.51,0.00
05-09-2025 15:48:00,23624.60,23635.93,23622.71,23635.21,0.00
05-09-2025 15:45:00,23628.87,23637.73,23624.00,23624.53,0.00
05-09-2025 15:42:00,23635.15,23636.56,23623.04,23628.56,0.00
05-09-2025 15:39:00,23630.83,23640.58,23626.58,23634.90,0.00
05-09-2025 15:36:00,23639.86,23648.22,23628.45,23630.40,0.00
05-09-2025 15:33:00,23624.11,23640.73,23621.89,23639.89,0.00
05-09-2025 15:30:00,23647.07,23648.87,23622.82,23624.16,0.00
05-09-2025 15:27:00,23652.16,23653.74,23646.03,23646.67,0.00
05-09-2025 15:24:00,23648.71,23655.33,23647.99,23652.74,0.00
05-09-2025 15:21:00,23636.56,23648.92,23632.57,23648.71,0.00
05-09-2025 15:18:00,23642.88,23644.76,23636.01,23636.35,0.00
05-09-2025 15:15:00,23635.71,23648.54,23632.06,23642.86,0.00
05-09-2025 15:12:00,23634.06,23637.07,23629.01,23635.81,0.00
05-09-2025 15:09:00,23629.11,23636.65,23628.80,23634.57,0.00
05-09-2025 15:06:00,23628.52,23638.44,23628.03,23629.39,0.00
05-09-2025 15:03:00,23613.69,23628.87,23613.69,23628.31,0.00
05-09-2025 15:00:00,23619.25,23619.25,23606.68,23613.31,0.00
05-09-2025 14:57:00,23602.40,23619.94,23601.54,23619.94,0.00
05-09-2025 14:54:00,23602.57,23604.25,23595.63,23602.26,0.00
05-09-2025 14:51:00,23611.54,23612.95,23598.55,23602.54,0.00
05-09-2025 14:48:00,23614.85,23621.05,23611.79,23612.44,0.00
05-09-2025 14:45:00,23612.36,23615.73,23607.49,23614.56,0.00
05-09-2025 14:42:00,23604.15,23612.51,23600.41,23612.31,0.00
05-09-2025 14:39:00,23610.02,23611.46,23603.25,23604.00,0.00
05-09-2025 14:36:00,23602.01,23617.06,23600.48,23610.14,0.00
05-09-2025 14:33:00,23620.51,23620.96,23602.31,23602.31,0.00
05-09-2025 14:30:00,23606.77,23620.98,23606.77,23620.53,0.00
05-09-2025 14:27:00,23594.88,23609.54,23594.88,23607.11,0.00
05-09-2025 14:24:00,23612.01,23612.53,23594.44,23594.76,0.00
05-09-2025 14:21:00,23613.11,23616.95,23605.09,23611.94,0.00
05-09-2025 14:18:00,23603.47,23614.65,23603.47,23613.20,0.00
05-09-2025 14:15:00,23594.69,23605.34,23594.27,23603.29,0.00
05-09-2025 14:12:00,23592.51,23593.65,23580.65,23593.30,0.00
05-09-2025 14:09:00,23585.51,23593.13,23581.93,23592.15,0.00
05-09-2025 14:06:00,23588.70,23590.66,23580.14,23585.62,0.00
05-09-2025 14:03:00,23576.17,23588.30,23571.35,23588.17,0.00
05-09-2025 14:00:00,23577.44,23586.02,23575.01,23576.17,0.00
05-09-2025 13:57:00,23565.43,23580.55,23564.04,23578.41,0.00
05-09-2025 13:54:00,23578.04,23578.04,23563.49,23564.73,0.00
05-09-2025 13:51:00,23574.69,23581.09,23565.47,23577.52,0.00
05-09-2025 13:48:00,23575.78,23575.96,23565.82,23574.58,0.00
05-09-2025 13:45:00,23572.24,23578.47,23567.56,23575.88,0.00
05-09-2025 13:42:00,23580.03,23580.03,23554.54,23571.66,0.00
05-09-2025 13:39:00,23591.25,23594.88,23578.60,23580.23,0.00
05-09-2025 13:36:00,23603.66,23605.43,23584.63,23592.12,0.00
05-09-2025 13:33:00,23598.53,23606.29,23593.52,23603.87,0.00
05-09-2025 13:30:00,23600.82,23601.90,23592.79,23598.49,0.00
05-09-2025 13:27:00,23608.30,23612.72,23598.14,23600.37,0.00
05-09-2025 13:24:00,23620.06,23624.17,23607.42,23608.49,0.00
05-09-2025 13:21:00,23611.91,23621.79,23608.36,23619.89,0.00
05-09-2025 13:18:00,23613.83,23615.21,23601.90,23612.28,0.00
05-09-2025 13:15:00,23610.51,23619.13,23608.73,23613.56,0.00
05-09-2025 13:12:00,23607.15,23613.61,23602.93,23610.51,0.00
05-09-2025 13:09:00,23587.52,23607.92,23587.52,23607.80,0.00
05-09-2025 13:06:00,23575.37,23591.71,23570.67,23587.15,0.00
05-09-2025 13:03:00,23591.61,23597.51,23572.42,23576.12,0.00
05-09-2025 13:00:00,23617.58,23617.58,23590.09,23590.27,0.00
05-09-2025 12:57:00,23594.31,23618.05,23593.75,23617.86,0.00
05-09-2025 12:54:00,23580.46,23593.77,23579.33,23593.72,0.00
05-09-2025 12:51:00,23579.94,23586.50,23574.52,23580.62,0.00
05-09-2025 12:48:00,23580.97,23596.33,23577.35,23580.64,0.00
05-09-2025 12:45:00,23602.60,23613.61,23581.20,23581.61,0.00
05-09-2025 12:42:00,23606.20,23607.38,23593.93,23602.93,0.00
05-09-2025 12:39:00,23583.59,23606.46,23576.34,23606.46,0.00
05-09-2025 12:36:00,23567.09,23584.10,23563.39,23583.92,0.00
05-09-2025 12:33:00,23587.66,23587.66,23566.25,23566.62,0.00
05-09-2025 12:30:00,23588.51,23594.08,23579.70,23589.31,0.00
05-09-2025 12:27:00,23599.65,23601.45,23583.61,23585.95,0.00
05-09-2025 12:24:00,23596.54,23609.05,23587.90,23599.70,0.00
05-09-2025 12:21:00,23608.37,23613.12,23580.31,23595.53,0.00
05-09-2025 12:18:00,23600.18,23610.74,23595.19,23608.50,0.00
05-09-2025 12:15:00,23615.22,23621.12,23600.25,23600.59,0.00
05-09-2025 12:12:00,23601.21,23617.98,23601.21,23615.69,0.00
05-09-2025 12:09:00,23588.51,23601.90,23586.76,23601.11,0.00
05-09-2025 12:06:00,23575.25,23588.82,23565.05,23588.82,0.00
05-09-2025 12:03:00,23576.54,23578.32,23564.95,23575.72,0.00
05-09-2025 12:00:00,23582.74,23592.15,23571.72,23575.11,0.00
