strike,oi_c,oi_p,vol_c,vol_p,oi_net,vol_net,gex,vex,dex,inv_gex,inv_vex_call,inv_vex_put
28080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28050.0,19.0,0.0,14.0,0.0,19.0,14.0,4711.516189847472,3471.643508308663,0.020511552832075397,0.0,0.0,0.0
28040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28000.0,140.0,0.0,90.0,0.0,140.0,90.0,51569.284433734865,33151.68285025813,0.21437202563046043,-0.018015687647113424,-0.018015687647113424,0.0
27990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27950.0,24.0,0.0,3.0,0.0,24.0,3.0,39854.06444006275,4981.758055007844,0.18164859477254325,0.0024866988981184354,0.0024866988981184354,0.0
27940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27900.0,41.0,0.0,27.0,0.0,41.0,27.0,137706.37272506382,90684.68447748105,0.6223986191280506,0.005324011561617742,0.005324011561617742,0.0
27890.0,38.0,0.0,5.0,0.0,38.0,5.0,78183.75999724945,10287.336841743348,0.32052605198399364,-0.004621199799678652,-0.004621199799678652,0.0
27880.0,21.0,0.0,2.0,0.0,21.0,2.0,83706.99537592626,7972.094797707263,0.37011171110016283,-0.0026417685953359733,-0.0026417685953359733,0.0
27870.0,39.0,0.0,4.0,0.0,39.0,4.0,183163.8628768431,18786.037218137753,0.8107836383776656,0.010017901301978455,0.010017901301978455,0.0
27860.0,0.0,0.0,52.0,0.0,0.0,52.0,0.0,309692.2369349556,0.0,0.1475312037741057,0.1475312037741057,0.0
27850.0,78.0,0.0,7.0,0.0,78.0,7.0,540335.9711966299,48491.689722774485,2.4228260238534305,0.0216848596983726,0.0216848596983726,0.0
27840.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,-244385.07664197343,0.0,-0.019429322979359336,0.0081386733399998,-0.027567996319359137
27830.0,2.0,0.0,4.0,0.0,2.0,4.0,18967.991594577423,37935.983189154846,0.0850890791982084,0.018533649121747466,0.018533649121747466,0.0
27820.0,4.0,0.0,2.0,0.0,4.0,2.0,43458.05768654048,21729.02884327024,0.19420257625091253,0.011046286820517184,0.011046286820517184,0.0
27810.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,193402.8289879324,0.0,0.09976433305077995,0.09976433305077995,0.0
27800.0,133.0,0.0,105.0,0.0,133.0,105.0,1398542.8124081155,1104112.746637986,5.845467213432759,0.7281772464221996,0.7281772464221996,0.0
27790.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,211818.81744681345,0.0,0.11206225222312984,0.11206225222312984,0.0
27780.0,1.0,0.0,5.0,0.0,1.0,5.0,20514.485297350708,102572.42648675354,0.09178708057841489,0.05633807520746616,0.05633807520746616,0.0
27770.0,12.0,0.0,9.0,0.0,12.0,9.0,284944.12611964595,213708.09458973442,1.2716149250258324,-0.11077942078090144,-0.11077942078090144,0.0
27760.0,5.0,0.0,14.0,0.0,5.0,14.0,143614.05555526668,402119.35555474675,0.6455258019231191,0.18742760939096942,0.18742760939096942,0.0
27750.0,98.0,0.0,24.0,0.0,98.0,24.0,3463532.085355083,848211.9392706326,15.752325224380936,0.4179711455162375,0.4179711455162375,0.0
27740.0,0.0,0.0,98.0,0.0,0.0,98.0,0.0,4186589.6707880734,0.0,-2.1232730155430417,-2.1232730155430417,0.0
27730.0,10.0,0.0,35.0,0.0,10.0,35.0,529879.4714649026,1854578.1501271592,2.4682140135127706,1.0174474098951927,1.0174474098951927,0.0
27720.0,5.0,0.0,20.0,0.0,5.0,20.0,324481.3324250308,1297925.3297001233,1.532107815748529,-0.6466055234702637,-0.6466055234702637,0.0
27710.0,18.0,4.0,115.0,1.0,14.0,114.0,999093.6805273958,9261915.609974964,-390.3648182169433,4.427530819783067,4.476630083135801,-0.04909926335273345
27700.0,720.0,7.0,501.0,3.0,713.0,498.0,59642160.594949275,41560561.53446484,-421.3880702016584,24.20355517176407,24.37449244053357,-0.17093726876949947
27690.0,24.0,0.0,11.0,0.0,24.0,11.0,3027768.9409131734,1387727.4312518714,15.309603266097582,0.5995733587092493,0.5995733587092493,0.0
27680.0,12.0,0.0,20.0,0.0,12.0,20.0,1795972.1451428828,2993286.9085714715,9.169588557505914,-1.2675295670333744,-1.2675295670333744,0.0
27670.0,19.0,0.0,6.0,0.0,19.0,6.0,3492755.1132811443,1102975.2989308878,18.272691464196704,0.5028148020731439,0.5028148020731439,0.0
27660.0,17.0,0.0,6.0,0.0,17.0,6.0,3420400.0429549874,1207200.0151605837,17.522201641516823,1.8126896252617946,1.8126896252617946,0.0
27650.0,104.0,3.0,158.0,2.0,101.0,156.0,27412366.039178398,42522377.10007814,-136.75180767985387,16.882127709490558,17.115282584887456,-0.23315487539689925
27640.0,18.0,0.0,36.0,0.0,18.0,36.0,5940985.246276436,11881970.492552873,33.675288369439514,-3.3389491664919437,-3.3389491664919437,0.0
27630.0,20.0,0.0,84.0,0.0,20.0,84.0,8029733.970363198,33724882.67552543,47.20864309476991,12.251321259074578,12.251321259074578,0.0
27620.0,2.0,0.0,36.0,0.0,2.0,36.0,959666.9915579454,17274005.848043013,5.826494836255103,-5.812143205067867,-5.812143205067867,0.0
27610.0,5.0,0.0,199.0,0.0,5.0,199.0,2866315.986780592,114079376.27386756,18.089297698266506,-29.989592840771305,-29.989592840771305,0.0
27600.0,148.0,1.0,419.0,17.0,147.0,402.0,97097180.33548671,266654152.28212786,529.6083796487458,71.6497178202197,75.07459301196882,-3.4248751917491154
27590.0,8.0,0.0,24.0,2.0,8.0,22.0,6384212.255623775,17727673.508450218,43.85819533897295,4.452427395627437,4.891077400072904,-0.43865000444546765
27580.0,4.0,0.0,42.0,3.0,4.0,39.0,3593604.505032338,34853812.851128794,24.793414388775737,8.920235590731126,9.629973721650758,-0.7097381309196326
27570.0,11.0,5.0,14.0,3.0,6.0,11.0,6717793.59362923,11904942.056781959,-378.4739559005718,1.9101233082489242,2.6689718726311047,-0.7588485643821805
27560.0,12.0,0.0,65.0,2.0,12.0,63.0,14546466.31409119,76467332.25292866,114.04834675230961,10.091788656526942,10.626909899268675,-0.5351212427417323
