SPX: Timestamp,SPX: Open,SPX: High,SPX: Low,SPX: Close,SPX: Volume
05-09-2025 16:54:00,6481.50,6481.50,6481.50,6481.50,0.00
05-09-2025 16:18:00,6481.50,6481.50,6481.50,6481.50,0.00
05-09-2025 16:15:00,6481.50,6481.50,6481.50,6481.50,0.00
05-09-2025 16:12:00,6481.50,6481.50,6481.50,6481.50,0.00
05-09-2025 16:09:00,6481.50,6481.50,6481.50,6481.50,0.00
05-09-2025 16:06:00,6481.50,6481.50,6481.50,6481.50,0.00
05-09-2025 16:03:00,6481.50,6481.50,6481.50,6481.50,0.00
05-09-2025 16:00:00,6481.56,6481.79,6481.50,6481.50,0.00
05-09-2025 15:57:00,6476.26,6482.16,6473.96,6482.16,0.00
05-09-2025 15:54:00,6473.19,6480.38,6472.42,6476.28,0.00
05-09-2025 15:51:00,6477.14,6477.43,6472.88,6473.13,0.00
05-09-2025 15:48:00,6476.88,6479.00,6475.07,6477.00,0.00
05-09-2025 15:45:00,6477.50,6479.99,6476.57,6476.82,0.00
05-09-2025 15:42:00,6479.15,6479.40,6475.88,6477.48,0.00
05-09-2025 15:39:00,6478.57,6480.02,6477.64,6479.03,0.00
05-09-2025 15:36:00,6480.23,6482.15,6478.05,6478.44,0.00
05-09-2025 15:33:00,6475.21,6480.31,6474.77,6480.24,0.00
05-09-2025 15:30:00,6482.03,6482.24,6474.97,6475.28,0.00
05-09-2025 15:27:00,6483.28,6483.96,6481.51,6481.98,0.00
05-09-2025 15:24:00,6482.62,6484.25,6482.51,6483.41,0.00
05-09-2025 15:21:00,6480.17,6482.70,6479.55,6482.63,0.00
05-09-2025 15:18:00,6480.79,6481.36,6479.48,6480.22,0.00
05-09-2025 15:15:00,6477.74,6482.29,6477.72,6480.75,0.00
05-09-2025 15:12:00,6477.78,6478.30,6477.00,6477.75,0.00
05-09-2025 15:09:00,6476.00,6478.21,6476.00,6477.87,0.00
05-09-2025 15:06:00,6475.22,6477.77,6475.17,6476.03,0.00
05-09-2025 15:03:00,6470.83,6475.27,6470.83,6475.22,0.00
05-09-2025 15:00:00,6473.79,6473.79,6470.03,6470.74,0.00
05-09-2025 14:57:00,6471.14,6473.80,6470.81,6473.80,0.00
05-09-2025 14:54:00,6470.62,6471.12,6469.19,6471.01,0.00
05-09-2025 14:51:00,6471.41,6471.57,6469.47,6470.61,0.00
05-09-2025 14:48:00,6471.68,6473.24,6471.00,6471.40,0.00
05-09-2025 14:45:00,6471.33,6471.82,6470.06,6471.54,0.00
05-09-2025 14:42:00,6470.06,6471.50,6469.23,6471.32,0.00
05-09-2025 14:39:00,6470.99,6471.73,6469.60,6470.02,0.00
05-09-2025 14:36:00,6468.63,6472.17,6468.35,6471.10,0.00
05-09-2025 14:33:00,6472.36,6472.39,6468.66,6468.66,0.00
05-09-2025 14:30:00,6467.27,6472.75,6467.27,6472.36,0.00
05-09-2025 14:27:00,6463.66,6467.52,6463.66,6467.38,0.00
05-09-2025 14:24:00,6468.56,6468.73,6463.55,6463.65,0.00
05-09-2025 14:21:00,6469.45,6469.83,6467.24,6468.65,0.00
05-09-2025 14:18:00,6466.95,6469.98,6466.95,6469.56,0.00
05-09-2025 14:15:00,6464.24,6467.15,6464.16,6466.86,0.00
05-09-2025 14:12:00,6463.52,6464.01,6461.06,6464.01,0.00
05-09-2025 14:09:00,6461.34,6463.54,6460.77,6463.49,0.00
05-09-2025 14:06:00,6463.28,6463.66,6460.18,6461.38,0.00
05-09-2025 14:03:00,6460.70,6463.20,6459.76,6463.19,0.00
05-09-2025 14:00:00,6461.80,6463.87,6460.53,6460.74,0.00
05-09-2025 13:57:00,6460.00,6462.52,6458.77,6461.77,0.00
05-09-2025 13:54:00,6462.67,6462.70,6459.42,6459.87,0.00
05-09-2025 13:51:00,6462.25,6463.20,6460.10,6462.62,0.00
05-09-2025 13:48:00,6462.73,6462.84,6460.36,6462.31,0.00
05-09-2025 13:45:00,6462.04,6464.15,6460.87,6462.86,0.00
05-09-2025 13:42:00,6463.96,6463.96,6457.25,6462.07,0.00
05-09-2025 13:39:00,6466.47,6467.65,6463.60,6463.99,0.00
05-09-2025 13:36:00,6470.15,6470.21,6464.53,6466.52,0.00
05-09-2025 13:33:00,6468.31,6470.72,6467.45,6470.10,0.00
05-09-2025 13:30:00,6469.20,6470.62,6467.73,6468.27,0.00
05-09-2025 13:27:00,6472.02,6472.99,6468.99,6469.13,0.00
05-09-2025 13:24:00,6475.08,6475.86,6471.97,6472.05,0.00
05-09-2025 13:21:00,6472.73,6475.45,6471.90,6475.03,0.00
05-09-2025 13:18:00,6474.52,6474.82,6471.28,6472.93,0.00
05-09-2025 13:15:00,6472.92,6475.66,6472.67,6474.48,0.00
05-09-2025 13:12:00,6472.58,6473.70,6471.44,6472.94,0.00
05-09-2025 13:09:00,6467.95,6472.81,6467.95,6472.81,0.00
05-09-2025 13:06:00,6465.46,6468.93,6464.81,6467.87,0.00
05-09-2025 13:03:00,6469.29,6471.00,6465.15,6465.67,0.00
05-09-2025 13:00:00,6475.06,6475.06,6469.09,6469.11,0.00
05-09-2025 12:57:00,6470.58,6475.03,6470.26,6475.03,0.00
05-09-2025 12:54:00,6466.73,6470.45,6466.73,6470.40,0.00
05-09-2025 12:51:00,6466.72,6468.65,6465.81,6466.84,0.00
05-09-2025 12:48:00,6466.54,6470.03,6466.18,6466.94,0.00
05-09-2025 12:45:00,6472.21,6474.33,6466.57,6466.66,0.00
05-09-2025 12:42:00,6472.19,6472.52,6469.23,6472.23,0.00
05-09-2025 12:39:00,6467.46,6472.30,6465.32,6472.30,0.00
05-09-2025 12:36:00,6464.76,6467.43,6463.37,6467.41,0.00
05-09-2025 12:33:00,6469.61,6469.61,6464.26,6464.68,0.00
05-09-2025 12:30:00,6467.91,6470.10,6466.31,6469.69,0.00
05-09-2025 12:27:00,6470.91,6471.18,6467.38,6467.82,0.00
05-09-2025 12:24:00,6469.40,6472.63,6468.40,6470.93,0.00
05-09-2025 12:21:00,6474.02,6474.39,6466.08,6469.28,0.00
05-09-2025 12:18:00,6471.86,6474.55,6470.46,6474.06,0.00
05-09-2025 12:15:00,6477.34,6478.22,6472.08,6472.09,0.00
05-09-2025 12:12:00,6474.03,6477.70,6474.03,6477.48,0.00
05-09-2025 12:09:00,6470.69,6474.20,6470.41,6473.97,0.00
05-09-2025 12:06:00,6468.26,6470.64,6464.97,6470.64,0.00
05-09-2025 12:03:00,6467.22,6468.25,6464.18,6468.25,0.00
05-09-2025 12:00:00,6467.50,6470.92,6466.12,6467.00,0.00
05-09-2025 11:57:00,6473.16,6473.31,6464.91,6467.47,0.00
05-09-2025 11:54:00,6469.79,6473.37,6467.72,6473.28,0.00
05-09-2025 11:51:00,6468.98,6472.05,6468.98,6469.79,0.00
05-09-2025 11:48:00,6473.20,6475.11,6468.95,6468.95,0.00
05-09-2025 11:45:00,6478.48,6478.48,6469.81,6473.18,0.00
05-09-2025 11:42:00,6476.68,6479.70,6476.64,6478.43,0.00
05-09-2025 11:39:00,6476.02,6477.05,6473.60,6476.61,0.00
05-09-2025 11:36:00,6474.58,6477.30,6474.20,6476.03,0.00
05-09-2025 11:33:00,6468.53,6474.45,6468.34,6474.45,0.00
05-09-2025 11:30:00,6473.09,6474.18,6467.46,6468.56,0.00
05-09-2025 11:27:00,6466.06,6473.31,6465.80,6472.89,0.00
05-09-2025 11:24:00,6467.33,6469.07,6464.76,6466.11,0.00
05-09-2025 11:21:00,6464.32,6467.53,6461.54,6467.30,0.00
05-09-2025 11:18:00,6460.95,6464.31,6457.88,6464.31,0.00
05-09-2025 11:15:00,6459.21,6463.29,6458.67,6460.74,0.00
05-09-2025 11:12:00,6451.75,6459.38,6447.59,6459.15,0.00
05-09-2025 11:09:00,6451.52,6451.82,6443.98,6451.79,0.00
05-09-2025 11:06:00,6453.45,6457.07,6449.67,6451.48,0.00
05-09-2025 11:03:00,6447.87,6455.12,6447.87,6453.11,0.00
05-09-2025 11:00:00,6452.40,6455.35,6448.13,6448.13,0.00
05-09-2025 10:57:00,6462.03,6463.87,6451.93,6452.53,0.00
05-09-2025 10:54:00,6465.74,6469.16,6461.02,6461.92,0.00
05-09-2025 10:51:00,6452.85,6465.57,6452.85,6465.47,0.00
05-09-2025 10:48:00,6459.64,6459.64,6452.65,6452.65,0.00
05-09-2025 10:45:00,6462.65,6462.65,6456.22,6459.51,0.00
05-09-2025 10:42:00,6461.59,6464.94,6459.71,6462.52,0.00
05-09-2025 10:39:00,6467.58,6469.00,6460.82,6461.18,0.00
05-09-2025 10:36:00,6465.81,6471.61,6465.26,6467.66,0.00
05-09-2025 10:33:00,6471.66,6476.30,6465.81,6465.81,0.00
05-09-2025 10:30:00,6475.76,6476.98,6471.81,6471.81,0.00
05-09-2025 10:27:00,6476.65,6481.88,6471.69,6475.87,0.00
05-09-2025 10:24:00,6482.94,6482.94,6475.42,6476.79,0.00
05-09-2025 10:21:00,6492.74,6492.74,6479.69,6483.25,0.00
05-09-2025 10:18:00,6496.16,6496.16,6485.10,6492.55,0.00
05-09-2025 10:15:00,6499.57,6501.14,6494.19,6495.98,0.00
05-09-2025 10:12:00,6505.38,6506.48,6499.77,6499.77,0.00
05-09-2025 10:09:00,6508.36,6509.55,6504.37,6505.45,0.00
05-09-2025 10:06:00,6510.30,6511.14,6507.59,6508.49,0.00
05-09-2025 10:03:00,6512.31,6515.63,6509.52,6509.97,0.00
05-09-2025 10:00:00,6520.80,6520.80,6508.86,6512.43,0.00
05-09-2025 09:57:00,6519.78,6521.35,6515.54,6521.27,0.00
05-09-2025 09:54:00,6524.08,6524.47,6517.42,6519.44,0.00
05-09-2025 09:51:00,6530.09,6530.78,6518.71,6523.61,0.00
05-09-2025 09:48:00,6523.09,6532.23,6522.16,6529.94,0.00
05-09-2025 09:45:00,6530.95,6531.94,6521.92,6523.28,0.00
05-09-2025 09:42:00,6528.13,6532.65,6528.13,6530.79,0.00
05-09-2025 09:39:00,6525.48,6531.74,6524.43,6528.26,0.00
05-09-2025 09:36:00,6528.82,6528.82,6523.54,6525.56,0.00
05-09-2025 09:33:00,6527.82,6530.92,6524.60,6528.64,0.00
05-09-2025 09:30:00,6529.08,6532.45,6525.57,6527.67,0.00
04-09-2025 16:48:00,6502.08,6502.08,6502.08,6502.08,0.00
04-09-2025 16:18:00,6502.08,6502.08,6502.08,6502.08,0.00
04-09-2025 16:15:00,6502.08,6502.08,6502.08,6502.08,0.00
