SPY: Timestamp,SPY: Open,SPY: High,SPY: Low,SPY: Close,SPY: Volume
29-08-2025 14:00:00,644.64,644.99,644.08,644.25,3.58M
29-08-2025 12:00:00,643.78,645.04,643.46,644.65,3.40M
29-08-2025 10:00:00,645.51,646.06,643.14,643.79,6.73M
29-08-2025 08:00:00,647.47,647.83,645.35,645.51,2.68M
28-08-2025 14:00:00,648.37,649.48,648.32,648.89,6.84M
28-08-2025 12:00:00,647.02,648.51,646.94,648.38,3.42M
28-08-2025 10:00:00,645.93,647.66,645.58,647.03,4.49M
28-08-2025 08:00:00,647.27,648.08,645.34,645.94,2.76M
27-08-2025 14:00:00,646.75,647.37,645.83,646.62,5.46M
27-08-2025 12:00:00,646.55,646.82,645.39,646.76,2.60M
27-08-2025 10:00:00,645.35,646.69,645.26,646.54,3.33M
27-08-2025 08:00:00,644.56,645.53,644.42,645.35,1.60M
26-08-2025 14:00:00,642.86,645.51,642.79,645.15,5.43M
26-08-2025 12:00:00,642.76,643.59,642.43,642.87,2.32M
26-08-2025 10:00:00,642.49,643.27,642.29,642.76,3.13M
26-08-2025 08:00:00,642.20,642.85,641.57,642.55,1.92M
25-08-2025 14:00:00,644.50,644.56,642.36,642.47,5.23M
25-08-2025 12:00:00,644.96,645.29,644.02,644.50,2.56M
25-08-2025 10:00:00,644.33,645.07,643.74,644.97,4.09M
25-08-2025 08:00:00,644.04,644.37,643.41,644.34,2.08M
22-08-2025 14:00:00,645.79,646.04,644.30,645.27,7.98M
22-08-2025 12:00:00,645.45,646.39,644.30,645.77,3.77M
22-08-2025 10:00:00,638.41,646.50,638.41,645.41,12.58M
22-08-2025 08:00:00,637.75,639.72,637.25,638.41,2.15M
21-08-2025 14:00:00,635.88,636.52,635.08,635.56,4.97M
21-08-2025 12:00:00,635.58,636.20,633.81,635.92,3.70M
21-08-2025 10:00:00,635.12,637.97,634.60,635.58,4.05M
21-08-2025 08:00:00,636.30,636.51,634.31,635.13,2.22M
20-08-2025 14:00:00,637.20,639.06,635.21,638.07,7.46M
20-08-2025 12:00:00,635.13,637.96,635.08,637.20,3.72M
20-08-2025 10:00:00,635.39,636.89,632.96,635.16,7.99M
20-08-2025 08:00:00,639.39,639.66,634.96,635.38,4.07M
19-08-2025 14:00:00,639.82,639.91,638.48,639.77,6.54M
19-08-2025 12:00:00,640.73,641.10,638.80,639.83,4.21M
19-08-2025 10:00:00,642.86,644.11,640.47,640.76,6.09M
19-08-2025 08:00:00,643.12,643.43,641.99,642.87,2.10M
18-08-2025 14:00:00,642.79,643.88,642.44,643.29,4.64M
18-08-2025 12:00:00,642.73,643.82,642.18,642.79,2.47M
18-08-2025 10:00:00,642.73,643.93,642.30,642.73,3.34M
18-08-2025 08:00:00,642.85,643.80,642.53,642.71,1.91M
15-08-2025 14:00:00,644.77,644.88,643.13,643.45,5.98M
15-08-2025 12:00:00,643.37,644.81,643.08,644.77,3.26M
15-08-2025 10:00:00,643.86,644.65,642.52,643.41,4.35M
15-08-2025 08:00:00,645.99,646.08,643.72,644.10,1.86M
14-08-2025 14:00:00,644.72,645.62,643.91,644.94,6.22M
14-08-2025 12:00:00,644.04,645.06,642.66,644.71,3.01M
14-08-2025 10:00:00,644.02,645.54,642.96,644.08,4.58M
14-08-2025 08:00:00,642.79,644.25,642.34,644.02,2.27M
13-08-2025 14:00:00,643.56,645.09,643.24,644.88,5.65M
13-08-2025 12:00:00,643.43,643.91,642.69,643.55,3.01M
13-08-2025 10:00:00,645.63,645.72,643.07,643.43,5.47M
13-08-2025 08:00:00,644.91,646.19,644.49,645.62,2.26M
12-08-2025 14:00:00,642.08,642.84,641.98,642.66,5.82M
12-08-2025 12:00:00,641.23,642.14,640.86,642.06,2.89M
12-08-2025 10:00:00,637.38,641.27,636.79,641.22,5.59M
12-08-2025 08:00:00,638.29,639.88,636.97,637.34,3.20M
11-08-2025 14:00:00,636.81,636.88,634.66,635.83,6.81M
11-08-2025 12:00:00,637.87,638.95,636.41,636.80,3.63M
11-08-2025 10:00:00,637.68,637.97,636.53,637.86,3.71M
11-08-2025 08:00:00,637.46,637.76,636.88,637.68,1.57M
08-08-2025 14:00:00,637.23,637.64,636.06,637.14,5.92M
08-08-2025 12:00:00,636.32,637.36,636.13,637.19,3.26M
08-08-2025 10:00:00,635.87,637.04,634.86,636.36,5.19M
08-08-2025 08:00:00,634.10,635.90,633.74,635.85,2.26M
07-08-2025 14:00:00,630.74,632.36,629.11,632.31,6.36M
07-08-2025 12:00:00,631.87,632.61,629.70,630.75,5.47M
07-08-2025 10:00:00,636.52,636.82,631.36,631.89,6.99M
07-08-2025 08:00:00,636.24,636.97,635.30,636.44,2.21M
06-08-2025 14:00:00,632.24,633.43,632.18,632.67,6.28M
06-08-2025 12:00:00,632.69,632.98,631.85,632.22,3.13M
06-08-2025 10:00:00,628.91,632.91,628.13,632.67,6.41M
06-08-2025 08:00:00,629.05,629.98,628.27,628.93,2.09M
05-08-2025 14:00:00,630.14,630.22,627.81,628.00,6.20M
05-08-2025 12:00:00,628.07,630.32,627.80,630.12,3.86M
05-08-2025 10:00:00,631.79,631.85,627.04,628.09,7.79M
05-08-2025 08:00:00,631.80,632.61,631.22,631.90,1.94M
04-08-2025 14:00:00,629.81,631.21,629.74,631.09,7.30M
04-08-2025 12:00:00,629.86,630.52,629.39,629.81,3.56M
04-08-2025 10:00:00,629.01,630.05,628.27,629.87,6.42M
04-08-2025 08:00:00,625.71,629.21,625.58,629.00,3.55M
01-08-2025 14:00:00,620.62,623.30,619.29,621.72,8.99M
01-08-2025 12:00:00,624.00,624.97,620.21,620.63,5.89M
01-08-2025 10:00:00,621.53,624.07,619.65,624.00,8.18M
01-08-2025 08:00:00,626.30,626.34,621.10,621.48,4.31M
31-07-2025 14:00:00,633.46,635.13,630.76,631.98,12.18M
31-07-2025 12:00:00,637.54,638.30,633.07,633.46,5.63M
31-07-2025 10:00:00,639.35,639.81,635.10,637.54,6.96M
31-07-2025 08:00:00,639.47,639.85,637.75,639.36,3.58M
30-07-2025 14:00:00,636.71,637.67,631.55,634.49,12.43M
30-07-2025 12:00:00,636.17,636.95,635.99,636.65,2.21M
30-07-2025 10:00:00,635.73,636.82,635.00,636.17,3.34M
30-07-2025 08:00:00,635.92,636.23,635.29,635.74,1.71M
29-07-2025 14:00:00,635.60,635.86,634.34,635.23,5.34M
29-07-2025 12:00:00,635.88,636.55,634.95,635.61,3.65M
29-07-2025 10:00:00,638.00,638.08,634.70,635.88,5.13M
29-07-2025 08:00:00,638.36,638.67,637.25,637.94,1.79M
28-07-2025 14:00:00,636.10,637.02,635.54,636.92,4.93M
28-07-2025 12:00:00,637.38,637.65,636.07,636.11,2.53M
28-07-2025 10:00:00,637.45,638.04,636.33,637.40,3.94M
28-07-2025 08:00:00,637.48,637.84,637.08,637.45,2.07M
25-07-2025 14:00:00,637.13,637.58,636.63,637.03,5.49M
25-07-2025 12:00:00,635.93,637.36,635.79,637.13,3.21M
25-07-2025 10:00:00,635.25,636.12,634.87,635.93,3.17M
25-07-2025 08:00:00,635.09,635.60,634.85,635.24,1.35M
24-07-2025 14:00:00,635.25,636.15,634.25,634.43,7.98M
24-07-2025 12:00:00,635.53,635.98,634.28,635.25,3.53M
24-07-2025 10:00:00,635.11,635.89,634.07,635.54,4.30M
24-07-2025 08:00:00,634.59,635.39,634.02,635.07,2.02M
23-07-2025 14:00:00,632.51,634.16,632.51,634.16,6.25M
23-07-2025 12:00:00,632.06,632.88,631.36,632.51,3.94M
23-07-2025 10:00:00,630.00,632.78,629.73,632.07,4.69M
23-07-2025 08:00:00,631.55,631.75,629.83,630.00,2.14M
22-07-2025 14:00:00,628.34,629.62,627.53,628.83,5.76M
22-07-2025 12:00:00,627.68,629.22,627.04,628.35,2.94M
22-07-2025 10:00:00,626.86,628.12,626.25,627.65,4.31M
22-07-2025 08:00:00,629.08,629.19,626.19,626.89,2.84M
21-07-2025 14:00:00,631.16,631.27,628.34,628.76,7.31M
21-07-2025 12:00:00,631.17,631.52,630.54,631.17,2.58M
21-07-2025 10:00:00,630.58,631.54,630.38,631.18,4.70M
21-07-2025 08:00:00,628.77,630.70,628.68,630.58,2.05M
18-07-2025 14:00:00,627.09,627.76,626.66,627.59,5.27M
18-07-2025 12:00:00,628.12,628.16,626.46,627.08,3.60M
18-07-2025 10:00:00,628.75,629.35,626.91,628.12,4.58M
18-07-2025 08:00:00,629.30,629.47,628.44,628.64,1.79M
17-07-2025 14:00:00,627.43,628.40,627.14,628.00,7.35M
17-07-2025 12:00:00,627.21,627.51,626.53,627.43,3.07M
17-07-2025 10:00:00,625.79,627.26,624.85,627.21,4.66M
17-07-2025 08:00:00,624.40,626.20,624.18,625.78,1.92M
16-07-2025 14:00:00,623.11,624.73,622.73,624.18,4.95M
16-07-2025 12:00:00,621.95,623.79,621.04,623.09,3.68M
16-07-2025 10:00:00,622.12,623.37,618.07,621.93,12.72M
16-07-2025 08:00:00,623.76,624.12,622.02,622.11,2.17M
15-07-2025 14:00:00,624.60,624.87,622.08,622.12,5.66M
15-07-2025 12:00:00,624.85,624.98,622.95,624.58,3.58M
15-07-2025 10:00:00,625.66,626.40,623.81,624.83,5.18M
15-07-2025 08:00:00,627.51,627.86,625.59,625.65,2.28M
14-07-2025 14:00:00,624.68,625.16,624.30,624.74,4.46M
14-07-2025 12:00:00,623.94,624.98,623.63,624.68,2.45M
14-07-2025 10:00:00,622.67,624.39,622.26,623.95,3.95M
14-07-2025 08:00:00,623.17,623.46,621.80,622.67,1.98M
11-07-2025 14:00:00,624.46,624.86,623.13,623.61,6.10M
11-07-2025 12:00:00,623.80,624.58,623.16,624.50,2.85M
11-07-2025 10:00:00,623.23,624.64,622.71,623.77,4.45M
11-07-2025 08:00:00,622.74,623.52,621.53,623.23,2.20M
10-07-2025 14:00:00,626.58,626.87,625.21,625.84,6.04M
10-07-2025 12:00:00,625.70,626.77,625.02,626.57,3.02M
10-07-2025 10:00:00,623.39,625.78,623.01,625.70,4.54M
10-07-2025 08:00:00,624.20,624.42,623.12,623.39,1.82M
09-07-2025 14:00:00,622.45,624.21,622.39,624.03,5.72M
09-07-2025 12:00:00,621.93,622.79,621.55,622.47,2.39M
09-07-2025 10:00:00,624.23,624.53,620.91,621.93,5.77M
09-07-2025 08:00:00,622.77,624.72,622.65,624.25,2.20M
08-07-2025 14:00:00,621.14,621.30,620.00,620.31,5.64M
08-07-2025 12:00:00,621.06,622.11,619.84,621.17,4.54M
08-07-2025 10:00:00,620.66,621.50,619.52,621.07,5.41M
08-07-2025 08:00:00,621.32,621.66,620.55,620.67,1.58M
07-07-2025 14:00:00,620.04,621.00,617.87,620.78,8.44M
07-07-2025 12:00:00,621.75,622.29,619.25,620.05,7.04M
07-07-2025 10:00:00,623.65,623.79,621.18,621.74,4.39M
07-07-2025 08:00:00,623.36,624.03,622.89,623.65,1.86M
03-07-2025 12:00:00,625.90,626.28,624.87,625.36,4.78M
03-07-2025 10:00:00,624.06,626.08,624.04,625.90,5.52M
03-07-2025 08:00:00,622.46,624.54,622.43,624.07,2.86M
02-07-2025 14:00:00,619.42,620.48,619.23,620.39,5.80M
02-07-2025 12:00:00,619.27,619.71,618.87,619.42,2.86M
02-07-2025 10:00:00,617.31,619.46,617.28,619.27,5.43M
02-07-2025 08:00:00,617.24,617.64,616.61,617.31,1.72M
01-07-2025 14:00:00,618.58,618.70,616.70,617.56,8.43M
01-07-2025 12:00:00,616.95,618.83,616.71,618.57,4.56M
01-07-2025 10:00:00,617.22,618.06,615.52,616.94,7.37M
01-07-2025 08:00:00,616.36,617.73,616.26,617.22,2.03M
30-06-2025 14:00:00,615.85,619.22,615.32,617.88,12.65M
30-06-2025 12:00:00,616.47,617.12,615.04,615.86,3.53M
30-06-2025 10:00:00,616.44,616.92,615.69,616.47,5.06M
30-06-2025 08:00:00,617.36,617.47,615.97,616.43,2.31M
27-06-2025 14:00:00,614.16,615.14,610.83,614.86,12.87M
27-06-2025 12:00:00,615.90,616.39,613.27,614.16,4.83M
27-06-2025 10:00:00,614.37,616.10,614.37,615.90,4.88M
27-06-2025 08:00:00,612.88,614.66,612.70,614.36,2.02M
26-06-2025 14:00:00,611.29,612.31,611.10,611.89,7.70M
26-06-2025 12:00:00,610.50,611.59,610.46,611.27,2.85M
26-06-2025 10:00:00,609.13,610.87,609.07,610.52,4.65M
26-06-2025 08:00:00,609.01,609.39,608.37,609.12,1.91M
25-06-2025 14:00:00,606.27,607.37,606.05,607.08,5.38M
25-06-2025 12:00:00,606.87,607.27,605.54,606.24,3.51M
25-06-2025 10:00:00,608.17,608.41,606.48,606.91,5.28M
25-06-2025 08:00:00,607.91,608.61,607.45,608.14,2.61M
24-06-2025 14:00:00,607.20,607.85,606.75,606.77,7.10M
24-06-2025 12:00:00,605.77,607.36,605.65,607.17,4.01M
24-06-2025 10:00:00,604.04,606.16,603.41,605.75,5.31M
24-06-2025 08:00:00,604.33,605.45,603.80,604.07,2.84M
23-06-2025 14:00:00,598.54,600.54,597.99,600.13,8.09M
23-06-2025 12:00:00,595.86,599.34,591.89,598.53,10.10M
23-06-2025 10:00:00,596.66,598.28,595.75,595.86,5.69M
23-06-2025 08:00:00,595.02,596.66,593.61,596.65,2.58M
20-06-2025 14:00:00,594.03,595.35,593.24,594.25,7.04M
20-06-2025 12:00:00,594.71,595.93,592.87,594.04,4.59M
20-06-2025 10:00:00,597.34,597.58,593.50,594.70,6.48M
20-06-2025 08:00:00,598.36,599.46,597.16,597.35,2.73M
18-06-2025 14:00:00,599.61,601.00,596.48,597.46,11.33M
18-06-2025 12:00:00,599.72,600.32,598.04,599.43,3.11M
18-06-2025 10:00:00,599.13,601.22,598.73,599.74,4.46M
18-06-2025 08:00:00,598.43,599.59,597.36,599.12,2.01M
17-06-2025 14:00:00,598.02,598.60,596.76,597.55,9.20M
17-06-2025 12:00:00,600.73,601.59,597.49,598.02,6.75M
17-06-2025 10:00:00,600.86,601.75,600.22,600.71,4.91M
17-06-2025 08:00:00,600.22,600.92,599.78,600.87,2.42M
16-06-2025 14:00:00,602.30,602.87,601.64,602.71,7.23M
16-06-2025 12:00:00,603.16,603.71,602.13,602.31,3.91M
16-06-2025 10:00:00,603.06,604.45,602.77,603.14,6.25M
16-06-2025 08:00:00,600.40,603.41,600.23,603.05,3.55M
13-06-2025 14:00:00,599.80,600.25,595.50,596.95,13.26M
13-06-2025 12:00:00,601.25,601.85,598.96,599.78,4.77M
13-06-2025 10:00:00,598.18,601.71,596.63,601.25,6.92M
13-06-2025 08:00:00,598.50,600.37,597.87,598.10,3.11M
12-06-2025 14:00:00,603.13,603.72,602.40,603.72,5.65M
12-06-2025 12:00:00,602.52,603.56,601.91,603.11,3.72M
12-06-2025 10:00:00,600.75,603.62,600.61,602.47,5.87M
12-06-2025 08:00:00,600.02,601.24,599.52,600.77,1.89M
11-06-2025 14:00:00,602.51,602.78,599.27,601.41,9.15M
11-06-2025 12:00:00,603.61,604.45,601.96,602.51,4.41M
11-06-2025 10:00:00,603.64,605.05,603.23,603.57,4.20M
11-06-2025 08:00:00,604.19,604.23,602.25,603.65,2.24M
10-06-2025 14:00:00,601.33,603.47,600.12,603.06,8.07M
10-06-2025 12:00:00,601.26,602.67,601.23,601.32,3.85M
10-06-2025 10:00:00,600.57,601.69,599.10,601.27,5.01M
10-06-2025 08:00:00,600.20,601.12,600.16,600.57,1.72M
09-06-2025 14:00:00,600.94,601.25,599.43,599.56,5.73M
09-06-2025 12:00:00,599.86,601.22,599.37,600.95,2.84M
09-06-2025 10:00:00,598.93,600.40,598.80,599.84,3.85M
09-06-2025 08:00:00,599.74,599.99,598.49,598.89,1.47M
06-06-2025 14:00:00,598.96,600.41,598.91,599.05,6.55M
06-06-2025 12:00:00,598.71,599.39,596.86,598.95,3.44M
06-06-2025 10:00:00,600.31,600.48,597.26,598.69,5.60M
06-06-2025 08:00:00,598.65,600.83,598.41,600.30,3.16M
05-06-2025 14:00:00,595.84,596.12,591.06,593.01,12.11M
05-06-2025 12:00:00,598.76,598.95,594.26,595.82,5.67M
05-06-2025 10:00:00,594.29,599.00,594.00,598.78,7.58M
05-06-2025 08:00:00,597.63,597.90,593.92,594.29,2.41M
04-06-2025 14:00:00,597.58,597.93,595.89,595.90,5.91M
04-06-2025 12:00:00,596.87,597.67,595.79,597.57,3.25M
04-06-2025 10:00:00,597.56,597.88,595.49,596.88,5.45M
04-06-2025 08:00:00,596.96,597.95,596.80,597.57,2.18M
03-06-2025 14:00:00,596.12,596.51,594.80,596.12,7.75M
03-06-2025 12:00:00,595.64,597.08,595.24,596.11,4.15M
03-06-2025 10:00:00,592.47,595.70,591.85,595.65,5.27M
03-06-2025 08:00:00,592.35,593.27,592.05,592.39,1.84M
02-06-2025 14:00:00,589.97,592.78,589.55,592.65,6.63M
02-06-2025 12:00:00,589.87,590.60,589.00,589.98,2.24M
02-06-2025 10:00:00,586.63,590.06,585.07,589.84,5.91M
02-06-2025 08:00:00,587.73,589.74,586.64,586.85,2.93M
30-05-2025 14:00:00,585.87,591.13,585.82,589.47,10.72M
30-05-2025 12:00:00,588.04,588.65,583.24,585.86,7.17M
30-05-2025 10:00:00,587.07,589.92,587.05,587.98,4.73M
30-05-2025 08:00:00,588.93,589.11,586.40,587.09,1.88M
29-05-2025 14:00:00,588.58,590.66,587.62,590.00,7.08M
29-05-2025 12:00:00,587.18,590.45,586.08,588.56,4.58M
29-05-2025 10:00:00,591.22,591.61,586.54,587.18,6.53M
29-05-2025 08:00:00,593.06,593.20,590.26,591.23,2.98M
28-05-2025 14:00:00,589.70,590.79,586.99,587.70,8.87M
28-05-2025 12:00:00,589.06,590.61,589.05,589.70,3.06M
28-05-2025 10:00:00,590.79,591.15,588.97,589.06,4.75M
28-05-2025 08:00:00,591.56,592.77,590.54,590.79,2.56M
