,510,507,504,501,498,495,492,489,486,483,480,477,474,471,468,465,462,459,456,453,450,447,444,441,438,435,432,429,426,423,420,417,414,411,408,405,402,399,396,393,390,387,384,381,378,375,372,369,366,363,360,357,354,351,348,345,342,339,336,333,330,327,324,321,318,315,312,309,306,303,300,297,294,291,288,285,282,279,276,273,270,267,264,261,258,255,252,249,246,243,240,237,234,231,228,225,222,219,216,213,210,207,204,201,198,195,192,189,186,183,180,177,174,171,168,165,162,159,156,153,150,147,144,141,138,135,132,129,126,123,120,117,114,111,108,105,102,99,96,93,90,87,84,81,78,75,72,69,66,63,60,57,54,51,48,45,42,39,36,33,30,27,24,21,18,15,12,9,6,3,0
72.0,197490877.20614374,196298193.28836808,195105568.76018974,193913020.74311957,192720566.9685595,191528225.79717064,190336016.2386835,189143957.97215855,187952071.3666984,186760377.50261936,185568898.19308317,184377656.00619578,183186674.2875754,181995977.18339527,180805589.6639042,179615537.54742768,178425847.52485603,177236547.18462098,176047665.03816426,174859230.54590258,173671274.14369318,172483827.26980057,171296922.39237103,170110593.0374157,168924873.81730658,167739800.4597892,166555409.8375124,165371739.9980822,164188830.1946389,163006720.9169628,161825453.92310867,160645072.27157512,159465620.35400656,158287143.92843345,157109690.15304935,155933307.62052873,154758046.39288306,153583958.03685758,152411095.65986484,151239513.94645643,150069269.1953251,148900419.35683632,147733024.07108015,146567144.70643497,145402844.39863244,144240188.0903079,143079242.57101998,141920076.51771617,140762760.5356182,139607367.19949585,138453971.09528956,137302648.8620377,136153479.23405427,135006543.0832933,133861923.46182801,132719705.64435564,131579977.17063196,130442827.8877173,129308349.99190219,128176638.07016112,127047789.14095798,125921902.69420557,124799080.73015176,123679427.79693502,122563051.02651748,121450060.1686677,120340567.62262073,119234688.466001,118132540.48053959,117034244.17406403,115939922.79817978,114849702.36099194,113763711.63415055,112682082.15341926,111604948.21188717,110532446.84485169,109464717.80530274,108401903.5288366,107344149.08671449,106291602.12566689,105244412.7929179,104202733.64477558,103166719.53699821,102136527.4950056,101112316.56185941,100094247.62178953,99082483.19689289,98077187.2144839,97078524.74242717,96086661.68964405,95101764.46885026,94123999.61846149,93153533.38049947,92190531.23124817,91235157.36135352,90287574.10203801,89347941.29412034,88416415.59659751,87493149.73167418,86578291.6633165,85671983.70668316,84774361.56614818,83885553.30009858,83005678.21127072,82134845.66210087,81273153.81541711,80420688.3018038,79577520.81613988,78743707.64715187,77919288.14534335,77104283.13635793,76298693.28870563,75502497.44681303,74715650.94252408,73938083.90044792,73169699.5548614,72410372.59816219,71659947.58303155,70918237.40237702,70185021.87262745,69460046.4468447,68743021.08415416,68033619.3008911,67331477.42626524,66636194.08087042,65947329.88956105,65264407.43059951,64586911.41003841,63914289.0335331,63245950.52673242,62581269.72973524,61919584.660718046,61260197.90899411,60602376.67928126,59945352.26850495,59288318.716932826,58630430.34141415,57970797.836921446,57308482.6335659,56642489.234080754,55971755.3512076,55295139.84222249,54611408.73446107,53919220.097174905,53217109.19975798,52503476.376330726,51776581.37742235,51034549.82732119,50275399.819148995,49497099.75107464,48697672.264523245,47875363.49103462,47028901.39119974,46157870.91493125,45263235.215309314,44348027.6366388,43418221.85885158,42483744.6246527,41559502.99613205,40666111.26926081,39829636.99912783,39078981.15627892,38438164.016770646,37908255.77469141,37428989.16870316,36801363.8057531,35534690.737038426,32532914.13227314,25392356.70233535,9792163.46808036,0.0
71.0,196203876.49072164,195028243.91141397,193852220.10092944,192675812.109022,191499027.37700984,190321873.7540567,189144359.51390684,187966493.37208146,186788284.5035396,185609742.56081352,184430877.69261873,183251700.56294847,182072222.37065533,180892454.86952588,179712410.38885337,178532101.85451207,177351542.81053936,176170747.44122952,174989730.5937425,173808507.8012334,172627095.30650643,171445510.08619648,170263769.87548354,169081893.1933436,167899899.36833894,166717808.56495458,165535641.8104806,164353421.02244952,163171169.0366289,161988909.63557577,160806667.57775635,159624468.62723735,158442339.58395138,157260308.31454533,156078403.78381288,154896656.08672193,153715096.48103943,152533757.4205623,151352672.5889609,150171876.93424287,148991406.7038439,147811299.48035556,146631594.21789637,145452331.27913615,144273552.47298062,143095301.0929266,141917621.95609358,140740561.44294104,139564167.53767702,138388489.86936352,137213579.7537231,136039490.2356479,134866276.1324089,133693994.07756306,132522702.56554668,131352461.99694233,130183334.72439805,129015385.0991696,127848679.51824903,126683286.47202887,125519276.59244211,124356722.70149958,123195699.86012955,122036285.41720566,120878559.05862284,119722602.85625568,118568501.31660075,117416341.42887014,116266212.71226186,115118207.26208651,113972419.7943784,112828947.68855849,111687891.02765313,110549352.63549553,109413438.11025563,108280255.85355194,107149917.0942952,106022535.9063006,104898229.21858028,103777116.81708941,102659321.33654761,101544968.24079128,100434185.78993353,99327104.99241062,98223859.53978214,97124585.72192515,96029422.32001583,94938510.47443166,93851993.52443036,92770016.81616804,91692727.4753126,90620274.14019062,89552806.65107377,88490475.69087835,87433432.37221017,86381827.76535104,85335812.36145502,84295535.4649107,83261144.50853696,82232784.2850299,81210596.08787526,80194716.75480127,79185277.60678846,78182403.2756963,77186210.41372919,76196806.27828132,75214287.18618704,74238736.83210285,73270224.4666867,72308802.93145731,71354506.54875112,70407348.86708379,69467320.26451111,68534385.41530357,67608480.62843995,66689511.07011383,65777347.88665239,64871825.24897419,63972737.34494652,63079835.351699464,62192824.426036164,61311360.757420056,60435048.73443786,59563438.281874985,58696022.43125085,57832235.19239302,56971449.79680142,56112977.384441204,55256066.203318134,54399901.384672195,53543605.344630234,52686238.844286695,51826802.71289581,50964240.201584324,50097439.88623172,49225238.97673225,48346426.81520398,47459748.25845426,46563906.54264084,45657565.12599807,44739347.908512495,43807837.15165245,42861568.391765885,41899021.69504222,40918608.79423579,39918656.05406532,38897383.93818722,37852884.83605243,36783102.934621915,35685822.51489271,34558674.88488244,33399179.418421764,32204841.10855596,30973335.767314736,29702824.21389727,28392447.330760356,27043061.860073708,25658276.217115957,24245824.84220067,22819258.200946026,21399790.14216782,20017887.446546588,18713759.383970164,17535326.641738724,16531870.910096535,15742980.262481429,15190938.813256716,14911090.653888673,15053090.452794561,15029303.819678202,0.0
70.0,198666535.95268145,197522640.30455795,196378048.95635757,195232760.36967993,194086773.1675819,192940086.14650345,191792698.28862664,190644608.77467304,189495816.997149,188346322.57404494,187196125.36299422,186045225.47589958,184893623.29403245,183741319.48361078,182588315.0118623,181434611.1635768,180280209.5581539,179125112.16715023,177969321.33233157,176812839.78423196,175655670.66122678,174497817.52912018,173339284.40125293,172180075.75913215,171020196.5735857,169859652.32644606,168698449.03276208,167536593.26354602,166374092.169054,165210953.5026043,164047185.64493486,162882797.6291032,161717799.16592994,160552200.66999048,159386013.2861562,158219248.91668984,157051920.24889877,155884040.78335124,154715624.86266032,153546687.70084348,152377245.41326347,151207315.04716098,150036914.61278823,148866063.11515492,147694780.58640072,146523088.11880806,145351007.89847365,144178563.23965648,143005778.61982426,141832679.71542183,140659293.4383874,139485647.9734451,138311772.81620434,137137698.81209978,135963458.1962065,134789084.6339688,133614613.26288158,132440080.73516485,131265525.26147373,130090986.65568507,128916506.38080297,127742127.59602237,126567895.20498799,125393855.905281,124220058.23916048,123046552.64557685,121873391.51346503,120700629.2363111,119528322.26796727,118356529.17967099,117185310.71819635,116014729.86503422,114844851.89646277,113675744.44432153,112507477.5572536,111340123.762117,110173758.12519589,109008458.31275965,107844304.65042302,106681380.18065058,105519770.71762505,104359564.89855659,103200854.23035006,102043733.13036446,100888298.95979655,99734652.04799,98582895.70571762,97433136.22519995,96285482.864308,95140047.81205378,93996946.13208789,92856295.68051052,91718216.99384661,90582833.14254615,89450269.54484259,88320653.73523635,87194115.08127119,86070784.44163571,84950793.75796312,83834275.572015,82721362.45923828,81612186.36897956,80506877.86094828,79405565.22685292,78308373.48551476,77215423.23921883,76126829.3786198,75042699.62322514,73963132.88436568,72888217.43769635,71818028.89270142,70752627.94748448,69692057.91838504,68636342.03577144,67585480.4998177,66539447.293299116,65498186.75255739,64461609.9029284,63429590.5712388,62401961.295598224,61378509.061792806,60358970.906243496,59343029.43784576,58330308.345118426,57320367.970975935,56312701.05502317,55306728.76236702,54301797.13818802,53297174.14815094,52292047.4853035,51285523.34319763,50276626.37090035,49264301.036081836,48247414.62453829,47224762.09452858,46195072.977406435,45157020.4663156,44109232.75505123,43050306.57117454,41978822.68146765,40893362.92324179,39792528.02082623,38674955.072252564,37539333.12827952,36384414.730581895,35209020.63241802,34012034.211073086,32792381.335363228,31548990.743177917,30280729.428713053,28986307.31777272,27664145.898251504,26312206.886086706,24927780.066256624,23507235.09740745,22045751.776023164,20537059.397093333,18973242.468814425,17344714.470827587,15640537.742686454,13849404.586398691,11961850.515263027,9974755.17171244,7900055.47330253,5780823.546997159,3718050.25248675,1903663.5525307618,618206.6204912855,64385.089896368074,-770.5199301666921,0.0
69.0,204521041.79993707,203422145.6315298,202322402.17571464,201221803.53222016,200120341.7441442,199018008.8046942,197914796.66431078,196810697.23818478,195705702.41417605,194599804.06114507,193492994.0377028,192385264.20139015,191276606.41829482,190167012.573111,189056474.57965365,187944984.39183077,186832534.01508254,185719115.51829374,184604721.04618478,183489342.83218688,182372973.21180755,181255604.63648924,180137229.68796733,179017841.0931285,177897431.73937488,176775994.69049522,175653523.20304427,174530010.74323368,173405451.0043341,172279837.92458862,171153165.7056381,170025428.83145824,168896622.08780688,167766740.58218074,166635779.76428032,165503735.44698238,164370603.82781714,163236381.5109508,162101065.52967155,160964653.36937928,159827142.99107873,158688532.85537893,157548821.9469999,156408009.79979223,155266096.52227375,154123082.8236931,152978970.0406301,151833760.16414526,150687455.86749783,149540060.53445065,148391578.28818858,147242014.0208797,146091373.42391524,144939663.01886943,143786890.18922818,142633063.21294138,141478191.29586354,140322284.6061538,139165354.30971867,138007412.6067877,136848472.76972532,135688549.18219173,134527657.37977922,133365814.0922598,132203037.28759553,131039346.21787325,129874761.46733913,128709305.00272112,127543000.22603846,126375872.03010915,125207946.85697626,124039252.75948173,122869819.46622278,121699678.45012935,120528863.00089961,119357408.30152765,118185351.50914566,117012731.84038673,115839590.66145109,114665971.58302286,113491920.56014307,112317485.99708395,111142718.85720213,109967672.77765693,108792404.18877275,107616972.43769634,106441439.9158419,105265872.18943691,104090338.13226274,102914910.05943623,101739663.86078455,100564679.13203368,99390039.30164361,98215831.75069028,97042147.9226955,95869083.41975194,94696738.08066383,93525216.03612831,92354625.73521301,91185079.93653552,90016695.6566241,88849594.06693196,87683900.32989284,86519743.3632491,85357255.520662,84196572.17534027,83037831.19211379,81881172.27206083,80726736.1524991,79574663.64391753,78425094.48430657,77278165.9904124,76134011.48477276,74992758.47709629,73854526.57874407,72719425.12991647,71587550.52081703,70458983.19077234,69333784.29328476,68211992.0205701,67093617.58862697,65978640.8936695,64867005.8632676,63758615.54124197,62653326.96476973,61550945.91580284,60451221.657336675,59353841.798807256,58258427.474409424,57164529.06374605,56071622.736058034,54979108.157138795,53886307.76118506,52792468.056858115,51696763.50529004,50598303.573861,49496143.62763253,48389300.36221426,47276772.49623051,46157567.41296443,45030734.34852301,43895404.54089385,42750838.44573521,41596479.64685023,40432014.3882812,39257434.666850336,38073101.475810744,36879803.00406693,35678800.29701571,34471850.021596566,33261190.550813228,32049473.706758227,30839620.513022386,29634575.962004945,28436936.625358224,27248428.85294832,26069229.747211024,24897157.85159028,23726832.595398348,22549039.261907153,21350783.018199895,20116929.438844327,18834965.348052643,17505260.601072382,16159999.864091529,14893596.230747856,13901931.703535004,13500756.70726402,13962037.015824499,14128738.960881546,0.0
68.0,213247882.46286502,212204116.15040994,211159481.8679121,210113967.811606,209067561.93094376,208020251.929568,206972025.26658422,205922869.1581458,204872770.57936254,203821716.26654497,202769692.71979564,201716686.20595816,200662682.76193705,199607668.19839758,198551628.1038583,197494547.84918547,196436412.59250057,195377207.28451145,194316916.67427486,193255525.31540236,192193017.57271495,191129377.62935787,190064589.49438125,188998637.0107931,187931503.86409262,186863173.59128824,185793629.59040406,184722855.13048097,183650833.3620734,182577547.32824415,181502979.97605923,180427114.16858193,179349932.69736582,178271418.29544514,177191553.65081862,176110321.4204253,175027704.24460536,173943684.7620428,172858245.62518182,171771369.5161128,170683039.16291782,169593237.35647014,168501946.96768048,167409150.96518004,166314832.43343672,165218974.59129506,164121560.8109381,163022574.63726327,161921999.8076765,160819820.27230048,159716020.2146056,158610584.07247013,157503496.55968446,156394742.68791804,155284307.7891762,154172177.53878042,153058337.97891605,151942775.54280117,150825477.07954323,149706429.8797625,148585621.7020787,147463040.80057165,146338675.95334947,145212516.49237615,144084552.3347365,142954774.01554057,141823172.72270003,140689740.33384016,139554469.45564306,138417353.46595728,137278386.5590484,136137563.7944046,134994881.14956155,133850335.57745461,132703925.06885982,131555648.7205366,130405506.80974106,129253500.8758341,128099633.80976787,126943909.95228939,125786335.20176,124626917.13254221,123465665.12496023,122302590.50788666,121137706.7150491,119971029.45618568,118802576.9041961,117632369.89944541,116460432.17236605,115286790.5854712,114111475.39583567,112934520.53901081,111755963.9352129,110575847.81845611,109394219.08907965,108211129.68983959,107026637.00539051,105840804.28455696,104653701.08428517,103465403.73355542,102275995.8148164,101085568.6596628,99894221.8544985,98702063.75080903,97509211.97338274,96315793.91837107,95121947.23144941,93927820.25452586,92733572.42744452,91539374.62894543,90345409.43878195,89151871.30038287,87958966.56080654,86766913.36202094,85575941.35481639,84386291.20401758,83198213.85122079,82011969.49920616,80827826.28066882,79646058.5732312,78466944.92317545,77290765.54236442,76117799.3469061,74948320.51285385,73782594.53434883,72620873.7839603,71463392.59457183,70310361.90816806,69161963.57063188,68018344.39466539,66879610.16683453,65745819.841243595,64616980.24322279,63493041.703303,62373895.15598515,61259371.37011133,60149243.12768899,59043231.333817564,57941016.2174116,56842254.962470815,55746607.27916969,54653770.562048875,53563526.357920654,52475799.83394993,51390733.7340479,50308777.85369246,49230794.23574419,48158176.94522392,47092983.2337288,46038069.92870004,44997224.71707377,43975276.34974475,42978160.38313432,42012907.640392,41087510.936031096,40210611.67936128,39390931.67716487,38636356.26716585,37952550.28903507,37340949.086015746,36795883.52020758,36300386.232304335,35819656.575627245,35289653.4458552,34594499.25689498,33517618.961903073,31633405.579361282,28072688.89606562,21042141.736168597,7610909.069597982,0.0
67.0,224188900.3595781,223205805.82363635,222221904.70943508,221237183.46250308,220251628.12691846,219265224.34006035,218277957.3275247,217289811.89821723,216300772.4396368,215310822.91336316,214319946.85076085,213328127.3489148,212335347.0668119,211341588.22178033,210346832.5862034,209351061.48452002,208354255.79052794,207356395.9250021,206357461.85364342,205357433.08537105,204356288.67097247,203354007.2021233,202350566.81079227,201345945.1690408,200340119.48923075,199333066.5246527,198324762.5705815,197315183.46577364,196304304.59441134,195292100.8885033,194278546.83074775,193263616.45786396,192247283.36439583,191229520.70699033,190210301.20915225,189189597.1664747,188167380.45234284,187143622.52410793,186118294.42972484,185091366.81484586,184062809.93036166,183032593.6403763,182000687.43060556,180967060.4171796,179931681.35583556,178894518.65147927,177855540.3680969,176814714.2389922,175772007.67732897,174727387.786952,173680821.37346396,172632274.9555331,171581714.7764077,170529106.81561604,169474416.80083057,168417610.2198805,167358652.3328992,166297508.18460032,165234142.61668167,164168520.2803666,163100605.64910117,162030363.03144073,160957756.58417177,159882750.32573536,158805308.15003842,157725393.8407629,156642971.08631203,155558003.49556398,154470454.61464137,153380287.94494438,152287466.96274537,151191955.1406926,150093715.9716333,148992712.9952297,147888909.82791686,146782270.1968334,145672757.9784431,144560337.24266872,143444972.30346277,142326627.7768619,141205268.6476967,140080860.34626767,138953368.8364477,137822760.71682763,136689003.33669296,135552064.92879626,134411914.76107755,133268523.30967973,132121862.45580754,130971905.70918159,129818628.46104757,128662008.26990482,127502025.18331528,126338662.09934331,125171905.17134684,124001744.25998464,122828173.43641944,121651191.54076259,120470802.79982245,119287017.50815731,118099852.77629364,116909333.34971923,115715492.50188358,114518373.00390981,113318028.17301242,112114523.00069319,110907935.36061935,109698357.2946331,108485896.37355764,107270677.1273057,106052842.53621264,104832555.57245363,103610000.77681233,102385385.85188617,101158943.2479933,99930931.7125343,98701637.7673167,97471377.07133979,96240495.61875145,95009370.71313205,93778411.64998716,92548060.02942419,91318789.61061056,90091105.60898447,88865543.32665882,87642665.99647221,86423061.71133246,85207339.30366656,83996123.03600141,82790045.96427372,81589741.84207353,80395835.4487065,79208931.24917424,78029600.33285034,76858365.6331329,75695685.50649326,74541935.85019054,73397391.0676362,72262204.35273777,71136387.96219532,70019794.3780891,68912099.52856159,67812789.52159362,66721152.634642065,65636278.55334555,64557067.00235226,63482247.85949898,62410414.43435358,61340070.58555841,60269690.39220413,59197785.65318037,58122970.778409064,57044005.47807526,55959781.25049298,54869195.190543875,53770819.501482226,52662219.601511784,51538684.688922964,50390989.40824401,49201565.91035199,47938072.99086804,46542725.235859014,44914832.70499773,42882922.85318988,40162401.75156853,36298299.081086285,30613554.303750638,22283876.390471097,11154530.848016284,1449158.0867873735,0.0
66.0,236580603.68818083,235658112.36544272,234734888.02826542,233810916.73019692,232886184.0042881,231960674.8513135,231034373.72794965,230107264.53492203,229179330.6051333,228250554.69178405,227320918.956498,226390404.9574656,225458993.63761857,224526665.31285107,223593399.66029933,222659175.70669702,221723971.8168204,220787765.68203872,219850534.30898756,218912254.00837857,217972900.38396415,217032448.321674,216090871.97893816,215148144.7742154,214204239.37674206,213259127.69651976,212312780.87455508,211365169.2733704,210416262.46779984,209466029.23608357,208514437.55127618,207561454.57298225,206607046.63942906,205651179.2598883,204693817.10745487,203734924.012192,202774462.95464468,201812396.0597277,200848684.5909874,199883288.94523638,198916168.64755505,197947282.34665358,196976587.8105833,196004041.92278016,195029600.67842537,194053219.18109632,193074851.63968384,192094451.36554122,191111970.76982942,190127361.3610163,189140573.74248236,188151557.6101813,187160261.75029626,186166634.0368295,185170621.42905703,184172169.96877295,183171224.77724722,182167730.05181146,181161629.06198677,180152864.14506403,179141376.70104173,178127107.18683016,177109995.1096254,176089979.01936367,175066996.50016573,174040984.16068977,173011877.62331977,171979611.51212704,170944119.43955958,169905333.991833,168863186.71302232,167817608.0878833,166768527.52346927,165715873.32965335,164659572.6987165,163599551.68422472,162535735.17948684,161468046.89596915,160396409.3421344,159320743.8032836,158240970.32309967,157157007.68773237,156068773.41342026,154976183.73882392,153879153.6234378,152777596.7536717,151671425.5584341,150560551.2363161,149444883.79677308,148324332.11801836,147198804.02469352,146068206.38876,144932445.25745603,143791426.01259938,142645053.5659703,141493232.59598663,140335867.83138293,139172864.38810894,138004128.16617927,136829566.3137102,135649087.7658698,134462603.86691892,133270029.08391936,132071281.82100381,130866285.34330808,129654968.81972681,128437268.4935193,127213128.98941298,125982504.76516417,124745361.71445735,123501678.92647704,122251450.6053522,120994688.14984258,119731422.38995412,118461705.97248071,117185615.88157819,115903256.0731652,114614760.1929653,113320294.33708027,112020059.80079211,110714295.74548692,109403281.69478479,108087339.74872701,106766836.3787552,105442183.6357409,104113839.56798443,102782307.60540299,101448134.61958992,100111907.31661609,98774246.56002939,97435799.15528972,96097226.55388808,94759189.85597232,93422330.40521045,92087245.18020123,90754456.0950852,89424372.23116013,88097243.93548746,86773107.64734167,85451720.25616592,84132481.76448014,82814345.03660578,81495711.47096276,80174311.55183265,78847069.4250869,77509950.90354224,76157794.62828998,74784126.45109618,73380957.36853562,71938565.35669176,70445260.91930535,68887134.56241249,67247780.93804023,65507987.84362903,63645366.90018268,61633884.32831213,59443222.37153336,57037863.15670784,54375740.20174498,51406265.3851731,48067566.9143235,44283027.38249839,39958128.06813083,34981339.38264869,29240256.038323466,22682989.511288952,15495499.87754366,8509784.477588868,3680591.607626689,2309902.5541088223,0.0
65.0,249596024.66207105,248728025.15341097,247859296.94458684,246989825.8990884,246119597.27110878,245248595.6872301,244376805.127789,243504208.9079244,242630789.6583144,241756529.3056065,240881409.05254608,240005409.35781103,239128509.91555905,238250689.63469556,237371926.61787155,236492198.1402189,235611480.62783614,234729749.63603207,233846979.82734224,232963144.94932738,232078217.81216857,231192170.26607278,230304973.17850128,229416596.41123772,228527008.79730946,227636178.11777952,226744071.07842302,225850653.28630745,224955889.2262904,224059742.23745346,223162174.48948783,222263146.95904922,221362619.40609598,220460550.3502281,219556897.04704,218651615.46450266,217744660.25938419,216835984.75372314,215925540.9113611,215013279.31454137,214099149.1405781,213183098.13859636,212265072.60634062,211345017.36704415,210422875.74634865,209498589.5492584,208572099.03710473,207643342.90449414,206712258.25620356,205778780.58397985,204842843.74319082,203904379.92926764,202963319.65386572,202019591.7206625,201073123.2006978,200123839.40714738,199171663.86941105,198216518.30637708,197258322.59871262,196296994.76001036,195332450.90660664,194364605.22586644,193393369.94271117,192418655.28414685,191440369.44152895,190458418.53027958,189472706.54675132,188483135.32191297,187489604.47150892,186492011.34232706,185490250.95418897,184484215.9372603,183473796.46426308,182458880.17715994,181439352.10787058,180415094.5925767,179385987.17917147,178351906.52741668,177312726.30138543,176268317.05379036,175218546.10183334,174163277.39425492,173102371.36932573,172035684.80359486,170963070.65130597,169884377.8745075,168799451.2640212,167708131.2515989,166610253.71379223,165505649.76828703,164394145.56371805,163275562.0642821,162149714.83081394,161016413.80038178,159875463.0669008,158726660.6657575,157569798.36598903,156404661.47416618,155231028.65479484,154048671.7727708,152857355.76420116,151656838.5427308,150446870.94938275,149227196.7548227,147997552.72387496,146757668.753028,145507268.09254414,144246067.6655908,142973778.49749303,141690106.26870453,140394752.00533223,139087412.92092454,137767783.42263392,136435556.29362905,135090424.0615905,133732080.5600441,132360222.68490456,130974552.34258877,129574778.57802285,128160619.8603438,126731806.49052082,125288083.07783647,123829211.01039241,122354970.81761265,120865164.28905112,119359616.17241119,117838175.22313267,116300714.31654972,114747129.2596277,113177335.85057381,111591264.62891342,109988852.63348149,108370031.3386257,106734709.76718006,105082751.58001408,103413944.71417798,101727961.88362765,100024309.96834321,98302266.0016562,96560797.12738322,94798461.54851411,93013287.14559121,91202624.13391235,89362967.89768179,87489748.05082779,85577079.92282052,83617475.18953262,81601509.45811155,79517446.54622059,77350822.35949665,75083996.221145,72695685.04494292,70160507.05603747,67448578.69211161,64525233.86311011,61350974.09471966,57881820.61307919,54070342.62029879,49867812.51244377,45228247.993383914,40115643.64559547,34516615.79987109,28462106.24557014,22063467.00522476,15568318.750139888,9432648.990550185,4364548.330077052,1171284.33582234,79086.77379376433,-91.61033910383789,0.0
64.0,262392393.57265624,261566993.2758739,260740719.02386189,259913555.36690813,259085486.1787572,258256494.63232318,257426563.1747558,256595673.50185126,255763806.5317997,254930942.37826243,254097060.3227696,253262138.78643325,252426155.30096948,251589086.47902277,250750907.98378903,249911594.49793142,249071119.69178727,248229456.19086096,247386575.54260263,246542448.18246925,245697043.39926997,244850329.29979357,244002272.77272126,243152839.4518252,242301993.67845634,241449698.4633263,240595915.44758567,239740604.86320615,238883725.492673,238025234.62799242,237165088.02902433,236303239.881148,235439642.75226915,234574247.54917765,233707003.47326574,232837857.97561806,231966756.71147937,231093643.49411282,230218460.24805576,229341146.96178114,228461641.63977036,227579880.2540034,226695796.69486895,225809322.7214931,224920387.91148463,224028919.61009043,223134842.8787478,222238080.4430173,221338552.6398743,220436177.36432576,219530870.01531604,218622543.44087237,217711107.8824297,216796470.9182653,215878537.4059561,214957209.42375842,214032386.2107921,213103964.10588998,212171836.4849554,211235893.69664216,210296022.9961494,209352108.47689056,208404030.99976835,207451668.11974674,206494894.00937945,205533579.37890637,204567591.39248985,203596793.58010894,202621045.74458033,201640203.8631167,200654119.98277125,199662642.10905296,198665614.08692858,197662875.47335082,196654261.40037692,195639602.42785847,194618724.38459766,193591448.19677502,192557589.70236284,191516959.4501399,190469362.48182982,189414598.09578317,188352459.59052756,187282733.98641065,186205201.7234693,185119636.3335635,184025804.084735,182923463.59567294,181812365.41810808,180692251.58490863,179562855.12162367,178423899.51921478,177275098.16573885,176116153.73480198,174946757.52870077,173766588.77430576,172575313.86994126,171372585.58176637,170158042.1884893,168931306.5736494,167691985.26519015,166439667.4226339,165173923.77285966,163894305.49629658,162600343.06627113,161291545.04531285,159967396.84341532,158627359.4445864,157270868.10948652,155897331.06355318,154506128.18171343,153096609.68258205,151668094.84688285,150219870.77666715,148751191.21365777,147261275.43661836,145749307.25890687,144214434.14813855,142655766.48994222,141072377.01685405,139463300.42110187,137827533.1659427,136164033.50376904,134471721.69971746,132749480.44615899,130996155.4352049,129210556.03201638,127391455.95978585,125537593.86604792,123647673.58745265,121720363.86395372,119754297.17088404,117748067.23564889,115700224.68157691,113609270.09153059,111473643.60500255,109291709.951921,107061737.58266832,104781870.27733552,102450089.31196086,100064163.93510868,97621587.58336562,95119496.97192107,92554570.99063167,89922906.30373594,87219866.82881114,84439905.06763124,81576354.89862382,78621198.4020004,75564814.30091497,72395723.74598649,69100362.03763226,65662924.78220916,62065367.20459118,58287680.435028404,54308634.51506327,50107271.74531856,45665562.61845657,40972801.83592278,36032508.79299703,30872744.059269913,25560683.126442533,20221546.94375607,15059504.293545112,10371666.683175944,6532147.278350836,3901111.3302857094,2613453.7076760237,2328405.4611680075,2143807.800820835,0.0
