09:22:11    8F: log rotativo → gex_engine.log (5MB × 3)
09:22:11  ═════════════════════════════════════════════════════════════════
09:22:11    GEX Engine v23  |  DEALER REGIME + TRADE SCORING PLATFORM
09:22:11    ── v23 P8A: throttle backups/share (fin de la tormenta de I/O)
09:22:11    ── v23 P8B: leer_hoja en 1 sola llamada COM (used_range)
09:22:11    ── v23 P8C: guard anti-doble-instancia de Excel
09:22:11    ── v23 P8D: GreekCache compartido en 5 engines + skip dv=0
09:22:11    ── v23 P8E: TimeoutError de workers no mata el engine
09:22:11    ── v23 P8F: prioridad BELOW_NORMAL + log rotativo
09:22:11    ── v20 FIX A: backups completos (hedge/absorb/micro/sweep)
09:22:11    ── v20 FIX B: T anclado en America/New_York (0DTE correcto)
09:22:11    ── v20 FIX C: triple-barrera + expectancy_R (señales operables)
09:22:11    ── v20 FIX D: performance persistente cross-día
09:22:11    ── v20 FIX E: gating expectancy = OFF
09:22:11    Excel     : E:\GEX\DATA.xlsx
09:22:11    Repo/CSV  : E:\GEX\GitHub\Gex-Repository
09:22:11    Backup    : E:\GEX\GitHub\Gex-Repository\26-07-12
09:22:11    Intervalo : 60s  |  Workers: 4 compute + 4 I/O
09:22:11  ═════════════════════════════════════════════════════════════════
09:22:11    📚 SignalPerformanceEngine: estado cargado (18 señales)
09:22:11    ── v16: GreekCache, TrueVannaExposureEngine, DealerRegimeEngine, TradeScoringEngine, SignalPerformanceEngine activos
09:22:11    ── v18: MarketBiasEngine activo — SessionPlaybook + Narrative — output: bias.json
09:23:11  ── Ciclo 1  09:23:11 ───────────────────────────────────
09:23:11    xlwings: conectado a Excel abierto → DATA.xlsx
09:23:11    VIX: sin 0DTE, usando cadena completa.
09:23:11    SPY: sin 0DTE, usando cadena completa.
09:23:11    QQQ: sin 0DTE, usando cadena completa.
09:23:11    SPX: sin 0DTE, usando cadena completa.
09:23:11    NDX: sin 0DTE, usando cadena completa.
09:23:11    ES: sin 0DTE, usando cadena completa.
09:23:11    NQ: sin 0DTE, usando cadena completa.
09:23:11    RTY: sin 0DTE, usando cadena completa.
09:23:11    Fase1 LECTURA: 8 activos en 0.2s
09:23:11    FlowTracker QQQ: warm-up — snapshot capturado, sin flow este ciclo.
09:23:11    FlowTracker VIX: warm-up — snapshot capturado, sin flow este ciclo.
09:23:11    FlowTracker SPY: warm-up — snapshot capturado, sin flow este ciclo.
09:23:11    FlowTracker SPX: warm-up — snapshot capturado, sin flow este ciclo.
09:23:11    🔔 BLOCK VIX  | UNUSUAL_CALL_VOL     | K=   70.00 | Contracts=  2218 | Premium=$       3,327 | IV=3.0% | Delta=+0.000
09:23:11    🔔 BLOCK QQQ  | UNUSUAL_CALL_VOL     | K=  740.00 | Contracts=  5658 | Premium=$      42,435 | IV=16.6% | Delta=+0.028
09:23:11    🔔 BLOCK SPY  | UNUSUAL_CALL_VOL     | K=  777.00 | Contracts=  6307 | Premium=$       3,154 | IV=17.2% | Delta=+0.002
09:23:11    🔔 BLOCK VIX  | UNUSUAL_CALL_VOL     | K=   65.00 | Contracts=  6327 | Premium=$      47,452 | IV=3.5% | Delta=+0.000
09:23:11    🔔 BLOCK SPX  | UNUSUAL_CALL_VOL     | K= 7760.00 | Contracts=  2337 | Premium=$      11,685 | IV=14.7% | Delta=+0.003
09:23:11    🔔 BLOCK QQQ  | UNUSUAL_CALL_VOL     | K=  738.00 | Contracts=  7076 | Premium=$      99,064 | IV=16.3% | Delta=+0.049
09:23:11    🔔 BLOCK SPY  | UNUSUAL_CALL_VOL     | K=  762.00 | Contracts=  6451 | Premium=$      29,030 | IV=8.4% | Delta=+0.031
09:23:11    🔔 BLOCK VIX  | UNUSUAL_CALL_VOL     | K=   60.00 | Contracts=  2007 | Premium=$      17,060 | IV=3.4% | Delta=+0.000
09:23:11    🔔 BLOCK SPX  | UNUSUAL_CALL_VOL     | K= 7750.00 | Contracts= 20042 | Premium=$      50,105 | IV=13.1% | Delta=+0.001
09:23:11    🔔 BLOCK QQQ  | UNUSUAL_CALL_VOL     | K=  737.00 | Contracts=  4640 | Premium=$      90,480 | IV=16.3% | Delta=+0.065
09:23:11    🔔 BLOCK SPY  | UNUSUAL_CALL_VOL     | K=  761.00 | Contracts= 15518 | Premium=$     131,903 | IV=8.4% | Delta=+0.055
09:23:11    🔔 BLOCK VIX  | UNUSUAL_CALL_VOL     | K=   45.00 | Contracts=  2004 | Premium=$      30,060 | IV=3.0% | Delta=+0.000
09:23:11    🔔 BLOCK SPX  | UNUSUAL_CALL_VOL     | K= 7740.00 | Contracts=  1027 | Premium=$       2,568 | IV=12.4% | Delta=+0.002
09:23:11    🔔 BLOCK QQQ  | UNUSUAL_CALL_VOL     | K=  736.00 | Contracts=  6116 | Premium=$     155,958 | IV=16.1% | Delta=+0.082
09:23:11    🔔 BLOCK SPY  | UNUSUAL_CALL_VOL     | K=  760.00 | Contracts= 37973 | Premium=$     588,582 | IV=8.4% | Delta=+0.092
09:23:11    🔔 BLOCK VIX  | CALL_BLOCK_SELL      | K=   40.00 | Contracts=  8393 | Premium=$     398,668 | IV=3.4% | Delta=+0.000
09:23:11    🔔 BLOCK SPX  | UNUSUAL_CALL_VOL     | K= 7715.00 | Contracts=  1374 | Premium=$       6,870 | IV=11.4% | Delta=+0.003
09:23:11    🔔 BLOCK QQQ  | UNUSUAL_CALL_VOL     | K=  735.00 | Contracts=  9531 | Premium=$     333,585 | IV=16.2% | Delta=+0.107
09:23:11    🔔 BLOCK SPY  | UNUSUAL_CALL_VOL     | K=  759.00 | Contracts= 34677 | Premium=$     988,295 | IV=8.5% | Delta=+0.149
09:23:11    🔔 BLOCK VIX  | UNUSUAL_CALL_VOL     | K=   36.00 | Contracts=  3997 | Premium=$     191,856 | IV=3.1% | Delta=+0.000
09:23:11    🔔 BLOCK SPX  | UNUSUAL_CALL_VOL     | K= 7685.00 | Contracts=  1146 | Premium=$       8,595 | IV=9.6% | Delta=+0.005
09:23:11    🔔 BLOCK QQQ  | PUT_BLOCK_SELL       | K=  735.00 | Contracts=   574 | Premium=$     530,376 | IV=19.3% | Delta=-0.851
09:23:11    🔔 BLOCK SPY  | CALL_BLOCK_BUY       | K=  758.00 | Contracts= 45376 | Premium=$   2,200,736 | IV=8.7% | Delta=+0.224
09:23:11    🔔 BLOCK VIX  | CALL_BLOCK_SELL      | K=   35.00 | Contracts= 30130 | Premium=$   1,476,370 | IV=3.1% | Delta=+0.000
09:23:11    🔔 BLOCK SPX  | UNUSUAL_CALL_VOL     | K= 7680.00 | Contracts=  1402 | Premium=$      10,515 | IV=9.2% | Delta=+0.006
09:23:11    🔔 BLOCK QQQ  | UNUSUAL_CALL_VOL     | K=  734.00 | Contracts=  6233 | Premium=$     292,951 | IV=16.2% | Delta=+0.136
09:23:11    🔔 BLOCK SPY  | CALL_BLOCK_SELL      | K=  757.00 | Contracts= 54664 | Premium=$   4,263,792 | IV=8.9% | Delta=+0.313
09:23:11    🔔 BLOCK VIX  | CALL_BLOCK_SELL      | K=   34.00 | Contracts=  6640 | Premium=$     348,600 | IV=3.0% | Delta=+0.000
09:23:11    🔔 BLOCK SPX  | UNUSUAL_CALL_VOL     | K= 7675.00 | Contracts=  2190 | Premium=$      16,425 | IV=8.8% | Delta=+0.006
09:23:11    🔔 BLOCK QQQ  | CALL_BLOCK_SELL      | K=  733.00 | Contracts= 11665 | Premium=$     729,062 | IV=16.2% | Delta=+0.171
09:23:11    🔔 BLOCK SPY  | PUT_BLOCK_BUY        | K=  757.00 | Contracts=  4643 | Premium=$   1,253,610 | IV=8.6% | Delta=-0.692
09:23:11    🔔 BLOCK VIX  | CALL_BLOCK_SELL      | K=   33.00 | Contracts=  4757 | Premium=$     254,500 | IV=3.0% | Delta=+0.000
09:23:11    🔔 BLOCK SPX  | UNUSUAL_CALL_VOL     | K= 7670.00 | Contracts=  1266 | Premium=$      12,660 | IV=8.7% | Delta=+0.008
09:23:11    🔔 BLOCK QQQ  | CALL_BLOCK_BUY       | K=  732.00 | Contracts=  6371 | Premium=$     525,608 | IV=16.3% | Delta=+0.212
09:23:11    🔔 BLOCK SPY  | CALL_BLOCK_SELL      | K=  756.00 | Contracts= 86597 | Premium=$  10,175,148 | IV=9.2% | Delta=+0.411
09:23:11    🔔 BLOCK VIX  | UNUSUAL_CALL_VOL     | K=   30.00 | Contracts=  5024 | Premium=$     100,480 | IV=2.1% | Delta=+0.000
09:23:11    🔔 BLOCK SPX  | UNUSUAL_CALL_VOL     | K= 7665.00 | Contracts=  2196 | Premium=$      27,450 | IV=8.5% | Delta=+0.010
09:23:11    🔔 BLOCK QQQ  | CALL_BLOCK_SELL      | K=  731.00 | Contracts=  7441 | Premium=$     799,908 | IV=16.4% | Delta=+0.258
09:23:11    🔔 BLOCK SPY  | PUT_BLOCK_BUY        | K=  756.00 | Contracts= 12456 | Premium=$   2,609,532 | IV=8.9% | Delta=-0.591
09:23:11    🔔 BLOCK VIX  | CALL_BLOCK_SELL      | K=   27.00 | Contracts=  3650 | Premium=$     229,950 | IV=2.4% | Delta=+0.000
09:23:11    🔔 BLOCK SPX  | UNUSUAL_CALL_VOL     | K= 7660.00 | Contracts= 11068 | Premium=$     166,020 | IV=8.3% | Delta=+0.012
09:23:11    🔔 BLOCK QQQ  | CALL_BLOCK_SELL      | K=  730.00 | Contracts= 25882 | Premium=$   3,584,657 | IV=16.7% | Delta=+0.308
09:23:11    🔔 BLOCK SPY  | CALL_BLOCK_SELL      | K=  755.00 | Contracts=116256 | Premium=$  19,531,008 | IV=9.4% | Delta=+0.509
09:23:11    🔔 BLOCK VIX  | UNUSUAL_CALL_VOL     | K=   25.00 | Contracts= 11453 | Premium=$     171,795 | IV=142.8% | Delta=+0.023
09:23:11    🔔 BLOCK SPX  | UNUSUAL_CALL_VOL     | K= 7655.00 | Contracts=  2306 | Premium=$      57,650 | IV=8.4% | Delta=+0.018
09:23:11    🔔 BLOCK QQQ  | PUT_BLOCK_BUY        | K=  730.00 | Contracts=  1749 | Premium=$     968,946 | IV=20.3% | Delta=-0.659
09:23:11    🔔 BLOCK SPY  | PUT_BLOCK_BUY        | K=  755.00 | Contracts= 43138 | Premium=$   6,880,511 | IV=9.2% | Delta=-0.490
09:23:11    🔔 BLOCK VIX  | CALL_BLOCK_SELL      | K=   24.00 | Contracts=  5658 | Premium=$     401,718 | IV=2.1% | Delta=+0.000
09:23:11    🔔 BLOCK SPX  | UNUSUAL_CALL_VOL     | K= 7650.00 | Contracts= 18042 | Premium=$     631,470 | IV=8.4% | Delta=+0.025
09:23:11    🔔 BLOCK QQQ  | CALL_BLOCK_BUY       | K=  729.00 | Contracts=  8309 | Premium=$   1,445,766 | IV=16.8% | Delta=+0.361
09:23:11    🔔 BLOCK SPY  | CALL_BLOCK_BUY       | K=  754.00 | Contracts= 46367 | Premium=$  10,618,043 | IV=9.8% | Delta=+0.601
09:23:11    🔔 BLOCK VIX  | CALL_BLOCK_SELL      | K=   23.00 | Contracts= 26773 | Premium=$     843,350 | IV=144.2% | Delta=+0.051
09:23:11    🔔 BLOCK SPX  | UNUSUAL_CALL_VOL     | K= 7645.00 | Contracts=  2041 | Premium=$      86,742 | IV=8.2% | Delta=+0.030
09:23:11    🔔 BLOCK QQQ  | PUT_BLOCK_BUY        | K=  729.00 | Contracts=  2732 | Premium=$   1,342,778 | IV=20.4% | Delta=-0.615
09:23:11    🔔 BLOCK SPY  | PUT_BLOCK_BUY        | K=  754.00 | Contracts= 61984 | Premium=$   7,531,056 | IV=9.6% | Delta=-0.397
09:23:11    🔔 BLOCK VIX  | CALL_BLOCK_SELL      | K=   22.00 | Contracts= 20858 | Premium=$     928,181 | IV=144.6% | Delta=+0.074
09:23:11    🔔 BLOCK SPX  | UNUSUAL_CALL_VOL     | K= 7640.00 | Contracts=  3021 | Premium=$     196,365 | IV=8.3% | Delta=+0.043
09:23:11    🔔 BLOCK QQQ  | CALL_BLOCK_BUY       | K=  728.00 | Contracts= 13927 | Premium=$   2,994,305 | IV=17.0% | Delta=+0.415
