SPY: Timestamp,SPY: Open,SPY: High,SPY: Low,SPY: Close,SPY: Volume
29-08-2025 15:57:00,644.23,645.04,644.12,645.04,1.68M
29-08-2025 15:54:00,644.03,644.26,643.77,644.23,502.14K
29-08-2025 15:51:00,644.05,644.33,643.92,644.04,458.74K
29-08-2025 15:48:00,645.13,645.14,644.05,644.05,373.37K
29-08-2025 15:45:00,644.77,645.13,644.68,645.13,263.06K
29-08-2025 15:42:00,644.60,644.89,644.57,644.78,180.60K
29-08-2025 15:39:00,644.35,644.65,644.35,644.59,164.41K
29-08-2025 15:36:00,644.14,644.41,644.08,644.36,232.06K
29-08-2025 15:33:00,644.55,644.63,644.13,644.14,308.68K
29-08-2025 15:30:00,644.58,644.80,644.53,644.54,266.33K
29-08-2025 15:27:00,644.67,644.67,644.38,644.59,132.78K
29-08-2025 15:24:00,644.68,644.82,644.65,644.68,120.04K
29-08-2025 15:21:00,644.90,644.99,644.63,644.68,166.41K
29-08-2025 15:18:00,644.75,644.91,644.71,644.91,201.10K
29-08-2025 15:15:00,644.61,644.79,644.60,644.75,78.60K
29-08-2025 15:12:00,644.55,644.71,644.53,644.61,111.27K
29-08-2025 15:09:00,644.80,644.80,644.55,644.55,95.23K
29-08-2025 15:06:00,644.59,644.83,644.55,644.80,142.73K
29-08-2025 15:03:00,644.45,644.71,644.45,644.60,154.16K
29-08-2025 15:00:00,644.49,644.53,644.30,644.46,163.75K
29-08-2025 14:57:00,644.37,644.50,644.32,644.50,64.51K
29-08-2025 14:54:00,644.34,644.44,644.25,644.38,68.69K
29-08-2025 14:51:00,644.35,644.40,644.17,644.35,133.56K
29-08-2025 14:48:00,644.41,644.45,644.33,644.36,41.69K
29-08-2025 14:45:00,644.27,644.48,644.27,644.42,55.10K
29-08-2025 14:42:00,644.50,644.55,644.27,644.27,52.94K
29-08-2025 14:39:00,644.58,644.58,644.35,644.50,85.71K
29-08-2025 14:36:00,644.72,644.72,644.53,644.58,81.70K
29-08-2025 14:33:00,644.59,644.74,644.51,644.71,83.20K
29-08-2025 14:30:00,644.26,644.63,644.26,644.58,63.71K
29-08-2025 14:27:00,644.23,644.34,644.22,644.26,69.28K
29-08-2025 14:24:00,644.43,644.51,644.24,644.25,52.07K
29-08-2025 14:21:00,644.23,644.44,644.21,644.44,51.76K
29-08-2025 14:18:00,644.52,644.56,644.17,644.21,129.83K
29-08-2025 14:15:00,644.53,644.66,644.49,644.52,108.39K
29-08-2025 14:12:00,644.58,644.68,644.40,644.53,92.64K
29-08-2025 14:09:00,644.56,644.70,644.52,644.59,104.06K
29-08-2025 14:06:00,644.26,644.60,644.23,644.57,52.73K
29-08-2025 14:03:00,644.35,644.46,644.22,644.26,62.25K
29-08-2025 14:00:00,644.64,644.66,644.30,644.37,88.04K
29-08-2025 13:57:00,644.75,644.75,644.40,644.65,89.13K
29-08-2025 13:54:00,644.87,644.90,644.67,644.74,77.93K
29-08-2025 13:51:00,644.63,645.01,644.63,644.83,102.78K
29-08-2025 13:48:00,644.49,644.67,644.45,644.63,82.81K
29-08-2025 13:45:00,644.36,644.59,644.33,644.50,119.87K
29-08-2025 13:42:00,644.29,644.39,644.20,644.35,108.48K
