strike,oi_c,oi_p,vol_c,vol_p,oi_net,vol_net,gex,vex,dex,inv_gex,inv_vex_call,inv_vex_put
722.0,7392.0,234.0,0.0,0.0,7158.0,0.0,103545780.21309029,0.0,48387.72105956007,0.0,0.0,0.0
721.0,3865.0,140.0,0.0,0.0,3725.0,0.0,67245173.83011279,0.0,37678.58335585547,0.0,0.0,0.0
720.0,33743.0,613.0,0.0,0.0,33130.0,0.0,715599180.769094,0.0,520315.6148240167,0.0,0.0,0.0
719.0,5250.0,925.0,0.0,0.0,4325.0,0.0,109920092.96580139,0.0,46559.39434950283,0.0,0.0,0.0
718.0,4979.0,538.0,0.0,0.0,4441.0,0.0,124450606.28294076,0.0,98522.96042522346,0.0,0.0,0.0
717.0,5116.0,1614.0,0.0,0.0,3502.0,0.0,110623521.86276984,0.0,65717.64951996891,0.0,0.0,0.0
716.0,11292.0,1347.0,0.0,0.0,9945.0,0.0,313710048.9742756,0.0,363850.0454075128,0.0,0.0,0.0
715.0,6345.0,2232.0,0.0,0.0,4113.0,0.0,140425211.3123094,0.0,168611.05841141328,0.0,0.0,0.0
714.0,8192.0,4865.0,0.0,0.0,3327.0,0.0,127318613.31058604,0.0,186789.4930989351,0.0,0.0,0.0
713.0,6335.0,8845.0,0.0,0.0,-2510.0,0.0,-35723046.61005612,0.0,-20500.763191578517,0.0,0.0,0.0
712.0,9952.0,22708.0,0.0,0.0,-12756.0,0.0,-269012685.17330354,0.0,-252412.26468539372,0.0,0.0,0.0
711.0,6444.0,10961.0,0.0,0.0,-4517.0,0.0,-80446545.0865258,0.0,62625.810099126604,0.0,0.0,0.0
710.0,5657.0,9982.0,0.0,0.0,-4325.0,0.0,-75081625.88368176,0.0,109881.73781806823,0.0,0.0,0.0
709.0,2642.0,6682.0,0.0,0.0,-4040.0,0.0,-73391302.60868925,0.0,25845.965568528958,0.0,0.0,0.0
708.0,3763.0,6037.0,0.0,0.0,-2274.0,0.0,-35372079.46232697,0.0,165009.93041591244,0.0,0.0,0.0
707.0,1461.0,8723.0,0.0,0.0,-7262.0,0.0,-117305809.18370777,0.0,-55030.48076358468,0.0,0.0,0.0
706.0,1767.0,4931.0,0.0,0.0,-3164.0,0.0,-47321879.39857005,0.0,68440.9419593988,0.0,0.0,0.0
705.0,2161.0,13673.0,0.0,0.0,-11512.0,0.0,-155766154.32267764,0.0,-13632.101423133827,0.0,0.0,0.0
704.0,2342.0,2969.0,0.0,0.0,-627.0,0.0,-16604320.030931113,0.0,184078.21387862563,0.0,0.0,0.0
703.0,1035.0,6691.0,0.0,0.0,-5656.0,0.0,-60763893.11089821,0.0,20205.144690731653,0.0,0.0,0.0
702.0,979.0,4626.0,0.0,0.0,-3647.0,0.0,-42451316.24185782,0.0,52814.14874408611,0.0,0.0,0.0
701.0,1632.0,6734.0,0.0,0.0,-5102.0,0.0,-53998106.50356792,0.0,107772.08457005913,0.0,0.0,0.0
700.0,3681.0,18431.0,0.0,0.0,-14750.0,0.0,-129337809.05680789,0.0,238087.77354266727,0.0,0.0,0.0
699.0,1151.0,8075.0,0.0,0.0,-6924.0,0.0,-48865340.38298135,0.0,67587.81064831688,0.0,0.0,0.0
698.0,974.0,3827.0,0.0,0.0,-2853.0,0.0,-19901600.70288168,0.0,78593.5403711027,0.0,0.0,0.0
697.0,398.0,5723.0,0.0,0.0,-5325.0,0.0,-26259633.417539682,0.0,14971.799852573056,0.0,0.0,0.0
696.0,719.0,3640.0,0.0,0.0,-2921.0,0.0,-14193728.544998009,0.0,58871.965193817596,0.0,0.0,0.0
695.0,1191.0,11754.0,0.0,0.0,-10563.0,0.0,-39405826.9156571,0.0,83511.45495890373,0.0,0.0,0.0
694.0,539.0,2343.0,0.0,0.0,-1804.0,0.0,-6973250.485451651,0.0,47560.75728962098,0.0,0.0,0.0
693.0,344.0,2229.0,0.0,0.0,-1885.0,0.0,-5862928.7468516575,0.0,29055.54852619843,0.0,0.0,0.0
692.0,1248.0,2525.0,0.0,0.0,-1277.0,0.0,-5822530.075885378,0.0,119504.98359251,0.0,0.0,0.0
691.0,326.0,2062.0,0.0,0.0,-1736.0,0.0,-4139774.504833493,0.0,28857.459716941707,0.0,0.0,0.0
