765.0,326508.59326158935,0,0
764.0,329328.3952748983,0,0
763.0,1308884.7908558066,0,0
762.0,1728318.3124376722,0,0
761.0,1368183.0378101,0,0
760.0,15798750.005403778,0,0
759.0,6736281.852156192,0,0
758.0,11326096.48682849,0,0
757.0,11847941.72924353,0,0
756.0,42949953.12888486,0,0
755.0,54087396.02333993,0,0
754.0,66142087.13051541,0,0
753.0,167946888.8353194,0,0
752.0,314992820.8160957,0,0
751.0,547223857.0973557,0,0
750.0,1578245390.2153592,0,0
749.0,844422747.16413,0,0
748.0,1059530501.7553632,0,0
747.0,1092076873.055716,0,0
746.0,1420133132.8709064,0,0
745.0,2264006146.69015,0,0
744.0,11597524.76352132,0,0
743.0,-5816421453.387122,0,0
742.0,-2360863756.6368165,0,0
741.0,-1226840259.7374828,0,0
740.0,-2466154484.652175,0,0
739.0,-895006185.3965102,0,0
738.0,-662947866.4166535,0,0
737.0,-453429737.00528765,0,0
736.0,-292408616.64627606,0,0
735.0,-378846826.35886097,0,0
734.0,-116542139.24143757,0,0
733.0,-131458502.83070666,0,0
732.0,-101554818.49828665,0,0
731.0,-52523989.275171645,0,0
730.0,-86687766.60749342,0,0
729.0,-40020739.81217309,0,0
728.0,-30576636.77296971,0,0
727.0,-27151339.403871924,0,0
726.0,-31658691.96776976,0,0
725.0,-45597201.02226695,0,0
724.0,-6130328.1101907,0,0
723.0,-3455903.747996754,0,0
722.0,-2468788.2290513827,0,0
721.0,-940231.0980761852,0,0
720.0,-20400146.18708992,0,0
719.0,-1450758.0470588682,0,0
