"","405","402","399","396","393","390","387","384","381","378","375","372","369","366","363","360","357","354","351","348","345","342","339","336","333","330","327","324","321","318","315","312","309","306","303","300","297","294","291","288","285","282","279","276","273","270","267","264","261","258","255","252","249","246","243","240","237","234","231","228","225","222","219","216","213","210","207","204","201","198","195","192","189","186","183","180","177","174","171","168","165","162","159","156","153","150","147","144","141","138","135","132","129","126","123","120","117","114","111","108","105","102","99","96","93","90","87","84","81","78","75","72","69","66","63","60","57","54","51","48","45","42","39","36","33","30","27","24","21","18","15","12","9","6","3","0"
"510",-2397178436.29642,-2387376074.64533,-2377498160.99587,-2367543837.99338,-2357512226.71251,-2347402426.11183,-2337213512.47938,-2326944538.86896,-2316594534.52751,-2306162504.31334,-2295647428.10569,-2285048260.20545,-2274363928.72743,-2263593334.98428,-2252735352.86241,-2241788828.19012,-2230752578.09842,-2219625390.37479,-2208406022.81062,-2197093202.54258,-2185685625.38893,-2174181955.1812,-2162580823.0923,-2150880826.96198,-2139080530.62081,-2127178463.21382,-2115173118.5255,-2103062954.30755,-2090846391.61145,-2078521814.1279,-2066087567.5354,-2053541958.86101,-2040883255.85587,-2028109686.38941,-2015219437.86567,-2002210656.66644,-1989081447.62581,-1975829873.54188,-1962453954.73154,-1948951668.63531,-1935320949.48006,-1921559688.00803,-1907665731.2819,-1893636882.5768,-1879470901.37107,-1865165503.44936,-1850718361.13305,-1836127103.65453,-1821389317.69404,-1806502548.0997,-1791464298.81368,-1776272034.02996,-1760923179.61223,-1745415124.80302,-1729745224.25924,-1713910800.45249,-1697909146.47683,-1681737529.31144,-1665393193.59005,-1648873365.93494,-1632175259.91884,-1615296081.72467,-1598233036.58018,-1580983336.05173,-1563544206.29029,-1545912897.33101,-1528086693.55779,-1510062925.45415,-1491838982.77288,-1473412329.26851,-1454780519.14885,-1435941215.41495,-1416892210.2718,-1397631447.80652,-1378157049.14407,-1358467340.30499,-1338560883.00313,-1318436508.63417,-1298093355.71727,-1277530911.06194,-1256749054.93873,-1235748110.53524,-1214528897.97624,-1193092793.17712,-1171441791.78093,-1149578578.39866,-1127506601.32624,-1105230152.84726,-1082754455.14094,-1060085751.69624,-1037231403.97694,-1014199992.88029,-991001424.273805,-967647037.567206,-944149715.86569,-920523995.737853,-896786173.997288,-872954408.116353,-849048805.93745,-825091499.190991,-801106693.937566,-777120689.391111,-753161854.617987,-729260550.317546,-705448980.259381,-681760953.990971,-658231539.186795,-634896578.600729,-611792043.222152,-588953190.288129,-566413492.855585,-544203307.589781,-522348250.61552,-500867259.622208,-479770336.564867,-459055992.77394,-438708461.474429,-418694806.66892,-398962147.030462,-379435332.180838,-360015555.25317,-340580549.818577,-320987177.129599,-301077321.879904,-280688039.699567,-259666845.657522,-237893089.972697,-215307148.049961,-191951925.038367,-168037322.623743,-144045125.652737,-120875318.583231,-99895289.4735937,-82171010.4104134,-63769908.3778881,0
"509.5",-2497845299.63154,-2488074359.86883,-2478226721.34652,-2468301514.70519,-2458297847.12638,-2448214801.65962,-2438051436.53385,-2427806784.45297,-2417479851.87524,-2407069618.27627,-2396575035.3952,-2385995026.46391,-2375328485.41891,-2364574276.0956,-2353731231.40464,-2342798152.49028,-2331773807.87013,-2320656932.55641,-2309446227.15834,-2298140356.96537,-2286737951.01135,-2275237601.11922,-2263637860.92637,-2251937244.89051,-2240134227.27616,-2228227241.12181,-2216214677.18802,-2204094882.88671,-2191866161.19213,-2179526769.53394,-2167074918.67339,-2154508771.56316,-2141826442.19236,-2129025994.41782,-2116105440.78338,-2103062741.32933,-2089895802.39408,-2076602475.41119,-2063180555.70471,-2049627781.28686,-2035941831.66238,-2022120326.64482,-2008160825.19051,-1994060824.25731,-1979817757.6958,-1965428995.18204,-1950891841.20221,-1936203534.10086,-1921361245.20625,-1906362078.048,-1891203067.68446,-1875881180.15933,-1860393312.11,-1844736290.55261,-1828906872.87243,-1812901747.05155,-1796717532.17012,-1780350779.22182,-1763797972.28937,-1747055530.13143,-1730119808.23859,-1712987101.42303,-1695653647.01426,-1678115628.74172,-1660369181.39456,-1642410396.35939,-1624235328.1482,-1605840002.04133,-1587220422.9842,-1568372585.8919,-1549292487.5319,-1529976140.17389,-1510419587.21452,-1490618921.00678,-1470570303.14587,-1450269987.48814,-1429714346.20532,-1408899899.20338,-1387823347.26384,-1366481609.29419,-1344871864.10375,-1322991597.15032,-1300838652.73046,-1278411292.11217,-1255708258.12941,-1232728846.77355,-1209472986.32284,-1185941324.54516,-1162135324.48681,-1138057369.31516,-1113710876.60886,-1089100422.37706,-1064231874.9276,-1039112538.47915,-1013751306.10721,-988158821.206631,-962347646.117932,-936332435.868116,-910130114.08024,-883760046.960679,-857244209.821974,-830607338.773666,-803877057.933957,-777083969.690133,-750261692.064606,-723446823.019638,-696678806.454211,-669999668.62673,-643453586.738953,-617086243.490783,-590943912.771882,-565072212.767074,-539514454.508471,-514309507.836165,-489489105.293976,-465074511.460229,-441072506.096084,-417470671.859906,-394232050.840575,-371289349.66256,-348539039.703685,-325835918.526401,-302988952.881503,-279759456.578497,-255862753.344799,-230974259.945793,-204740240.773939,-176792485.910844,-146766003.697787,-114322575.742376,-79194540.6007913,-41271575.7015676,-647616.485739855,43264893.1609774,98698785.8082252,0
"509",-2597025762.07884,-2587301610.72228,-2577499928.27821,-2567619852.79975,-2557660497.69903,-2547620950.96632,-2537500274.36776,-2527297502.62117,-2517011642.54924,-2506641672.20956,-2496186540.00077,-2485645163.74415,-2475016429.73988,-2464299191.7974,-2453492270.23879,-2442594450.87473,-2431604483.95192,-2420521083.07122,-2409342924.07565,-2398068643.90729,-2386696839.43212,-2375226066.23191,-2363654837.36205,-2351981622.07451,-2340204844.50462,-2328322882.32099,-2316334065.33718,-2304236674.08432,-2292028938.34359,-2279709035.63752,-2267275089.67913,-2254725168.7781,-2242057284.20291,-2229269388.49838,-2216359373.75779,-2203325069.84914,-2190164242.5951,-2176874591.90656,-2163453749.86979,-2149899278.78764,-2136208669.17545,-2122379337.71283,-2108408625.15288,-2094293794.19108,-2080032027.29671,-2065620424.51025,-2051056001.21155,-2036335685.86401,-2021456317.74175,-2006414644.6477,-1991207320.63246,-1975830903.72522,-1960281853.6906,-1944556529.8271,-1928651188.82593,-1912561982.71202,-1896284956.89232,-1879816048.34081,-1863151083.95383,-1846285779.11482,-1829215736.51311,-1811936445.26815,-1794443280.41798,-1776731502.83909,-1758796259.67434,-1740632585.35642,-1722235403.32588,-1703599528.55697,-1684719671.01878,-1665590440.2169,-1646206350.97913,-1626561830.67032,-1606651228.04463,-1586468823.96987,-1566008844.28751,-1545265475.10397,-1524232880.8442,-1502905225.43749,-1481276697.04784,-1459341536.8075,-1437094072.06259,-1414528754.69336,-1391640205.12939,-1368423262.74049,-1344873043.3475,-1320985004.66171,-1296755020.52668,-1272179464.89871,-1247255306.5603,-1221980215.60955,-1196352682.80335,-1170372152.84559,-1144039172.6943,-1117355555.90187,-1090324563.88382,-1062951104.8136,-1035241950.53716,-1007205971.45702,-978854388.707839,-950201042.077658,-921262670.950807,-892059203.969568,-862614051.020338,-832954388.405503,-803111424.492118,-773120628.52229,-743021899.376567,-712859643.608171,-682682722.684912,-652544217.743533,-622500945.958118,-592612645.629971,-562940727.334662,-533546466.383681,-504488488.760479,-475819381.225114,-447581241.261665,-419799982.017593,-392478233.918971,-365586756.459619,-339054414.693266,-312757011.724984,-286505619.597972,-260035502.221978,-232997180.632778,-204951406.118984,-175369328.76562,-143637470.654795,-109064580.017673,-70888247.4791,-28298985.0426196,19417946.1921094,72267543.7029409,127242524.30884,164594452.909247,0
"508.5",-2693971812.74229,-2684306207.70796,-2674562454.1485,-2664739716.27741,-2654837133.26154,-2644853818.35639,-2634788858.0152,-2624641310.97091,-2614410207.29005,-2604094547.39769,-2593693301.0725,-2583205406.41076,-2572629768.7584,-2561965259.60983,-2551210715.4724,-2540364936.6952,-2529426686.261,-2518394688.53977,-2507267628.00243,-2496044147.89332,-2484722848.85964,-2473302287.53635,-2461780975.08456,-2450157375.6817,-2438429904.96145,-2426596928.40129,-2414656759.65566,-2402607658.83242,-2390447830.71021,-2378175422.89436,-2365788523.90876,-2353285161.22099,-2340663299.19806,-2327920836.98998,-2315055606.33807,-2302065369.30524,-2288947815.92509,-2275700561.76684,-2262321145.41292,-2248807025.84616,-2235155579.74352,-2221364098.67343,-2207429786.19369,-2193349754.84743,-2179121023.05446,-2164740511.89585,-2150205041.78996,-2135511329.05856,-2120655982.38213,-2105635499.14457,-2090446261.66792,-2075084533.33914,-2059546454.632,-2043828039.02893,-2027925168.84914,-2011833590.99175,-1995548912.60481,-1979066596.69448,-1962381957.69141,-1945490156.99596,-1928386198.52802,-1911064924.31268,-1893521010.13937,-1875748961.3388,-1857743108.73065,-1839497604.80414,-1821006420.20467,-1802263340.61208,-1783261964.11037,-1763995699.16524,-1744457763.34433,-1724641182.93645,-1704538793.65043,-1684143242.60203,-1663446991.82834,-1642442323.60546,-1621121347.88493,-1599476012.21051,-1577498114.52818,-1555179319.36011,-1532511177.87835,-1509485152.48671,-1486092646.60039,-1462325040.40264,-1438173733.45772,-1413630195.16817,-1388686024.18451,-1363333018.00415,-1337563254.13552,-1311369184.34979,-1284743743.69548,-1257680476.10628,-1230173678.58492,-1202218566.08878,-1173811459.3645,-1144949998.0662,-1115633381.52296,-1085862639.47015,-1055640934.88769,-1024973900.74695,-993870011.889876,-962340992.359752,-930402257.156317,-898073385.441835,-865378619.477741,-832347379.757378,-799014781.576944,-765422131.215003,-731617370.415642,-697655425.303073,-663598399.363926,-629515528.752701,-595482790.860904,-561582022.848988,-527899365.010105,-494522794.607905,-461538461.183736,-429025479.586051,-397048793.29588,-365649708.692685,-334833755.869705,-304555708.418703,-274701970.719837,-245071208.789251,-215355131.352532,-185122684.186557,-153812298.479076,-120737541.187615,-85111045.7655254,-46093470.4954561,-2901715.44400816,44836340.9997797,95620304.0100205,139761849.455741,130170601.824851,0
"508",-2787888794.19836,-2778289746.79145,-2768612025.00318,-2758854836.25178,-2749017363.31843,-2739098763.42649,-2729098167.29035,-2719014678.1332,-2708847370.67235,-2698595290.07103,-2688257450.85558,-2677832835.7965,-2667320394.75222,-2656719043.47406,-2646027662.37089,-2635245095.2319,-2624370147.90576,-2613401586.93444,-2602338138.13974,-2591178485.16052,-2579921267.93857,-2568565081.1508,-2557108472.58531,-2545549941.45899,-2533887936.67365,-2522120855.00819,-2510247039.24339,-2498264776.21645,-2486172294.80161,-2473967763.81338,-2461649289.82851,-2449214914.92255,-2436662614.31694,-2423990293.93177,-2411195787.83975,-2398276855.616,-2385231179.57863,-2372056361.91427,-2358749921.68282,-2345309291.69507,-2331731815.25697,-2318014742.77346,-2304155228.20519,-2290150325.3706,-2275996984.08587,-2261692046.13507,-2247232241.06246,-2232614181.77887,-2217834359.974,-2202889141.32641,-2187774760.50303,-2172487315.94024,-2157022764.39875,-2141376915.28508,-2125545424.73301,-2109523789.43912,-2093307340.24776,-2076891235.48226,-2060270454.02064,-2043439788.11671,-2026393835.96981,-2009126994.04999,-1991633449.18916,-1973907170.45382,-1955941900.82061,-1937731148.68265,-1919268179.2231,-1900546005.70174,-1881557380.71176,-1862294787.4777,-1842750431.28065,-1822916231.11576,-1802783811.70828,-1782344496.03982,-1761589298.56551,-1740508919.33693,-1719093739.28535,-1697333816.96528,-1675218887.11185,-1652738361.42632,-1629881332.07495,-1606636578.46776,-1582992577.97712,-1558937521.36324,-1534459333.79631,-1509545702.50508,-1484184112.24064,-1458361889.92524,-1432066260.05988,-1405284412.69439,-1378003586.0209,-1350211165.93788,-1321894805.24765,-1293042565.49568,-1263643084.83298,-1233685775.67866,-1203161056.37109,-1172060621.41005,-1140377755.28804,-1108107695.25761,-1075248048.63882,-1041799270.37301,-1007765206.38792,-973153707.82639,-937977320.131959,-902254049.134122,-866008203.296639,-829271306.722799,-792083070.723447,-754492401.900936,-716558410.657024,-678351364.316565,-639953501.776241,-601459589.391736,-562977047.960165,-524625415.233916,-486534824.998288,-448843081.821086,-411690794.25608,-375213912.489403,-339532931.980037,-304738039.238368,-270869712.726784,-237894960.447423,-205680799.388282,-173969192.370832,-142361888.730434,-110329612.18233,-77267371.8122274,-42626910.1983868,-6182361.50165578,31389611.6359033,66833335.4277434,88356819.6936074,60647990.6517455,0
"507.5",-2877937996.69179,-2868409852.44017,-2858802456.03366,-2849115072.36998,-2839346942.94034,-2829497284.88221,-2819565289.99898,-2809550123.74546,-2799450924.17791,-2789266800.8673,-2778996833.77447,-2768640072.08571,-2758195533.00719,-2747662200.51674,-2737039024.07115,-2726324917.26719,-2715518756.45454,-2704619379.29844,-2693625583.28996,-2682536124.20159,-2671349714.48567,-2660065021.61307,-2648680666.34928,-2637195220.96502,-2625607207.37808,-2613915095.22317,-2602117299.84596,-2590212180.21764,-2578198036.76576,-2566073109.11694,-2553835573.74675,-2541483541.53182,-2529015055.19855,-2516428086.66293,-2503720534.25507,-2490890219.82204,-2477934885.70189,-2464852191.56136,-2451639711.08923,-2438294928.53685,-2424815235.09661,-2411197925.10874,-2397440192.08602,-2383539124.54544,-2369491701.63521,-2355294788.54452,-2340945131.68324,-2326439353.61743,-2311773947.74618,-2296945272.7044,-2281949546.4752,-2266782840.19523,-2251441071.63504,-2235919998.33624,-2220215210.38638,-2204322122.81203,-2188235967.56995,-2171951785.11614,-2155464415.53213,-2138768489.18832,-2121858416.92424,-2104728379.72667,-2087372317.88746,-2069783919.62488,-2051956609.15449,-2033883534.19896,-2015557552.93022,-1996971220.34257,-1978116774.06235,-1958986119.60777,-1939570815.12283,-1919862055.622,-1899850656.79757,-1879527038.46011,-1858881207.70516,-1837902741.92618,-1816580771.82612,-1794903964.619,-1772860507.65877,-1750438092.78778,-1727623901.76244,-1704404593.19066,-1680766291.50716,-1656694578.62003,-1632174488.98906,-1607190509.04512,-1581726582.03501,-1555766119.5809,-1529292021.48323,-1502286705.5755,-1474732149.76461,-1446609948.76883,-1417901388.50256,-1388587541.5629,-1358649387.85325,-1328067965.04458,-1296824554.33095,-1264900907.79186,-1232279524.63148,-1198943984.62728,-1164879348.27936,-1130072634.39198,-1094513387.10675,-1058194345.68697,-1021112231.53122,-983268667.82714,-944671247.719949,-905334766.531709,-865282631.928718,-824548462.270555,-783177876.628977,-741230468.624657,-698781938.148861,-655926327.223129,-612778264.622391,-569475063.062378,-526178425.998725,-483075400.757262,-440378053.835229,-398321140.516912,-357156805.909562,-317145131.91197,-278539246.417704,-241563982.084612,-206388197.110523,-173093725.882816,-141649923.019029,-111913753.073893,-83692727.5652037,-56929758.6349037,-32085060.9072356,-10780499.4121714,3304764.8141372,3970081.56250639,-7751862.05362686,0
"507",-2963238745.74069,-2953782513.45353,-2944246240.83296,-2934629260.70525,-2924930884.51095,-2915150401.36223,-2905287077.06532,-2895340153.10711,-2885308845.60425,-2875192344.2137,-2864989811.00302,-2854700379.27912,-2844323152.37358,-2833857202.38312,-2823301568.86316,-2812655257.47285,-2801917238.56921,-2791086445.74855,-2780161774.33267,-2769142079.79755,-2758026176.14181,-2746812834.19231,-2735500779.84385,-2724088692.22987,-2712575201.82077,-2700958888.44615,-2689238279.23735,-2677411846.48578,-2665478005.41295,-2653435111.84721,-2641281459.80203,-2629015278.95056,-2616634731.99018,-2604137911.89096,-2591522839.02098,-2578787458.14117,-2565929635.26168,-2552947154.35121,-2539837713.89006,-2526598923.25692,-2513228298.93872,-2499723260.55188,-2486081126.66265,-2472299110.39307,-2458374314.79814,-2444303727.99869,-2430084218.05329,-2415712527.55126,-2401185267.90748,-2386498913.33844,-2371649794.49728,-2356634091.74407,-2341447828.02601,-2326086861.34033,-2310546876.75097,-2294823377.92818,-2278911678.17815,-2262806890.92804,-2246503919.62942,-2229997447.0414,-2213281923.85246,-2196351556.59836,-2179200294.83142,-2161821817.49496,-2144209518.45522,-2126356491.1423,-2108255512.25054,-2089899024.44955,-2071279118.05709,-2052387511.6276,-2033215531.41262,-2013754089.65419,-1993993661.67901,-1973924261.76972,-1953535417.80168,-1932816144.64915,-1911754916.38419,-1890339637.31685,-1868557611.95682,-1846395514.01537,-1823839354.61564,-1800874449.9386,-1777485388.60566,-1753655999.18863,-1729369318.34691,-1704607560.22437,-1679352087.89957,-1653583387.87679,-1627281048.84009,-1600423746.17485,-1572989234.10013,-1544954347.66248,-1516295017.32893,-1486986299.49982,-1457002426.95777,-1426316884.09786,-1394902512.76988,-1362731655.73238,-1329776346.10243,-1296008552.81678,-1261400494.03887,-1225925032.69074,-1189556170.90009,-1152269663.16816,-1114043771.51275,-1074860189.73267,-1034705168.25352,-993570875.667336,-951457037.893791,-908372900.531958,-864339563.854787,-819392742.044313,-773585997.088629,-726994490.747765,-679719281.240733,-631892158.869194,-583680957.851777,-535295187.513017,-486991677.286714,-439079704.881722,-391924752.257236,-345949596.226849,-301630914.099212,-259489098.026724,-220068895.141728,-183909702.421777,-151508668.721582,-123290439.410336,-99618682.2158442,-80916630.6593384,-67980588.482568,-62442038.1392203,-66561482.6649519,-78210741.8405237,-69584397.2402606,0
"506.5",-3042869611.36164,-3033483561.60051,-3024016306.32877,-3014467251.9256,-3004835786.12724,-2995121277.12003,-2985323072.59783,-2975440498.78292,-2965472859.40878,-2955419434.66361,-2945279480.09284,-2935052225.45946,-2924736873.56018,-2914332598.99608,-2903838546.89567,-2893253831.58868,-2882577535.22843,-2871808706.36081,-2860946358.43745,-2849989468.27083,-2838936974.42877,-2827787775.56549,-2816540728.68648,-2805194647.34396,-2793748299.75979,-2782200406.87207,-2770549640.30188,-2758794620.23583,-2746933913.22027,-2734966029.86224,-2722889422.43221,-2710702482.36309,-2698403537.63958,-2685990850.07148,-2673462612.4441,-2660816945.53824,-2648051895.01168,-2635165428.13346,-2622155430.36146,-2609019701.75298,-2595755953.19717,-2582361802.45729,-2568834770.00957,-2555172274.66458,-2541371628.95544,-2527430034.27632,-2513344575.7528,-2499112216.82443,-2484729793.51793,-2470194008.38765,-2455501424.09805,-2440648456.62063,-2425631368.0154,-2410446258.76469,-2395089059.62399,-2379555522.95192,-2363841213.47816,-2347941498.46457,-2331851537.21164,-2315566269.85792,-2299080405.4165,-2282388408.98796,-2265484488.0849,-2248362577.99805,-2231016326.12929,-2213439075.21172,-2195623845.33141,-2177563314.6606,-2159249798.80645,-2140675228.67472,-2121831126.74272,-2102708581.6317,-2083298220.86543,-2063590181.69904,-2043574079.90128,-2023238976.37447,-2002573341.49931,-1981565017.09907,-1960201175.92802,-1938468278.60574,-1916352027.94126,-1893837320.62328,-1870908196.29383,-1847547784.07879,-1823738246.71973,-1799460722.54365,-1774695265.62415,-1749420784.63535,-1723614981.08585,-1697254287.85268,-1670313809.22545,-1642767264.03141,-1614586933.85931,-1585743618.95279,-1556206605.02605,-1525943645.09552,-1494920961.45465,-1463103274.18938,-1430453864.18932,-1396934680.51861,-1362506504.34593,-1327129184.4869,-1290761963.0951,-1253363914.27963,-1214894523.58358,-1175314442.50885,-1134586459.82277,-1092676740.45854,-1049556393.65914,-1005203444.83234,-959605300.535567,-912761813.089298,-864689070.198853,-815424054.714588,-765030338.255858,-713604985.939804,-661286850.741866,-608266412.581105,-554797247.99484,-501209066.869624,-447921969.289398,-395461078.49616,-344469888.140157,-295719405.964398,-250108424.659123,-208648208.772904,-172423500.438312,-142523636.186569,-119948151.769378,-105516971.500767,-99843492.247154,-103333009.994134,-115395876.643069,-129065800.317279,-112807237.336628,0
"506",-3115868348.58968,-3106548891.48497,-3097146520.54817,-3087660715.62459,-3078090941.27455,-3068436645.93213,-3058697261.02899,-3048872200.08184,-3038960857.74234,-3028962608.80807,-3018876807.19318,-3008702784.85724,-2998439850.69067,-2988087289.35525,-2977644360.0779,-2967110295.39609,-2956484299.85274,-2945765548.63894,-2934953186.18215,-2924046324.67774,-2913044042.56153,-2901945382.92082,-2890749351.84121,-2879454916.68644,-2868061004.30813,-2856566499.18231,-2844970241.46913,-2833271024.99218,-2821467595.1333,-2809558646.63868,-2797542821.33155,-2785418705.7266,-2773184828.54053,-2760839658.09317,-2748381599.59259,-2735808992.29759,-2723120106.55004,-2710313140.66893,-2697386217.6976,-2684337381.99434,-2671164595.65615,-2657865734.76425,-2644438585.43897,-2630880839.69058,-2617190091.05123,-2603363829.97197,-2589399438.96712,-2575294187.48679,-2561045226.49636,-2546649582.73983,-2532104152.6617,-2517405695.95959,-2502550828.73721,-2487536016.22429,-2472357565.02696,-2457011614.8684,-2441494129.77585,-2425800888.66588,-2409927475.27494,-2393869267.37739,-2377621425.22761,-2361178879.15671,-2344536316.24783,-2327688166.00677,-2310628584.93717,-2293351439.92076,-2275850290.29448,-2258118368.50603,-2240148559.21963,-2221933376.73196,-2203464940.54672,-2184734948.94396,-2165734650.36669,-2146454812.43441,-2126885688.37885,-2107016980.68354,-2086837801.69511,-2066336630.96098,-2045501269.0364,-2024318787.49369,-2002775474.85923,-1980856778.20081,-1958547240.09003,-1935830430.67446,-1912688874.61393,-1889103972.66845,-1865055917.77496,-1840523605.52275,-1815484539.03748,-1789914728.42114,-1763788585.07862,-1737078811.50432,-1709756287.4193,-1681789953.56226,-1653146694.96908,-1623791226.25926,-1593685982.32092,-1562791018.90014,-1531063929.01609,-1498459782.92077,-1464931101.59756,-1430427876.67262,-1394897653.25166,-1358285696.78996,-1320535270.90305,-1281588060.34093,-1241384782.57243,-1199866043.04828,-1156973503.84172,-1112651453.75575,-1066848891.04609,-1019522258.70895,-970639008.021552,-920182209.913651,-868156486.749007,-814595599.335155,-759572093.590481,-703209482.178985,-645697494.028989,-587310938.296712,-528432638.472677,-469580582.848601,-411438702.616249,-354889168.690074,-301041200.395078,-251246209.657151,-207080535.972078,-170264274.434733,-142469271.66735,-124959643.995944,-118024437.237924,-120217417.323879,-127407668.137159,-131435819.073632,-116391144.318736,0
