signal,n,win_rate,win_rate_barrier,expectancy,expectancy_R,n_barrier,mae,mfe,avg_duration,sharpe_like,sharpe_R,last_updated
PINNING_RISK,257,0.307,0.31,-0.4655,0.0288,252,-1.6649,1.1188,60,-0.101,0.039,2026-06-24 15:36:29
ZERO_CROSS_UP,183,0.284,0.286,-11.6237,-0.2665,182,-24.932,13.6742,60,-0.175,-0.27,2026-06-24 15:19:29
VIX_REGIME_CONFIRM,1000,0.455,0.368,-2.6748,-0.021,1000,-18.4075,15.5238,60,-0.047,-0.021,2026-06-24 15:40:29
SWEEP_ACCELERATION,99,0.343,0.26,-1.5969,0.0422,127,-28.9107,26.195,60,-0.03,0.045,2026-06-24 15:39:29
CALL_SURGE,102,0.431,0.406,-24.1708,0.0928,101,-55.6689,35.9623,60,-0.291,0.079,2026-06-24 12:33:29
ZERO_CROSS_DOWN,243,0.704,0.574,-9.8267,0.356,242,-17.5069,25.9918,60,-0.126,0.314,2026-06-24 15:27:30
ZERO_PROXIMITY_RESISTANCE,908,0.413,0.349,-4.1632,0.0984,877,-9.6508,12.8015,60,-0.109,0.105,2026-06-24 15:37:29
IMBALANCE_REVERSAL,788,0.395,0.368,-1.6517,0.0126,748,-33.72,32.946,60,-0.02,0.012,2026-06-24 15:36:29
DELTA_DIVERGENCE_BEAR,1000,0.446,0.368,-7.2785,0.0655,993,-23.1179,28.7147,60,-0.109,0.065,2026-06-24 15:38:30
REGIME_TRADE_CONFIRM,746,0.458,0.37,-8.7433,-0.0273,729,-38.6091,28.3278,60,-0.113,-0.025,2026-06-24 15:40:29
FAILED_SQUEEZE,76,0.421,0.23,10.8609,-0.2691,74,-64.9715,55.7577,60,0.073,-0.264,2026-06-24 15:35:29
DELTA_DIVERGENCE_BULL,42,0.19,0.214,-1.8692,-0.3642,42,-3.0129,1.588,60,-0.329,-0.419,2026-06-24 12:32:29
CHARM_MOMENTUM_EOD,13,0.231,0.308,40.0642,-0.2308,13,-30.5448,78.4092,60,0.207,-0.192,2026-06-24 15:26:30
ABSORPTION_REVERSAL,4,0.5,0.75,-46.9375,1.125,4,-7.6875,55.6875,60,-0.897,1.5,2026-06-24 11:37:29
PUT_SURGE,23,0.478,0.391,5.4778,0.0523,23,-26.1767,6.455,60,0.24,0.049,2026-06-23 19:22:03
