signal,n,win_rate,win_rate_barrier,expectancy,expectancy_R,n_barrier,mae,mfe,avg_duration,sharpe_like,sharpe_R,last_updated
PINNING_RISK,540,0.419,0.414,-1.6776,0.1014,538,-5.9628,5.7703,60,-0.075,0.112,2026-07-02 15:37:14
ZERO_CROSS_UP,631,0.436,0.404,-3.7787,-0.0078,627,-21.5587,17.7451,60,-0.06,-0.007,2026-07-02 15:36:13
VIX_REGIME_CONFIRM,1000,0.446,0.402,-15.7087,0.1063,1000,-20.7758,27.8948,60,-0.235,0.097,2026-07-02 15:41:14
SWEEP_ACCELERATION,181,0.37,0.193,-3.4794,-0.0062,300,-28.7194,19.047,60,-0.065,-0.008,2026-07-02 14:11:14
CALL_SURGE,149,0.423,0.392,-29.0202,0.0217,148,-74.6428,39.7762,60,-0.295,0.019,2026-07-02 09:52:13
ZERO_CROSS_DOWN,832,0.55,0.466,-3.4713,0.1326,827,-19.1682,22.4227,60,-0.052,0.119,2026-07-02 15:37:14
ZERO_PROXIMITY_RESISTANCE,1000,0.363,0.352,-2.6281,0.0653,1000,-13.1848,15.7675,60,-0.04,0.087,2026-07-02 15:41:13
IMBALANCE_REVERSAL,1000,0.413,0.38,-4.9383,0.0326,1000,-30.9869,38.457,60,-0.054,0.03,2026-07-02 15:26:13
DELTA_DIVERGENCE_BEAR,1000,0.349,0.346,3.3405,-0.0055,1000,-27.5152,25.7231,60,0.051,-0.006,2026-07-02 15:24:13
REGIME_TRADE_CONFIRM,1000,0.432,0.397,-5.9691,0.0076,1000,-36.7043,28.1104,60,-0.075,0.007,2026-07-02 15:37:14
FAILED_SQUEEZE,138,0.384,0.256,-11.756,-0.1764,133,-49.6827,61.8086,60,-0.077,-0.174,2026-07-02 10:00:13
DELTA_DIVERGENCE_BULL,200,0.345,0.328,0.2948,-0.0033,195,-7.9546,8.5008,60,0.01,-0.003,2026-07-02 10:16:13
CHARM_MOMENTUM_EOD,57,0.386,0.439,9.3211,-0.0655,57,-14.7917,29.6987,60,0.096,-0.063,2026-07-02 15:40:13
ABSORPTION_REVERSAL,5,0.4,0.6,-37.55,0.9,5,-6.15,44.55,60,-0.752,1.095,2026-06-30 08:25:47
PUT_SURGE,29,0.586,0.379,0.6455,-0.081,29,-25.2353,9.1212,60,0.027,-0.08,2026-06-30 12:12:41
