signal,n,win_rate,expectancy,mae,mfe,avg_duration,sharpe_like,last_updated
VIX_REGIME_CONFIRM,330,0.161,2.0828,-5.4449,3.9606,60,0.102,2026-06-08 23:59:16
SWEEP_ACCELERATION,9,0.333,-12.7109,-20.7744,8.0078,60,-0.29,2026-06-08 22:26:17
PUT_SURGE,16,0.5,-2.9719,-1.0337,4.2294,60,-0.363,2026-06-08 22:48:17
DELTA_DIVERGENCE_BEAR,122,0.164,14.8239,-18.2111,4.597,60,0.452,2026-06-08 23:59:16
REGIME_TRADE_CONFIRM,30,0.8,55.8,-14.2417,70.1583,60,0.917,2026-06-08 23:59:16
IMBALANCE_REVERSAL,106,0.434,16.3755,-17.6642,8.7592,60,0.417,2026-06-08 23:59:16
ZERO_CROSS_UP,5,0.4,0.488,-0.372,0.738,60,0.514,2026-06-08 22:46:17
ZERO_CROSS_DOWN,4,0.0,0.775,-0.885,0.175,60,0.864,2026-06-08 22:45:17
CALL_SURGE,4,1.0,124.5625,-10.25,128.5,60,2.569,2026-06-08 23:25:17
FAILED_SQUEEZE,2,0.5,1.375,-13.5,42.125,60,0.062,2026-06-08 22:11:17
