signal,n,win_rate,expectancy,mae,mfe,avg_duration,sharpe_like,last_updated
VIX_REGIME_CONFIRM,165,0.576,-6.3661,-4.8275,12.3412,60,-0.347,2026-06-09 23:59:38
SWEEP_ACCELERATION,5,0.2,-0.8643,-8.774,10.68,60,-0.428,2026-06-09 23:59:38
PUT_SURGE,1,1.0,-0.3,-1.9,4.5,60,-0.3,2026-06-09 22:21:40
REGIME_TRADE_CONFIRM,23,0.174,-0.5652,-0.213,0.9913,60,-0.304,2026-06-09 23:59:38
ZERO_CROSS_DOWN,6,0.833,-0.665,-0.2883,0.8917,60,-1.007,2026-06-09 23:34:39
ZERO_CROSS_UP,6,0.0,-0.5517,-0.765,0.1783,60,-1.167,2026-06-09 23:29:39
DELTA_DIVERGENCE_BEAR,25,0.84,-7.45,-5.65,18.038,60,-0.671,2026-06-09 23:59:38
IMBALANCE_REVERSAL,3,0.667,-2.2133,-2.76,1.8033,60,-0.567,2026-06-09 23:59:38
DELTA_DIVERGENCE_BULL,7,0.0,0.0,0.0,0.0,60,0.0,2026-06-09 23:59:38
