Time,CallPremiumBuy,CallPremiumSell,PutPremiumBuy,PutPremiumSell,NetDeltaFlow,NetGammaFlow,NetCharmFlow,FlowVelocity,FlowAcceleration,FlowImbalance,FlowImbalance5m,FlowImbalance15m,FlowImbalanceCycle,CycleCallPremBuy,CyclePutPremBuy,CharmVelocity,CharmAcceleration,GammaRegime,DealerState,Regime,Confidence,Bias,Risk,BullishScore,BearishScore,VolatilityScore,SqueezeScore,PanicScore,BullishScoreRaw,BearishScoreRaw,Events,MaxCallFlowStrike,MaxPutFlowStrike,SPOT
2026-06-02 22:21:00,7373920.0,18931715.0,1061335.0,16463900.0,5.2,-356.8,-10794242.18,0.0,0.0,0.7484,0.7484,0.7484,0.7484,7373920.0,1061335.0,0.0,0.0,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.43,BEARISH,HIGH,18.714745513835336,35.0,79.5524378503096,25.0,30.0,18.7,35.0,,30450.0,30950.0,30694.25
2026-06-02 22:21:00,7388920.0,18931715.0,1061335.0,16463900.0,5.93,-356.21,-10819174.23,-13472680.0,26975360.0,0.7488,0.7488,0.7488,1.0,15000.0,0.0,-24932.057,0.0,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.48,NEUTRAL,HIGH,22.2,35.0,86.6,32.0,30.0,28.7,35.0,FLOW_EXPANSION_BULLISH,30860.0,30950.0,30695.75
2026-06-02 22:22:00,7388920.0,18931715.0,1074085.0,16476650.0,5.93,-356.21,-10819174.23,-8981787.0,26960360.0,0.7462,0.7462,0.7462,-1.0,0.0,12750.0,0.0,24932.057,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.45,BULLISH,HIGH,29.7,29.8,91.1,36.5,30.0,43.7,20.0,FLOW_EXPANSION_BULLISH,30860.0,30650.0,30696.25
2026-06-02 22:23:00,7392232.0,18935028.0,1079285.0,16496400.0,6.53,-356.5,-10824500.16,-6739978.0,13465405.0,0.7452,0.7452,0.7452,-0.2217,3312.0,5200.0,-5325.9269,22269.0936,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.4,NEUTRAL,HIGH,34.6,31.6,94.1,39.5,37.0,43.6,35.0,FLOW_EXPANSION_BULLISH,30780.0,30630.0,30704.0
2026-06-02 22:24:00,7400832.0,18935028.0,1085735.0,16496400.0,6.66,-356.12,-10822437.59,-5388972.0,13472847.0,0.7441,0.7441,0.7441,0.1429,8600.0,6450.0,2062.5735,10834.3518,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.44,BEARISH,HIGH,32.5,38.0,96.0,41.4,41.5,28.6,50.0,FLOW_EXPANSION_BULLISH,30740.0,30600.0,30700.75
2026-06-02 22:25:00,7400832.0,18935028.0,1106560.0,16497825.0,5.74,-355.7,-10821285.82,6980.0,-867.0,0.7399,-0.2539,0.7399,-1.0,0.0,20825.0,1151.7655,4270.1329,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.37,BEARISH,HIGH,27.6,42.2,90.2,39.2,44.5,18.5,50.0,,30740.0,30680.0,30694.75
2026-06-02 22:26:00,7400832.0,18948628.0,1190135.0,16498900.0,1.55,-353.99,-10714508.81,17760.0,41725.0,0.7229,-0.8307,0.7229,-1.0,0.0,83575.0,106777.0106,55596.0647,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.44,BEARISH,HIGH,27.8,44.9,93.3,41.2,46.4,28.1,50.0,FLOW_EXPANSION_BULLISH,30860.0,30480.0,30685.0
2026-06-02 22:27:00,7400832.0,18948628.0,1203635.0,16515475.0,1.65,-354.07,-10719953.88,17145.0,28158.0,0.7202,-0.8316,0.7202,-1.0,0.0,13500.0,-5445.0673,49058.8022,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.44,BEARISH,HIGH,27.9,46.7,95.4,42.5,47.7,28.0,50.0,FLOW_EXPANSION_BULLISH,30860.0,30400.0,30684.5
2026-06-02 22:28:00,7400832.0,18948628.0,1223548.0,16535738.0,1.66,-354.08,-10720679.97,19985.0,4600.0,0.7163,-0.8875,0.7163,-1.0,0.0,19912.0,-726.0916,-57049.9675,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.44,BEARISH,HIGH,27.9,47.9,89.7,43.4,48.5,27.9,50.0,FLOW_EXPANSION_BULLISH,30860.0,30250.0,30684.25
2026-06-02 22:29:00,7400832.0,18948628.0,1223548.0,16535738.0,1.66,-354.08,-10720679.97,16975.0,-45292.0,0.7163,-1.0,0.7163,0.0,0.0,0.0,0.0,-51029.0175,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.33,NEUTRAL,HIGH,29.7,43.4,93.0,40.5,49.0,32.9,35.0,,30860.0,30250.0,30684.5
