6360,735.85
6355,1575.44
6350,4331.74
6345,1918.45
6340,1409.36
6335,604.83
6330,1827.05
6325,3474.77
6320,7124.63
6315,2832.82
6310,8655.99
6305,2992.17
6300,13722.31
6295,6919.73
6290,10325.03
6285,11805.16
6280,20623.14
6275,28156.23
6270,61200.76
6265,95476.72
6260,120294.64
6255,125674.63
6250,253042.80
6245,292188.63
6240,430514.86
6235,697197.30
6230,1749144.89
6225,-8104129.77
6220,-1307495.72
6215,-511697.13
6210,-311658.13
6205,-171459.31
6200,-237685.69
6195,-78757.30
6190,-86417.32
6185,-59629.58
6180,-45760.92
6175,-37350.34
6170,-41079.05
6165,-12229.64
6160,-19944.57
6155,-6578.67
6150,-14464.62
6145,-4076.32
6140,-4653.45
6135,-2361.89
