Time,Activo,Signal,Direction,QualityScore,SPOT_at_signal,SPOT_5m,Move_5m,VolExp_5m,Win_5m,SPOT_15m,Move_15m,VolExp_15m,Win_15m,SPOT_30m,Move_30m,VolExp_30m,Win_30m,SPOT_1h,Move_1h,VolExp_1h,Win_1h,MAE,MFE,Regime,GammaRegime,FlowImbalance,VelocityZscore,DealerStress,AbsorptionScore,PinProbability,BarrierHit,Win_barrier,R_realized
2026-09-24 20:31:32,VIX,APPROACHING_GEX_WALL,NEUTRAL,16.2,15.67,15.67,0.0,0.0,,15.67,0.0,0.0,,15.67,0.0,0.0,,15.67,0.0,0.0,,,,DEALER_LONG_GAMMA,NEGATIVE,0.0,0.0,15.0,0.0,0.55,TIMEOUT,0,0.0
2026-09-24 20:31:32,QQQ,APPROACHING_GEX_WALL,NEUTRAL,20.4,741.37,741.6,0.23,0.0,,742.3,0.93,0.0,,742.07,0.7,0.0,,741.95,0.58,0.0,,,,DEALER_LONG_GAMMA,NEGATIVE,0.0,0.0,35.0,0.0,0.35,TIMEOUT,0,0.0
2026-09-24 20:31:32,QQQ,SWEEP_ACCELERATION,NEUTRAL,20.4,741.37,741.6,0.23,0.0,,742.3,0.93,0.0,,742.07,0.7,0.0,,741.95,0.58,0.0,,,,DEALER_LONG_GAMMA,NEGATIVE,0.0,0.0,35.0,0.0,0.35,TIMEOUT,0,0.0
2026-09-24 20:31:33,SPY,APPROACHING_GEX_WALL,NEUTRAL,20.3,767.18,767.18,0.0,0.0,,767.18,0.0,0.0,,767.18,0.0,0.0,,767.18,0.0,0.0,,,,DEALER_LONG_GAMMA,NEGATIVE,0.0,0.0,35.0,0.0,0.35,TIMEOUT,0,0.0
2026-09-24 20:31:33,SPY,SWEEP_ACCELERATION,NEUTRAL,20.3,767.18,767.18,0.0,0.0,,767.18,0.0,0.0,,767.18,0.0,0.0,,767.18,0.0,0.0,,,,DEALER_LONG_GAMMA,NEGATIVE,0.0,0.0,35.0,0.0,0.35,TIMEOUT,0,0.0
2026-09-24 20:31:33,ES,APPROACHING_GEX_WALL,NEUTRAL,100.0,7758.5,7759.25,0.75,3384.0,,7763.25,4.75,19469.0,,7762.25,3.75,9028.0,,7761.25,2.75,5291.0,,,,DEALER_LONG_GAMMA,NEGATIVE,0.0,0.0,35.0,0.0,0.15,TIMEOUT,0,0.0
2026-09-24 20:31:33,ES,SWEEP_ACCELERATION,NEUTRAL,100.0,7758.5,7759.25,0.75,3384.0,,7763.25,4.75,19469.0,,7762.25,3.75,9028.0,,7761.25,2.75,5291.0,,,,DEALER_LONG_GAMMA,NEGATIVE,0.0,0.0,35.0,0.0,0.15,TIMEOUT,0,0.0
2026-09-24 20:31:33,USO,APPROACHING_GEX_WALL,NEUTRAL,100.0,150.1,149.95,-0.15,0.0,,149.74,-0.36,0.0,,149.84,-0.26,0.0,,149.82,-0.28,0.0,,,,DEALER_SHORT_GAMMA,NEGATIVE,0.0,0.0,35.0,0.0,0.15,TIMEOUT,0,0.0
2026-09-24 20:31:33,USO,SWEEP_ACCELERATION,NEUTRAL,100.0,150.1,149.95,-0.15,0.0,,149.74,-0.36,0.0,,149.84,-0.26,0.0,,149.82,-0.28,0.0,,,,DEALER_SHORT_GAMMA,NEGATIVE,0.0,0.0,35.0,0.0,0.15,TIMEOUT,0,0.0
2026-09-24 20:31:33,USO,ZERO_PROXIMITY_RESISTANCE,BEARISH,36.8,150.1,149.95,-0.15,0.0,1,149.74,-0.36,0.0,1,149.84,-0.26,0.0,1,149.82,-0.28,0.0,1,0.0,0.55,DEALER_SHORT_GAMMA,NEGATIVE,0.0,0.0,35.0,0.0,0.15,TIMEOUT,1,0.056
