signal,n,win_rate,win_rate_barrier,expectancy,expectancy_R,n_barrier,mae,mfe,avg_duration,sharpe_like,sharpe_R,last_updated
PINNING_RISK,1000,0.467,0.451,-0.646,-0.0321,1000,-3.923,3.7323,60,-0.06,-0.059,2026-09-25 19:42:34
ZERO_CROSS_UP,1000,0.445,0.401,-2.119,-0.08,1000,-21.5861,16.9714,60,-0.04,-0.094,2026-09-25 16:40:37
VIX_REGIME_CONFIRM,1000,0.377,0.369,-0.5754,-0.0677,1000,-8.855,11.0494,60,-0.018,-0.093,2026-09-25 19:42:34
SWEEP_ACCELERATION,313,0.425,0.157,1.479,0.0066,756,-22.9495,17.1738,60,0.031,0.011,2026-09-25 16:13:38
CALL_SURGE,159,0.409,0.38,-27.8935,0.0024,158,-70.7573,37.5831,60,-0.292,0.002,2026-09-22 11:52:29
ZERO_CROSS_DOWN,1000,0.508,0.498,0.4996,0.0585,1000,-4.1475,4.0675,60,0.03,0.083,2026-09-25 16:54:22
ZERO_PROXIMITY_RESISTANCE,1000,0.36,0.335,7.2629,-0.131,1000,-17.054,9.6941,60,0.124,-0.199,2026-09-25 19:44:34
IMBALANCE_REVERSAL,1000,0.441,0.393,-0.3327,-0.072,1000,-13.2088,13.9559,60,-0.009,-0.092,2026-09-25 16:12:50
DELTA_DIVERGENCE_BEAR,1000,0.276,0.283,4.156,-0.0922,1000,-10.0611,6.3957,60,0.168,-0.138,2026-09-25 15:46:35
REGIME_TRADE_CONFIRM,1000,0.432,0.436,1.3332,0.1099,1000,-9.9047,11.4323,60,0.033,0.141,2026-09-25 19:44:34
FAILED_SQUEEZE,238,0.34,0.268,-7.9362,-0.0726,228,-32.1279,40.9243,60,-0.067,-0.081,2026-09-24 23:59:31
DELTA_DIVERGENCE_BULL,943,0.411,0.384,-0.0001,-0.0656,921,-12.6948,11.3159,60,-0.0,-0.077,2026-09-25 16:49:33
CHARM_MOMENTUM_EOD,262,0.366,0.359,-2.7665,-0.2514,262,-17.4812,13.2883,60,-0.054,-0.291,2026-09-08 15:12:34
ABSORPTION_REVERSAL,633,0.256,0.248,0.4326,-0.0154,597,-5.7352,5.0828,60,0.02,-0.024,2026-09-25 15:45:15
PUT_SURGE,61,0.59,0.492,-0.2687,-0.0719,61,-13.1433,5.4559,60,-0.016,-0.093,2026-09-25 15:46:35
WALL_REJECT_CALL,348,0.408,0.364,-0.741,-0.0094,341,-6.5667,7.382,60,-0.034,-0.012,2026-09-25 16:01:35
WALL_REJECT_PUT,62,0.177,0.182,-3.7225,-0.1504,55,-7.0736,2.4155,60,-0.179,-0.231,2026-09-23 15:13:44
HEDGE_PANIC,4,0.5,0.25,4.745,-0.5175,4,-3.95,4.2525,60,1.055,-0.536,2026-09-18 23:59:39
WALL_BREAK_CALL,98,0.071,0.071,-5.5241,-0.1182,98,-7.031,0.5755,60,-0.275,-0.283,2026-09-25 08:28:24
WALL_BREAK_PUT,61,0.623,0.574,0.1336,0.1445,61,-5.1238,4.1943,60,0.018,0.162,2026-09-24 13:12:36
GAMMA_COMPRESSION_BREAKOUT,20,0.2,0.192,-2.4723,-0.2448,26,-15.8484,14.4247,60,-0.086,-0.277,2026-08-04 16:49:19
DEALER_UNWIND,7,0.429,0.286,-2.3829,-0.2046,7,-5.0914,0.95,60,-0.346,-0.471,2026-09-25 16:01:35
