770.0,458112.39058832766,0,0
769.0,831554.8664797042,0,0
768.0,350911.3224592339,0,0
767.0,448255.3355079306,0,0
766.0,1311623.4853277842,0,0
765.0,3508875.190458659,0,0
764.0,1279369.7570977784,0,0
763.0,3354195.2491993434,0,0
762.0,12045736.269047646,0,0
761.0,10549229.793840053,0,0
760.0,54014069.102093555,0,0
759.0,34431506.00030264,0,0
758.0,57670249.36766355,0,0
757.0,88395319.11110362,0,0
756.0,190997318.88521615,0,0
755.0,490453694.20149964,0,0
754.0,353364161.2392123,0,0
753.0,401904554.66267633,0,0
752.0,653935955.5237365,0,0
751.0,710268613.1508015,0,0
750.0,2276621483.188141,0,0
749.0,829838671.9255737,0,0
748.0,1629258732.4438667,0,0
747.0,-74657169.45896952,0,0
746.0,-1238642157.6286795,0,0
745.0,-1996971435.5656745,0,0
744.0,-1241868937.2925692,0,0
743.0,-802022386.5784385,0,0
742.0,-440286645.8794598,0,0
741.0,-295781998.06450176,0,0
740.0,-689761552.9615779,0,0
739.0,-243877403.1494711,0,0
738.0,-174887579.61866075,0,0
737.0,-184351994.1444647,0,0
736.0,-154902524.70984298,0,0
735.0,-329609329.61643285,0,0
734.0,-80124015.31540862,0,0
733.0,-18084906.338012688,0,0
732.0,-116434822.78621279,0,0
731.0,-40379711.68323249,0,0
730.0,-117551291.48272043,0,0
729.0,-15955891.048183536,0,0
728.0,-36852195.3692945,0,0
727.0,-22766246.672876183,0,0
726.0,-15856416.699732248,0,0
725.0,-18878230.224960793,0,0
724.0,-12302437.10649517,0,0
