signal,n,win_rate,win_rate_barrier,expectancy,expectancy_R,n_barrier,mae,mfe,avg_duration,sharpe_like,sharpe_R,last_updated
PINNING_RISK,1000,0.487,0.466,-0.685,-0.0372,1000,-3.9087,3.7003,60,-0.064,-0.068,2026-09-24 16:59:35
ZERO_CROSS_UP,1000,0.436,0.407,-2.5117,-0.0667,1000,-21.157,16.6298,60,-0.047,-0.077,2026-09-24 19:46:35
VIX_REGIME_CONFIRM,1000,0.425,0.399,5.3221,-0.0221,1000,-11.0232,11.7742,60,0.133,-0.027,2026-09-24 19:58:35
SWEEP_ACCELERATION,300,0.413,0.156,1.3383,0.0123,723,-23.693,17.6784,60,0.028,0.02,2026-09-24 17:00:35
CALL_SURGE,159,0.409,0.38,-27.8935,0.0024,158,-70.7573,37.5831,60,-0.292,0.002,2026-09-22 11:52:29
ZERO_CROSS_DOWN,1000,0.515,0.497,0.3192,0.0555,1000,-4.0129,4.1519,60,0.019,0.078,2026-09-24 19:57:36
ZERO_PROXIMITY_RESISTANCE,1000,0.4,0.363,5.8532,-0.118,1000,-15.0798,8.8635,60,0.102,-0.182,2026-09-24 19:56:36
IMBALANCE_REVERSAL,1000,0.442,0.395,-0.4056,-0.0716,1000,-13.4133,13.8838,60,-0.011,-0.092,2026-09-24 15:55:35
DELTA_DIVERGENCE_BEAR,1000,0.3,0.308,4.2645,-0.0729,1000,-12.5857,8.419,60,0.148,-0.102,2026-09-24 19:04:35
REGIME_TRADE_CONFIRM,1000,0.442,0.448,1.3905,0.1219,1000,-9.6902,11.301,60,0.035,0.155,2026-09-24 19:41:36
FAILED_SQUEEZE,235,0.345,0.27,-8.0375,-0.0732,226,-32.538,41.4467,60,-0.068,-0.082,2026-09-24 14:17:35
DELTA_DIVERGENCE_BULL,911,0.411,0.384,-0.1129,-0.0649,890,-12.8084,11.4342,60,-0.003,-0.076,2026-09-24 19:34:35
CHARM_MOMENTUM_EOD,262,0.366,0.359,-2.7665,-0.2514,262,-17.4812,13.2883,60,-0.054,-0.291,2026-09-08 15:12:34
ABSORPTION_REVERSAL,611,0.257,0.249,0.2022,-0.0083,579,-5.4788,4.7892,60,0.009,-0.013,2026-09-24 19:04:35
PUT_SURGE,60,0.6,0.5,-0.3591,-0.0564,60,-13.2741,5.5469,60,-0.021,-0.073,2026-09-24 11:08:35
WALL_REJECT_CALL,345,0.412,0.367,-0.7484,-0.0087,338,-6.6224,7.4452,60,-0.034,-0.011,2026-09-23 14:26:46
WALL_REJECT_PUT,62,0.177,0.182,-3.7225,-0.1504,55,-7.0736,2.4155,60,-0.179,-0.231,2026-09-23 15:13:44
HEDGE_PANIC,4,0.5,0.25,4.745,-0.5175,4,-3.95,4.2525,60,1.055,-0.536,2026-09-18 23:59:39
WALL_BREAK_CALL,91,0.077,0.077,-5.582,-0.0571,91,-7.0807,0.578,60,-0.267,-0.158,2026-09-22 07:23:28
WALL_BREAK_PUT,61,0.623,0.574,0.1336,0.1445,61,-5.1238,4.1943,60,0.018,0.162,2026-09-24 13:12:36
GAMMA_COMPRESSION_BREAKOUT,20,0.2,0.192,-2.4723,-0.2448,26,-15.8484,14.4247,60,-0.086,-0.277,2026-08-04 16:49:19
DEALER_UNWIND,6,0.333,0.167,-2.8317,-0.2783,6,-5.885,1.03,60,-0.381,-0.655,2026-09-03 16:01:46
