signal,n,win_rate,win_rate_barrier,expectancy,expectancy_R,n_barrier,mae,mfe,avg_duration,sharpe_like,sharpe_R,last_updated
PINNING_RISK,40,0.0,0.0,0.0,0.0,40,0.0,0.0,60,0.0,0.0,2026-06-21 21:52:45
ZERO_CROSS_UP,2,0.0,0.0,0.0,0.0,2,0.0,0.0,60,0.0,0.0,2026-06-21 18:00:45
VIX_REGIME_CONFIRM,99,0.212,0.182,-1.4394,-0.0561,99,-22.5404,19.3409,60,-0.026,-0.069,2026-06-21 21:57:45
SWEEP_ACCELERATION,7,0.143,0.083,-1.5625,-0.2083,12,-30.0,17.8214,60,-0.034,-0.289,2026-06-21 21:35:45
CALL_SURGE,12,0.417,0.417,7.7708,0.2083,12,-53.2917,49.6667,60,0.102,0.174,2026-06-21 20:47:45
ZERO_CROSS_DOWN,2,0.0,0.0,2.565,-0.5,2,-2.58,0.0,60,0.707,-0.707,2026-06-21 20:00:45
ZERO_PROXIMITY_RESISTANCE,51,0.059,0.078,0.4647,-0.02,51,-1.1863,1.0196,60,0.16,-0.045,2026-06-21 21:54:45
IMBALANCE_REVERSAL,33,0.515,0.515,23.0227,0.2383,33,-61.3182,41.6439,60,0.205,0.194,2026-06-21 21:55:45
DELTA_DIVERGENCE_BEAR,42,0.262,0.381,29.1862,-0.0585,42,-47.4448,25.9926,60,0.457,-0.048,2026-06-21 21:54:45
REGIME_TRADE_CONFIRM,43,0.488,0.372,10.057,-0.0666,43,-45.4721,50.9593,60,0.1,-0.058,2026-06-21 21:57:45
FAILED_SQUEEZE,3,0.333,0.333,29.6667,-0.1667,3,-37.5,7.25,60,0.552,-0.115,2026-06-21 21:41:45
