Time,Activo,SPOT,absorption_score,exhaustion_score,failed_squeeze_flag,bullish_absorption,bearish_absorption,dealer_absorption
2026-09-17 05:59:37,VIX,15.93,0.0,0.0,0,0,0,0
2026-09-17 06:05:30,VIX,15.91,30.0,0.0,0,0,0,0
2026-09-17 06:05:37,VIX,15.94,0.0,0.0,0,0,0,0
2026-09-17 06:06:37,VIX,15.93,30.0,0.0,0,0,0,0
2026-09-17 06:07:37,VIX,15.93,30.0,0.0,0,0,0,0
2026-09-17 06:08:37,VIX,15.94,0.0,0.0,0,0,0,0
2026-09-17 06:09:37,VIX,15.94,30.0,35.0,0,0,0,0
2026-09-17 06:10:37,VIX,15.95,0.0,35.0,0,0,0,0
2026-09-17 06:16:26,VIX,15.95,30.0,35.0,0,0,0,0
2026-09-17 06:16:37,VIX,15.93,30.0,35.0,0,0,0,0
2026-09-17 06:17:37,VIX,15.97,0.0,0.0,0,0,0,0
2026-09-17 06:18:37,VIX,15.97,30.0,0.0,0,0,0,0
2026-09-17 06:19:37,VIX,15.96,30.0,0.0,0,0,0,0
2026-09-17 06:20:37,VIX,15.93,30.0,0.0,0,0,0,0
2026-09-17 06:21:37,VIX,15.92,30.0,0.0,0,0,0,0
2026-09-17 06:27:56,VIX,15.93,0.0,0.0,0,0,0,0
2026-09-17 06:28:37,VIX,15.94,0.0,0.0,0,0,0,0
2026-09-17 06:29:37,VIX,15.93,30.0,0.0,0,0,0,0
2026-09-17 06:30:37,VIX,15.94,0.0,0.0,0,0,0,0
2026-09-17 06:36:48,VIX,15.94,30.0,0.0,0,0,0,0
2026-09-17 06:42:34,VIX,15.94,85.0,0.0,0,1,0,0
2026-09-17 06:42:37,VIX,15.97,40.0,0.0,0,0,0,0
2026-09-17 06:49:25,VIX,15.97,70.0,0.0,0,1,0,0
2026-09-17 06:49:37,VIX,15.98,40.0,0.0,0,0,0,0
2026-09-17 06:56:10,VIX,15.99,40.0,0.0,0,0,0,0
2026-09-17 06:56:37,VIX,15.94,70.0,35.0,0,1,0,0
2026-09-17 07:03:20,VIX,15.86,70.0,0.0,0,1,0,0
2026-09-17 07:09:46,VIX,15.7,70.0,0.0,0,1,0,0
2026-09-17 07:10:37,VIX,15.64,70.0,0.0,0,1,0,0
2026-09-17 07:17:38,VIX,15.66,40.0,0.0,0,0,0,0
2026-09-17 07:18:37,VIX,15.66,85.0,0.0,0,1,0,0
2026-09-17 07:19:37,VIX,15.63,85.0,0.0,0,1,0,0
2026-09-17 07:20:37,VIX,15.6,85.0,15.0,0,1,0,0
2026-09-17 07:27:53,VIX,15.57,70.0,35.0,0,1,0,0
2026-09-17 07:30:02,VIX,15.56,70.0,35.0,0,1,0,0
2026-09-17 07:34:37,VIX,15.45,70.0,0.0,0,1,0,1
2026-09-17 07:35:37,VIX,15.47,40.0,0.0,0,0,0,0
2026-09-17 07:42:37,VIX,15.48,55.0,0.0,0,1,0,0
2026-09-17 07:44:17,VIX,15.46,85.0,0.0,0,1,0,0
2026-09-17 07:50:10,VIX,15.49,0.0,0.0,0,0,0,0
2026-09-17 07:50:37,VIX,15.47,0.0,0.0,0,0,0,0
2026-09-17 07:58:37,VIX,15.45,0.0,0.0,0,0,0,0
2026-09-17 08:00:10,VIX,15.45,0.0,0.0,0,0,0,0
2026-09-17 08:05:29,VIX,15.45,0.0,0.0,0,0,0,0
2026-09-17 08:05:37,VIX,15.46,0.0,35.0,0,0,0,0
2026-09-17 08:13:20,VIX,15.46,0.0,35.0,0,0,0,0
2026-09-17 08:13:37,VIX,15.46,0.0,35.0,0,0,0,0
2026-09-17 08:15:17,VIX,15.45,0.0,35.0,0,0,0,0
2026-09-17 08:21:04,VIX,15.43,0.0,0.0,0,0,0,0
2026-09-17 08:21:42,VIX,15.43,0.0,0.0,0,0,0,0
2026-09-17 08:28:18,VIX,15.43,0.0,0.0,0,0,0,0
2026-09-17 08:28:36,VIX,15.43,0.0,0.0,0,0,0,0
2026-09-17 08:29:55,VIX,15.43,0.0,0.0,0,0,0,0
