signal,n,win_rate,win_rate_barrier,expectancy,expectancy_R,n_barrier,mae,mfe,avg_duration,sharpe_like,sharpe_R,last_updated
PINNING_RISK,192,0.255,0.262,0.0888,0.0039,187,-0.1844,0.1396,60,0.215,0.008,2026-06-22 15:43:23
ZERO_CROSS_UP,63,0.317,0.349,-12.784,-0.1348,63,-17.8347,6.4501,60,-0.331,-0.125,2026-06-22 22:15:08
VIX_REGIME_CONFIRM,698,0.348,0.325,-6.7708,0.0327,677,-23.3581,15.501,60,-0.139,0.034,2026-06-23 02:54:09
SWEEP_ACCELERATION,52,0.404,0.328,-6.6016,0.2017,61,-22.697,23.359,60,-0.135,0.21,2026-06-23 01:07:09
CALL_SURGE,37,0.351,0.297,-26.3062,-0.146,37,-65.7649,26.2214,60,-0.304,-0.14,2026-06-22 22:39:08
ZERO_CROSS_DOWN,82,0.646,0.537,-14.0645,0.2957,82,-6.4635,20.2588,60,-0.354,0.255,2026-06-22 22:27:08
ZERO_PROXIMITY_RESISTANCE,476,0.389,0.348,1.2054,0.0976,454,-7.7183,7.0961,60,0.049,0.109,2026-06-23 02:54:09
IMBALANCE_REVERSAL,365,0.373,0.314,-2.2989,-0.0639,338,-22.9678,20.0322,60,-0.041,-0.063,2026-06-23 02:38:09
DELTA_DIVERGENCE_BEAR,345,0.481,0.411,-6.3687,0.0931,333,-22.8384,32.7511,60,-0.123,0.086,2026-06-23 02:55:09
REGIME_TRADE_CONFIRM,334,0.503,0.44,-7.275,0.0615,323,-34.9654,26.7229,60,-0.117,0.054,2026-06-23 02:55:09
FAILED_SQUEEZE,34,0.441,0.188,-17.1139,-0.394,32,-31.1122,48.6176,60,-0.211,-0.408,2026-06-22 15:29:23
DELTA_DIVERGENCE_BULL,15,0.067,0.133,-2.1377,-0.281,15,-2.523,0.7817,60,-0.736,-0.378,2026-06-22 21:39:08
CHARM_MOMENTUM_EOD,9,0.0,0.0,-14.4519,-1.0,9,-17.9983,1.8894,60,-0.516,0.0,2026-06-22 14:42:23
ABSORPTION_REVERSAL,2,0.5,0.5,-31.0,0.75,2,-2.875,48.25,60,-0.707,0.707,2026-06-22 20:16:08
PUT_SURGE,11,0.818,0.818,-1.6918,1.0184,11,-0.4836,2.0309,60,-1.382,1.669,2026-06-23 01:01:09
