signal,n,win_rate,win_rate_barrier,expectancy,expectancy_R,n_barrier,mae,mfe,avg_duration,sharpe_like,sharpe_R,last_updated
PINNING_RISK,410,0.38,0.379,-1.3636,0.0596,406,-3.3851,3.1354,60,-0.13,0.07,2026-06-30 15:12:41
ZERO_CROSS_UP,507,0.458,0.422,-0.4352,0.0321,505,-19.1574,18.48,60,-0.008,0.029,2026-06-30 15:11:40
VIX_REGIME_CONFIRM,1000,0.398,0.388,7.5221,0.0237,1000,-16.9412,15.1166,60,0.156,0.026,2026-06-30 15:10:41
SWEEP_ACCELERATION,169,0.391,0.214,-0.4054,-0.0119,252,-27.2317,20.0995,60,-0.009,-0.014,2026-06-30 13:43:39
CALL_SURGE,147,0.429,0.397,-29.3627,0.0357,146,-75.5992,40.3116,60,-0.297,0.031,2026-06-30 09:55:38
ZERO_CROSS_DOWN,670,0.525,0.442,-0.0242,0.0784,668,-19.9494,20.1411,60,-0.0,0.071,2026-06-30 15:12:41
ZERO_PROXIMITY_RESISTANCE,1000,0.348,0.301,0.3095,-0.0137,1000,-17.8613,14.7691,60,0.006,-0.016,2026-06-30 15:12:41
IMBALANCE_REVERSAL,1000,0.394,0.386,-4.5381,0.043,1000,-32.2418,38.3471,60,-0.051,0.039,2026-06-30 14:07:39
DELTA_DIVERGENCE_BEAR,1000,0.289,0.273,5.3569,-0.1098,1000,-29.5011,21.4631,60,0.091,-0.118,2026-06-30 14:45:39
REGIME_TRADE_CONFIRM,1000,0.429,0.378,-9.421,-0.0255,1000,-43.6884,31.4208,60,-0.111,-0.024,2026-06-30 15:03:40
FAILED_SQUEEZE,133,0.376,0.258,-6.441,-0.1794,128,-50.2967,57.2286,60,-0.044,-0.176,2026-06-30 09:29:38
DELTA_DIVERGENCE_BULL,160,0.375,0.346,1.4247,0.0086,156,-8.4436,10.0141,60,0.044,0.008,2026-06-30 10:57:40
CHARM_MOMENTUM_EOD,49,0.388,0.469,6.9859,-0.0305,49,-16.2007,29.7101,60,0.069,-0.03,2026-06-30 15:11:40
ABSORPTION_REVERSAL,5,0.4,0.6,-37.55,0.9,5,-6.15,44.55,60,-0.752,1.095,2026-06-30 08:25:47
PUT_SURGE,29,0.586,0.379,0.6455,-0.081,29,-25.2353,9.1212,60,0.027,-0.08,2026-06-30 12:12:41
