"","390","387","384","381","378","375","372","369","366","363","360","357","354","351","348","345","342","339","336","333","330","327","324","321","318","315","312","309","306","303","300","297","294","291","288","285","282","279","276","273","270","267","264","261","258","255","252","249","246","243","240","237","234","231","228","225","222","219","216","213","210","207","204","201","198","195","192","189","186","183","180","177","174","171","168","165","162","159","156","153","150","147","144","141","138","135","132","129","126","123","120","117","114","111","108","105","102","99","96","93","90","87","84","81","78","75","72","69","66","63","60","57","54","51","48","45","42","39","36","33","30","27","24","21","18","15","12","9","6","3","0"
"6320",2141246184.44117,2143164376.17891,2145085337.84415,2147009052.13759,2148935500.80436,2150864664.60353,2152796523.27677,2154731055.51635,2156668238.93243,2158608050.01961,2160550464.12276,2162495455.40219,2164442996.79821,2166393059.99488,2168345615.38338,2170300632.02459,2172258077.61129,2174217918.42976,2176180119.32103,2178144643.64168,2180111453.22439,2182080508.3382,2184051767.64876,2186025188.17835,2188000725.26615,2189978332.52859,2191957961.82008,2193939563.19426,2195923084.86581,2197908473.17318,2199895672.54236,2201884625.45189,2203875272.39942,2205867551.87004,2207861400.30676,2209856752.08331,2211853539.47982,2213851692.66159,2215851139.66146,2217851806.36625,2219853616.50771,2221856491.65855,2223860351.23416,2225865112.50058,2227870690.58948,2229876998.52089,2231883947.23429,2233891445.62924,2235899400.61611,2237907717.17815,2239916298.44581,2241925045.78443,2243933858.89655,2245942635.94009,2247951273.66358,2249959667.56013,2251967712.04138,2253975300.63303,2255982326.1937,2257988681.15868,2259994257.81032,2261998948.57689,2264002646.36168,2266005244.90426,2268006639.17551,2270006725.80841,2272005403.56617,2274002573.8492,2275998141.24248,2277992014.10424,2279984105.19691,2281974332.36054,2283962619.22865,2285948895.98534,2287933100.16216,2289915177.4715,2291895082.6726,2293872780.46404,2295848246.39519,2297821467.78616,2299792444.64369,2301761190.55644,2303727733.54985,2305692116.87595,2307654399.70821,2309614657.70599,2311572983.4059,2313529486.39015,2315484293.1736,2317437546.74216,2319389405.66591,2321340042.70066,2323289642.7826,2325238400.31316,2327186515.62523,2329134190.5215,2331081622.78015,2333028999.53856,2334976489.49429,2336924233.91087,2338872336.49104,2340820852.29114,2342769776.0088,2344719030.19592,2346668454.24641,2348617795.40092,2350566703.51676,2352514731.98443,2354461347.93802,2356405955.78703,2358347939.03557,2360286726.21712,2362221887.29382,2364153266.55158,2366081155.97575,2368006507.75434,2369931173.23597,2371858133.79689,2373791649.02339,2375737177.04042,2377700801.67818,2379687704.88807,2381698921.05995,2383725194.20231,2385736322.45688,2387664383.33849,2389381595.62076,2390686391.93585,2391364794.60879,2391487452.82642,0
"6315",2091974157.88309,2094061885.53291,2096153799.52226,2098249899.81276,2100350185.59237,2102454655.24159,2104563306.29865,2106676135.42319,2108793138.35897,2110914309.89502,2113039643.82568,2115169132.90917,2117302768.82486,2119440542.1291,2121582442.20972,2123728457.23902,2125878574.12534,2128032778.46327,2130191054.48231,2132353384.99413,2134519751.33836,2136690133.32699,2138864509.18735,2141042855.50367,2143225147.15732,2145411357.26581,2147601457.12045,2149795416.12295,2151993201.72084,2154194779.34202,2156400112.32838,2158609161.86874,2160821886.93122,2163038244.19528,2165258187.98354,2167481670.19375,2169708640.23107,2171939044.94104,2174172828.54358,2176409932.56834,2178650295.79196,2180893854.17757,2183140540.81726,2185390285.87794,2187643016.55143,2189898657.0093,2192157128.36365,2194418348.63431,2196682232.7238,2198948692.40099,2201217636.29477,2203488969.89901,2205762595.5903,2208038412.66016,2210316317.36336,2212596202.98447,2214877959.92454,2217161475.81043,2219446635.62916,2221733321.89013,2224021414.81806,2226310792.57996,2228601331.54963,2230892906.6133,2233185391.52062,2235478659.28528,2237772582.63979,2240067034.54946,2242361888.79087,2244657020.60015,2246952307.39704,2249247629.59064,2251542871.47309,2253837922.20744,2256132676.91615,2258427037.87624,2260720915.82718,2263014231.39699,2265306916.65107,2267598916.76744,2269890191.8405,2272180718.81303,2274470493.53373,2276759532.93398,2279047877.31262,2281335592.71215,2283622773.36219,2285909544.1573,2288196063.12507,2290482523.82723,2292769157.6203,2295056235.68349,2297344070.69901,2299633018.04442,2301923476.32749,2304215887.06174,2306510733.2468,2308808536.58303,2311109853.01753,2313415266.29366,2315725379.16537,2318040801.95172,2320362138.16088,2322689967.03092,2325024823.04547,2327367172.83263,2329717390.40387,2332075732.51829,2334442317.17419,2336817109.97463,2339199925.56384,2341590454.70007,2343988332.06025,2346393265.8009,2348805257.38435,2351224949.12131,2353654146.53963,2356096570.87933,2358558898.38067,2361052125.45955,2363593236.03623,2366206983.66263,2368927222.58145,2371796400.3133,2374860110.82956,2378150085.48009,2381641518.03409,2385153738.36936,2388138029.61538,2389534462.92774,0
"6310",2035461407.02432,2037711792.45816,2039967857.84309,2042229624.55087,2044497113.51878,2046770345.21827,2049049339.62226,2051334116.17064,2053624693.73437,2055921090.57766,2058223324.3185,2060531411.88734,2062845369.48372,2065165212.53109,2067490955.62943,2069822612.5058,2072160195.9626,2074503717.82361,2076853188.8776,2079208618.81953,2081570016.18919,2083937388.30724,2086310741.20859,2088690079.57306,2091075406.65311,2093466724.19881,2095864032.37981,2098267329.7043,2100676612.9349,2103091877.00154,2105513114.91114,2107940317.65412,2110373474.10787,2112812570.93695,2115257592.49025,2117708520.69498,2120165334.94778,2122628012.00277,2125096525.85683,2127570847.63229,2130050945.45713,2132536784.34287,2135028326.06066,2137525529.01562,2140028348.12008,2142536734.66596,2145050636.19703,2147569996.38153,2150094754.88591,2152624847.25057,2155160204.76846,2157700754.36772,2160246418.49945,2162797115.03214,2165352757.1543,2167913253.28697,2170478507.00826,2173048416.99213,2175622876.96388,2178201775.67534,2180784996.90284,2183372419.47158,2185963917.31043,2188559359.54163,2191158610.61023,2193761530.4591,2196367974.75536,2198977795.17535,2201590839.75554,2204206953.31796,2206825977.97928,2209447753.754,2212072119.26279,2214698912.55861,2217327972.08397,2219959137.77427,2222592252.32314,2225227162.6272,2227863721.42878,2230501789.17652,2233141236.12475,2235781944.69342,2238423812.11122,2241066753.36417,2243710704.47209,2246355626.11329,2249001507.61578,2251648371.3287,2254296277.38145,2256945328.82899,2259595677.16882,2262247528.19841,2264901148.1583,2267556870.07674,2270215100.19213,2272876324.28045,2275541113.6518,2278210130.50285,2280884132.21622,2283563974.08374,2286250609.79488,2288945088.8775,2291648550.10743,2294362209.72612,2297087343.14046,2299825258.65546,2302577261.76309,2305344608.66304,2308128448.15742,2310929752.04727,2313749235.97849,2316587275.81154,2319443829.72974,2322318384.50403,2325209957.15018,2328117202.92875,2331038710.59755,2333973610.89067,2336922691.26124,2339890308.20234,2342887528.40243,2345937117.35637,2349081209.64504,2352392637.40167,2355990636.8442,2360060131.56627,2364868771.12424,2370758795.4102,2377996708.06389,2385606261.34059,0
"6305",1970989150.70918,1973390192.38242,1975798413.46192,1978213859.82078,1980636577.39093,1983066612.14132,1985504010.0546,1987948817.10218,1990401079.21759,1992860842.26809,1995328152.02434,1997803054.12807,2000285594.05772,2002775817.09175,2005273768.26969,2007779492.35067,2010293033.7694,2012814436.58939,2015343744.45325,2017881000.53004,2020426247.45937,2022979527.29219,2025540881.42806,2028110350.54871,2030687974.54776,2033273792.45635,2035867842.36461,2038470161.33858,2041080785.33254,2043699749.09652,2046327086.07866,2048962828.32239,2051607006.35802,2054259649.08875,2056920783.67053,2059590435.38603,2062268627.51199,2064955381.18018,2067650715.23144,2070354646.06276,2073067187.46723,2075788350.46658,2078518143.13625,2081256570.42279,2084003633.95359,2086759331.83869,2089523658.46491,2092296604.28205,2095078155.58138,2097868294.26659,2100666997.61729,2103474238.04557,2106289982.84574,2109114193.93819,2111946827.60766,2114787834.23695,2117637158.0372,2120494736.77567,2123360501.50282,2126234376.28027,2129116277.9118,2132006115.67974,2134903791.08979,2137809197.62746,2140722220.53013,2143642736.57908,2146570613.91697,2149505711.89657,2152447880.96774,2155396962.61074,2158352789.32495,2161315184.68353,2164283963.46614,2167258931.88343,2170239887.90914,2173226621.73762,2176218916.38744,2179216548.47418,2182219289.17891,2185226905.44226,2188239161.41786,2191255820.22327,2194276646.03127,2197301406.54919,2200329875.93975,2203361838.2422,2206397091.35857,2209435451.67519,2212476759.39528,2215520884.66217,2218567734.55576,2221617261.04462,2224669469.97239,2227724431.14764,2230782289.5885,2233843277.94442,2236907730.07266,2239976095.68125,2243048955.85518,2246127039.15084,2249211237.76098,2252302623.00632,2255402459.08118,2258512213.54829,2261633562.51843,2264768387.7383,2267918761.92121,2271086917.57439,2274275193.30787,2277485950.19533,2280721449.31433,2283983680.36868,2287274130.76316,2290593485.52056,2293941252.5182,2297315317.30194,2300711451.74606,2304122838.94598,2307539746.85045,2310949610.29597,2314338011.53109,2317691470.05414,2321003728.34158,2324288656.44791,2327605535.80762,2331107247.17549,2335130914.97654,2340375186.15275,2348335506.15997,2362995019.22987,0
"6300",1897850431.60884,1900384779.16602,1902927725.36497,1905479341.96675,1908039701.40661,1910608876.78883,1913186941.88041,1915773971.10358,1918370039.52693,1920975222.85518,1923589597.4174,1926213240.15365,1928846228.59973,1931488640.8702,1934140555.63928,1936802052.11957,1939473210.03848,1942154109.61216,1944844831.51667,1947545456.85641,1950256067.12938,1952976744.18922,1955707570.20367,1958448627.60937,1961199999.06259,1963961767.38572,1966734015.50916,1969516826.40843,1972310283.03596,1975114468.24751,1977929464.7226,1980755354.87871,1983592220.77887,1986440144.03209,1989299205.68638,1992169486.1137,1995051064.88646,1997944020.64513,2000848430.95622,2003764372.16027,2006691919.20921,2009631145.49235,2012582122.65069,2015544920.37849,2018519606.21178,2021506245.30289,2024504900.18042,2027515630.49385,2030538492.74208,2033573539.98513,2036620821.53826,2039680382.6478,2042752264.14785,2045836502.09719,2048933127.39571,2052042165.37971,2055163635.39536,2058297550.34996,2061443916.24042,2064602731.65868,2067773987.27399,2070957665.29184,2074153738.88997,2077362171.63184,2080582916.85843,2083815917.05942,2087061103.22567,2090318394.18487,2093587695.92356,2096868900.89896,2100161887.34519,2103466518.5798,2106782642.31724,2110110089.99818,2113448676.14485,2116798197.75501,2120158433.74976,2123529144.49318,2126910071.40581,2130300936.69756,2133701443.25145,2137111274.6945,2140530095.69986,2143957552.57161,2147393274.17353,2150836873.27405,2154287948.39215,2157746086.24416,2161210864.90782,2164681857.83993,2168158638.90508,2171640788.59766,2175127901.66578,2178619596.37369,2182115525.66848,2185615390.54494,2189118955.92606,2192626069.39363,2196136683.10426,2199650879.20429,2203168898.99623,2206691175.99081,2210218372.77337,2213751421.28048,2217291565.56645,2220840405.36111,2224399937.57232,2227972591.22382,2231561248.94481,2235169244.78334,2238800323.46637,2242458539.84919,2246148068.6706,2249872883.2604,2253636246.9115,2257439941.71362,2261283136.6105,2265160770.10341,2269061296.32681,2272963623.85223,2276833083.12563,2280616336.13375,2284235404.14225,2287581726.31704,2290513100.28292,2292861128.33014,2294466882.65137,2295274459.41334,2295475359.73698,2295463407.82692,0
"6295",1815367731.16222,1818012758.34288,1820667628.26051,1823332437.71057,1826007284.8387,1828692269.15773,1831387491.56445,1834093054.35604,1836809061.24587,1839535617.3789,1842272829.34634,1845020805.19967,1847779654.46373,1850549488.149,1853330418.76275,1856122560.31903,1858926028.34735,1861740939.89994,1864567413.5573,1867405569.43205,1870255529.17072,1873117415.95338,1875991354.49086,1878877471.01927,1881775893.29171,1884686750.56665,1887610173.59292,1890546294.59084,1893495247.22918,1896457166.59754,1899432189.17388,1902420452.78647,1905422096.5701,1908437260.9159,1911466087.41416,1914508718.78963,1917565298.82877,1920635972.29802,1923720884.85258,1926820182.93483,1929934013.66154,1933062524.69898,1936205864.12497,1939364180.27684,1942537621.58418,1945726336.38523,1948930472.72554,1952150178.13773,1955385599.40076,1958636882.27726,1961904171.2272,1965187609.09629,1968487336.77716,1971803492.84147,1975136213.14067,1978485630.37354,1981851873.61786,1985235067.82402,1988635333.26784,1992052784.96004,1995487532.00938,1998939676.93665,2002409314.93642,2005896533.08335,2009401409.47984,2012924012.3416,2016464399.01786,2020022614.94274,2023598692.51439,2027192649.89865,2030804489.75392,2034434197.87456,2038081741.74993,2041747069.03727,2045430105.94674,2049130755.5382,2052848895.93037,2056584378.42435,2060337025.54578,2064106629.01194,2067892947.63378,2071695705.16642,2075514588.12701,2079349243.60508,2083199277.09849,2087064250.41822,2090943679.71763,2094837033.71729,2098743732.21618,2102663145.00385,2106594591.31782,2110537340.02765,2114490610.77171,2118453576.32843,2122425366.57098,2126405074.43578,2130391764.43346,2134384484.34705,2138382280.89891,2142384220.3254,2146389414.97541,2150397057.24078,2154406462.32339,2158417121.52484,2162428767.87617,2166441455.94794,2170455657.50079,2174472374.10327,2178493266.71902,2182520800.18541,2186558396.90738,2190610588.11793,2194683141.41439,2198783128.01183,2202918869.32233,2207099665.64873,2211335153.29778,2215634050.07318,2220001916.97116,2224437360.08907,2228925776.8365,2233429233.25595,2237870188.77364,2242105262.74516,2245882554.69295,2248771666.69983,2250050625.81907,2248536183.40978,2242345772.3157,2227946052.56417,0
"6290",1722910752.84599,1725638969.9134,1728378002.8644,1731127970.1237,1733888992.11746,1736661191.31524,1739444692.27256,1742239621.67437,1745046108.37904,1747864283.46322,1750694280.26725,1753536234.44121,1756390283.99165,1759256569.32873,1762135233.314,1765026421.30853,1767930281.2214,1770846963.55856,1773776621.47186,1776719410.80814,1779675490.1584,1782645020.90681,1785628167.27941,1788625096.39251,1791635978.30033,1794660986.04203,1797700295.68758,1800754086.38255,1803822540.39122,1806905843.1381,1810004183.24715,1813117752.57865,1816246746.26315,1819391362.7322,1822551803.74519,1825728274.41199,1828920983.21075,1832130142.00007,1835355966.02515,1838598673.91683,1841858487.68298,1845135632.69112,1848430337.64133,1851742834.5285,1855073358.59242,1858422148.25473,1861789445.0411,1865175493.48713,1868580541.02631,1872004837.85811,1875448636.79429,1878912193.08104,1882395764.19473,1885899609.60856,1889423990.52723,1892969169.58656,1896535410.51462,1900122977.75084,1903732136.01874,1907363149.8484,1911016283.04345,1914691798.08768,1918389955.48565,1922111013.03104,1925855224.9963,1929622841.23622,1933414106.19776,1937229257.82749,1941068526.36753,1944932133.03005,1948820288.53929,1952733191.52964,1956671026.78694,1960633963.31937,1964622152.24321,1968635724.46749,1972674788.16062,1976739425.98088,1980829692.05119,1984945608.65799,1989087162.65269,1993254301.53355,1997446929.18519,2001664901.25338,2005908020.13275,2010176029.54754,2014468608.70782,2018785366.02919,2023125832.41124,2027489454.08108,2031875585.02484,2036283479.05163,2040712281.56645,2045161021.17069,2049628601.26716,2054113791.92498,2058615222.36465,2063131374.56392,2067660578.67076,2072201011.15536,2076750696.95495,2081307517.28596,2085869225.34351,2090433472.81144,2094997851.00349,2099559951.59068,2104117453.28259,2108668242.5567,2113210578.58454,2117743314.8489,2122266192.45182,2126780222.46089,2131288176.18775,2135795201.81713,2140309581.09192,2144843626.90943,2149414694.95037,2154046228.33989,2158768654.35147,2163619773.30264,2168643965.22007,2173888987.25499,2179398143.24438,2185193728.49332,2191243761.43648,2197395131.50854,2203235383.68976,2207806216.61072,2209146986.02028,2205315051.18811,0
"6285",1619913160.58754,1622692979.68055,1625484229.4501,1628287043.99533,1631101559.94702,1633927916.53247,1636766255.6423,1639616721.89923,1642479462.72892,1645354628.43279,1648242372.26311,1651142850.50015,1654056222.53163,1656982650.93438,1659922301.55842,1662875343.6133,1665841949.75695,1668822296.18687,1671816562.73392,1674824932.95849,1677847594.24936,1680884737.92497,1683936559.33738,1687003257.9787,1690085037.59017,1693182106.27373,1696294676.60616,1699422965.75566,1702567195.60091,1705727592.85236,1708904389.17595,1712097821.31877,1715308131.23685,1718535566.22471,1721780379.0465,1725042828.06858,1728323177.39312,1731621696.99249,1734938662.84407,1738274357.06496,1741629068.04621,1745003090.58593,1748396726.02066,1751810282.35424,1755244074.38353,1758698423.81969,1762173659.40447,1765670117.01983,1769188139.78997,1772728078.17406,1776290290.04808,1779875140.77395,1783483003.25376,1787114257.96696,1790769292.98774,1794448503.97982,1798152294.16538,1801881074.26463,1805635262.4019,1809415283.97385,1813221571.47491,1817054564.27438,1820914708.33903,1824802455.89442,1828718265.01733,1832662599.15081,1836635926.5325,1840638719.52555,1844671453.84067,1848734607.63607,1852828660.48076,1856954092.16506,1861111381.33995,1865301003.96502,1869523431.54228,1873779129.11024,1878068552.96955,1882392148.10819,1886750345.28991,1891143557.76531,1895572177.55961,1900036571.28556,1904537075.42322,1909073991.00086,1913647577.60297,1918258046.62191,1922905553.65932,1927590189.97186,1932311972.84334,1937070834.752,1941866611.18756,1946699026.95914,1951567680.82182,1956472028.23977,1961411362.09753,1966384791.17405,1971391216.20942,1976429303.43027,1981497455.46738,1986593779.71246,1991716054.34364,1996861692.53108,2002027705.7605,2007210667.84625,2012406682.1355,2017611355.75694,2022819786.71654,2028026572.43596,2033225852.30905,2038411402.4947,2043576809.12626,2048715757.29587,2053822488.77697,2058892503.08871,2063923606.26459,2068917452.16795,2073881775.47241,2078833586.80986,2083803692.14058,2088843012.30015,2094031316.63496,2099489153.99013,2105394004.48161,2112002141.19019,2119678838.76817,2128942210.85003,2140528417.75232,2155457776.4123,2174763490.2097,2195906228.76371,0
"6280",1505886980.32603,1508683814.14713,1511492265.56793,1514312476.21875,1517144590.57878,1519988756.05753,1522845123.07901,1525713845.16913,1528595079.04618,1531488984.7146,1534395725.56223,1537315468.46105,1540248383.8717,1543194645.95175,1546154432.66811,1549127925.91347,1552115311.62715,1555116779.92042,1558132525.20649,1561162746.33532,1564207646.73356,1567267434.54958,1570342322.80402,1573432529.54596,1576538278.01485,1579659796.80854,1582797320.05752,1585951087.60567,1589121345.19763,1592308344.67316,1595512344.1685,1598733608.32521,1601972408.5065,1605229023.02132,1608503737.35649,1611796844.41702,1615108644.77472,1618439446.92554,1621789567.55547,1625159331.81539,1628549073.60495,1631959135.86546,1635389870.88202,1638841640.59468,1642314816.91892,1645809782.07505,1649326928.92661,1652866661.32743,1656429394.47712,1660015555.28454,1663625582.73877,1667259928.28695,1670919056.21814,1674603444.05236,1678313582.93352,1682049978.02504,1685813148.9064,1689603629.96884,1693421970.80793,1697268736.6105,1701144508.53288,1705049884.06707,1708985477.39079,1712951919.69683,1716949859.49657,1720979962.89139,1725042913.80528,1729139414.17053,1733270184.05753,1737435961.73823,1741637503.67148,1745875584.39643,1750150996.31865,1754464549.37094,1758817070.52849,1763209403.15481,1767642406.15147,1772116952.88057,1776633929.82391,1781194234.9377,1785798775.65443,1790448466.47639,1795144226.09575,1799886973.96545,1804677626.23228,1809517090.92786,1814406262.29516,1819346014.10585,1824337191.79755,1829380603.22789,1834477007.80449,1839627103.7037,1844831512.83587,1850090763.14873,1855405267.78164,1860775300.48925,1866200966.64248,1871682168.98476,1877218567.17192,1882809529.95465,1888454078.67603,1894150820.5608,1899897870.08223,1905692756.53393,1911532315.85523,1917412564.83756,1923328556.20576,1929274213.92943,1935242149.80865,1941223465.42295,1947207548.76766,1953181883.64427,1959131904.199,1965040950.18955,1970890415.77325,1976660244.0097,1982330013.75659,1987881015.57914,1993299950.80777,1998585263.36172,2003757706.03471,2008877674.21386,2014073307.85419,2019585731.07213,2025841982.10705,2033575414.13457,2044041197.27794,2059480363.59893,2084439453.61992,2130820583.97688,0
