signal,n,win_rate,win_rate_barrier,expectancy,expectancy_R,n_barrier,mae,mfe,avg_duration,sharpe_like,sharpe_R,last_updated
PINNING_RISK,540,0.419,0.414,-1.6776,0.1014,538,-5.9628,5.7703,60,-0.075,0.112,2026-07-02 15:37:14
ZERO_CROSS_UP,634,0.435,0.403,-3.7576,-0.0074,630,-21.4607,17.6683,60,-0.059,-0.007,2026-07-02 21:15:53
VIX_REGIME_CONFIRM,1000,0.487,0.435,-14.1708,0.1226,1000,-20.572,29.1828,60,-0.213,0.11,2026-07-03 13:00:00
SWEEP_ACCELERATION,181,0.37,0.182,-3.0845,-0.0058,319,-28.7194,19.047,60,-0.059,-0.007,2026-07-03 10:13:00
CALL_SURGE,149,0.423,0.392,-29.0202,0.0217,148,-74.6428,39.7762,60,-0.295,0.019,2026-07-02 09:52:13
ZERO_CROSS_DOWN,836,0.548,0.463,-3.4502,0.1314,831,-19.0842,22.316,60,-0.052,0.118,2026-07-02 21:14:53
ZERO_PROXIMITY_RESISTANCE,1000,0.31,0.334,-4.7811,0.0823,1000,-8.1694,14.5869,60,-0.079,0.118,2026-07-03 13:07:00
IMBALANCE_REVERSAL,1000,0.414,0.381,-4.8225,0.0319,1000,-31.0546,38.3913,60,-0.053,0.03,2026-07-03 12:49:00
DELTA_DIVERGENCE_BEAR,1000,0.361,0.35,3.6157,0.0032,1000,-27.5339,25.6106,60,0.056,0.003,2026-07-03 12:42:00
REGIME_TRADE_CONFIRM,1000,0.424,0.396,-7.347,0.0147,1000,-35.7826,25.8733,60,-0.101,0.015,2026-07-03 12:57:00
FAILED_SQUEEZE,138,0.384,0.256,-11.756,-0.1764,133,-49.6827,61.8086,60,-0.077,-0.174,2026-07-02 10:00:13
DELTA_DIVERGENCE_BULL,208,0.337,0.32,0.293,-0.002,203,-7.6606,8.1954,60,0.01,-0.002,2026-07-02 21:15:53
CHARM_MOMENTUM_EOD,57,0.386,0.439,9.3211,-0.0655,57,-14.7917,29.6987,60,0.096,-0.063,2026-07-02 15:40:13
ABSORPTION_REVERSAL,5,0.4,0.6,-37.55,0.9,5,-6.15,44.55,60,-0.752,1.095,2026-06-30 08:25:47
PUT_SURGE,29,0.586,0.379,0.6455,-0.081,29,-25.2353,9.1212,60,0.027,-0.08,2026-06-30 12:12:41
