Time,Activo,Strike,Type,Contracts,Premium,Price,IV,Delta,Gamma,DealerState,SPOT,Side,Rel,Moneyness
2026-08-19 10:07:35,USO,129.0,UNUSUAL_PUT_VOL,1611,109548.0,0.68,45.53,-0.241,0.066642,LONG_GAMMA,132.13,UAP,BELOW,-3.13
2026-08-19 10:13:35,USO,128.0,UNUSUAL_PUT_VOL,522,22707.0,0.43,45.63,-0.17,0.053951,LONG_GAMMA,132.28,UAP,BELOW,-4.28
2026-08-19 10:23:35,USO,140.0,UNUSUAL_CALL_VOL,824,25956.0,0.32,55.51,0.115,0.033917,LONG_GAMMA,132.78,UAC,ABOVE,7.22
2026-08-19 10:23:35,USO,133.0,UNUSUAL_CALL_VOL,824,154912.0,1.88,47.88,0.493,0.080963,LONG_GAMMA,132.78,UAC,ABOVE,0.22
2026-08-19 10:45:35,USO,133.0,UNUSUAL_CALL_VOL,1457,248418.0,1.71,47.75,0.465,0.081378,LONG_GAMMA,132.44,UAC,ABOVE,0.56
2026-08-19 11:11:35,USO,135.0,UNUSUAL_CALL_VOL,500,55000.0,1.1,49.37,0.336,0.07239,LONG_GAMMA,132.71,UAC,ABOVE,2.29
2026-08-19 13:12:35,USO,131.0,UNUSUAL_CALL_VOL,750,174375.0,2.33,47.0,0.581,0.083637,LONG_GAMMA,131.83,UAC,BELOW,-0.83
2026-08-19 13:12:35,USO,127.0,CALL_BLOCK_BUY,750,395625.0,5.28,50.06,0.845,0.047862,LONG_GAMMA,131.83,BAC,BELOW,-4.83
2026-08-19 13:39:35,USO,135.0,UNUSUAL_CALL_VOL,500,29750.0,0.59,49.84,0.216,0.059818,LONG_GAMMA,130.96,UAC,ABOVE,4.04
2026-08-19 14:56:35,USO,145.0,UNUSUAL_CALL_VOL,843,4636.0,0.06,68.0,0.022,0.008114,LONG_GAMMA,130.87,UAC,ABOVE,14.13
