,900,897,894,891,888,885,882,879,876,873,870,867,864,861,858,855,852,849,846,843,840,837,834,831,828,825,822,819,816,813,810,807,804,801,798,795,792,789,786,783,780,777,774,771,768,765,762,759,756,753,750,747,744,741,738,735,732,729,726,723,720,717,714,711,708,705,702,699,696,693,690,687,684,681,678,675,672,669,666,663,660,657,654,651,648,645,642,639,636,633,630,627,624,621,618,615,612,609,606,603,600,597,594,591,588,585,582,579,576,573,570,567,564,561,558,555,552,549,546,543,540,537,534,531,528,525,522,519,516,513,510,507,504,501,498,495,492,489,486,483,480,477,474,471,468,465,462,459,456,453,450,447,444,441,438,435,432,429,426,423,420,417,414,411,408,405,402,399,396,393,390,387,384,381,378,375,372,369,366,363,360,357,354,351,348,345,342,339,336,333,330,327,324,321,318,315,312,309,306,303,300,297,294,291,288,285,282,279,276,273,270,267,264,261,258,255,252,249,246,243,240,237,234,231,228,225,222,219,216,213,210,207,204,201,198,195,192,189,186,183,180,177,174,171,168,165,162,159,156,153,150,147,144,141,138,135,132,129,126,123,120,117,114,111,108,105,102,99,96,93,90,87,84,81,78,75,72,69,66,63,60,57,54,51,48,45,42,39,36,33,30,27,24,21,18,15,12,9,6,3,0
25.0,-74925.05187711612,-75579.27488622896,-76228.04428254209,-76871.32138501991,-77509.06763759034,-78141.24461566226,-78767.8140327199,-79388.73774699024,-80003.97776818697,-80613.49626432589,-81217.25556861435,-81815.21818641052,-82407.34680225427,-82993.60428696625,-83573.95370481478,-84148.3583207499,-84716.78160770111,-85279.1872539404,-85835.53917050418,-86385.80149867838,-86929.93861753924,-87467.91515155148,-87999.69597822054,-88525.24623579619,-89044.53133102668,-89557.51694695913,-90064.16905078579,-90564.45390173148,-91058.33805898075,-91545.78838964166,-92026.77207674245,-92501.25662725946,-92969.20988016983,-93430.60001453079,-93885.39555757577,-94333.56539282858,-94775.07876822857,-95209.90530426521,-95638.01500211483,-96059.37825177841,-96473.9658402133,-96881.74895945555,-97282.69921472731,-97676.78863252427,-98063.98966867845,-98444.27521638946,-98817.61861422041,-99183.99365405116,-99543.37458898306,-99895.73614119021,-100241.05350970851,-100579.30237815787,-100910.45892238957,-101234.49981805244,-101551.40224806902,-101861.14391001599,-102163.70302340006,-102459.05833682147,-102747.1891350167,-103028.07524577224,-103301.69704670069,-103568.03547186955,-103827.07201827443,-104078.78875214703,-104323.16831508708,-104560.19393001022,-104789.84940690004,-105012.11914835431,-105226.98815491515,-105434.44203017137,-105634.46698562258,-105827.04984529346,-106012.17805008567,-106189.83966185666,-106360.02336721221,-106522.71848100125,-106677.91494949878,-106825.60335326576,-106965.77490967144,-107098.42147506539,-107223.53554658528,-107341.11026358673,-107451.13940868134,-107553.61740836856,-107648.53933324624,-107735.9008977862,-107815.69845965983,-107887.92901859764,-107952.59021476912,-108009.68032666645,-108059.19826847674,-108101.14358692821,-108135.5164575929,-108162.31768063144,-108181.5486759643,-108193.21147785126,-108197.30872886698,-108193.84367325273,-108182.82014963124,-108164.24258306739,-108138.11597645927,-108104.44590124374,-108063.238487401,-108014.50041274275,-107958.23889146857,-107894.4616619753,-107823.17697390476,-107744.39357441623,-107658.12069366722,-107564.36802949179,-107463.14573126068,-107354.46438291171,-107238.3349851377,-107114.76893672039,-106983.77801499944,-106845.37435546573,-106699.5704304699,-106546.3790270373,-106385.81322378092,-106217.88636690694,-106042.61204530505,-105860.0040647208,-105670.07642100564,-105472.84327244222,-105268.31891114503,-105056.51773353628,-104837.45420989982,-104611.14285301708,-104377.59818589018,-104136.83470856052,-103888.86686403178,-103633.70900331,-103371.37534957347,-103101.87996148928,-102825.23669569573,-102541.45916847089,-102250.56071661242,-101952.55435755513,-101647.4527487557,-101335.26814637927,-101016.01236332292,-100689.69672661644,-100356.33203424461,-100015.92851143738,-99668.49576648072,-99314.0427461025,-98952.57769049403,-98584.108088032,-98208.64062976933,-97826.18116377035,-97436.7346493683,-97040.30511143085,-96636.89559472432,-96226.50811847135,-95809.14363120591,-95384.80196603309,-94953.48179640938,-94515.18059256492,-94069.89457869742,-93617.618691073,-93158.34653717965,-92692.07035608323,-92218.780980149,-91738.46779829438,-91251.11872095421,-90756.7201469424,-90255.2569324101,-89746.71236210463,-89231.06812314849,-88708.30428156636,-88178.3992617995,-87641.32982946081,-87097.07107759305,-86545.59641670976,-85986.87756890747,-85420.88456635672,-84847.58575449082,-84266.94780022837,-83678.93570558251,-83083.51282702651,-82480.64090100305,-81870.28007598546,-81252.38895151696,-80626.92462467856,-79993.84274445543,-79353.09757449749,-78704.64206479618,-78048.42793282233,-77384.40575470371,-76712.52506704639,-76032.73448003919,-75344.98180251206,-74649.21417965864,-73945.3782441669,-73233.42028154823,-72513.28641049293,-71784.92277913149,-71048.27577812516,-70303.29227156517,-69549.91984671153,-68788.10708366366,-68017.80384611372,-67238.96159440074,-66451.53372215119,-65655.47591786295,-64850.74655286643,-64037.30709717464,-63215.122564815574,-62384.16199032765,-61544.398938183775,-60695.81204700284,-59838.38561049787,-58972.110197203416,-58096.983311119504,-57213.01009549904,-56320.20408209959,-55418.58798830304,-54508.19456458961,-53589.067494923016,-52661.262352666374,-51724.847614692175,-50779.90573638136,-49826.53429020871,-48864.847170590474,-47894.975867611975,-46917.070812153055,-45931.3027947821,-44937.86446057661,-43936.97188175228,-42928.866209617074,-41913.815406907255,-40892.116060986344,-39864.0952776819,-38830.11265467138,-37790.562332290836,-36745.87511839426,-35696.52068241514,-34643.009812031654,-33585.89672378697,-32525.781416614544,-31463.3120544264,-30399.187360687334,-29334.159004168912,-28269.033950789762,-27204.67675155281,-26142.011731010585,-25082.02503437141,-24025.766484231623,-22974.351189927467,-21928.96084358748,-20890.844627098933,-19861.319643352293,-18841.770773318443,-17833.64984778506,-16838.474009052883,-15857.823123753658,-14893.336093501059,-13946.705895755364,-13019.673173690877,-12114.018181848156,-11231.550885066132,-10374.099003128456,-9543.493794662343,-8741.553383586936,-7970.063452922953,-7230.755167885371,-6525.280247491256,-5855.183186848537,-5221.870746994641,-4626.578982287563,-4070.338273623255,-3553.937085094207,-3077.885465908024,-2642.3796780182565,-2247.269735236573,-1892.0320722655738,-1575.749985556225,-1297.1048415492517,-1054.3812397434397,-845.489218917905,-668.0060374520641,-519.2388487967182,-396.30754305645496,-296.24402480403484,-216.1003358845765,-153.05378530101908,-104.493698074522,-68.0733920293767,-41.715030021974414,-23.566398868629385,-11.927615760096723,-5.187121411687903,-1.8168083026546824,-0.4565720406742559,-0.05869846918418602,0.009769376174203637,0.011372753525368057,0.007475614016129554,0.004069331350416591,0.0014387265216856892,0.0
24.0,-284563.76566412864,-284121.5587076836,-283676.29340630805,-283227.9552011849,-282776.5295015614,-282322.0016847007,-281864.35709581367,-281403.58104796987,-280939.65882198594,-280472.57566629135,-280002.3167967683,-279528.8673965682,-279052.2126159004,-278572.3375717936,-278089.2273478279,-277602.866993838,-277113.24152558314,-276620.3359243865,-276124.1351367388,-275624.624073868,-275121.78761127114,-274615.61058820854,-274106.0778071587,-273593.17403323075,-273076.8839935361,-272557.19237651373,-272034.0838312111,-271507.54296651634,-270977.5543503425,-270444.10250875866,-269907.17192507006,-269366.74703884235,-268822.81224486977,-268275.3518920848,-267724.35028240684,-267169.7916695281,-266611.660257637,-266049.9402000718,-265484.61559790774,-264915.6704984722,-264343.0888937866,-263766.8547189334,-263186.9518503443,-262603.36410400947,-262016.07523360226,-261425.06892852133,-260830.3288118429,-260231.83843818452,-259629.5812914751,-259023.54078263012,-258413.70024712896,-257800.04294249153,-257182.55204565055,-256561.2106502194,-255936.0017636494,-255306.90830427606,-254673.9130982501,-254036.99887635163,-253396.14827068258,-252751.34381123673,-252102.56792234207,-251449.80291897498,-250793.03100294038,-250132.2342589172,-249467.39465036482,-248798.49401528787,-248125.51406185585,-247448.4363638752,-246767.24235611057,-246081.91332945082,-245392.43042592026,-244698.77463352663,-244000.92678094897,-243298.86753205772,-242592.5773802653,-241882.03664270657,-241167.22545424325,-240448.12376129028,-239724.71131546408,-238996.96766704528,-238264.87215825796,-237528.40391636052,-236787.54184654617,-236042.26462465108,-235292.55068966892,-234538.37823606757,-233779.72520590975,-233016.5692807724,-232248.88787346572,-231476.65811955053,-230699.85686865193,-229918.46067556943,-229132.44579118333,-228341.7881531569,-227546.46337643362,-226746.4467435328,-225941.71319464094,-225132.23731750273,-224317.99333711268,-223498.955105209,-222675.0960895732,-221846.3893631383,-221012.8075929082,-220174.3230286959,-219330.90749168003,-218482.53236279177,-217629.16857093174,-216770.7865810303,-215907.35638195404,-215038.8474742696,-214165.2288578746,-213286.46901950485,-212402.53592013006,-211513.3969822512,-210619.01907711284,-209719.36851184434,-208814.41101654834,-207904.11173135223,-206988.43519344268,-206067.34532410256,-205140.80541577478,-204208.77811917273,-203271.22543046786,-202328.1086785773,-201379.38851258438,-200425.02488932037,-199464.97706114454,-198499.20356395538,-197527.6622054736,-196550.31005383603,-195567.10342654647,-194577.99787982734,-193582.94819842363,-192581.90838591094,-191574.83165556373,-190561.6704218428,-189542.3762925666,-188516.9000618307,-187485.1917037486,-186447.20036708884,-185402.87437088587,-184352.16120111223,-183295.0075084983,-182231.3591075956,-181161.16097718236,-180084.3572621176,-179000.89127675322,-177910.70551002328,-176813.74163233317,-175709.94050437852,-174599.24218803362,-173481.58595945162,-172356.91032453126,-171225.1530369099,-170086.25111865168,-168940.14088381047,-167786.75796505171,-166626.0373435335,-165457.9133822505,-164282.3198630594,-163099.1900276135,-161908.456622445,-160710.05194844672,-159503.907915016,-158289.95609913577,-157068.12780968327,-155838.35415726693,-154600.5661299103,-153354.6946749117,-152100.6707872299,-150838.4256047526,-149567.8905108319,-148288.99724447817,-147001.67801862553,-145705.8656468999,-144401.49367933758,-143088.49654752124,-141766.8097196206,-140436.36986584365,-139097.11503482476,-137748.98484149718,-136391.92066701732,-135025.86587133046,-133650.76601898868,-132266.56911885395,-130873.22587834016,-129470.6899728721,-128058.91833125846,-126637.8714377015,-125207.51365118333,-123767.81354299486,-122318.74425318986,-120860.28386676978,-119392.41581042364,-117915.1292706635,-116428.41963421606,-114932.28895154336,-113426.74642438133,-111911.80891819384,-110387.50150045026,-108853.85800563957,-107310.92162793591,-105758.74554242894,-104197.39355582598,-102626.94078752228,-101047.47438191602,-99459.09425282491,-97861.91386082528,-96256.06102429901,-94641.67876492241,-93018.92618827197,-91387.97940015122,-89749.03245915835,-88102.29836591514,-86448.01008926124,-84786.42162958675,-83117.80911931797,-81442.47196039803,-79760.73399840009,-78072.94473267962,-76379.48056171303,-74680.7460624709,-72977.17530233997,-71269.23318172793,-69557.41680505953,-67842.25687738885,-66124.31912331318,-64404.20572426469,-62682.556769572206,-60960.051715917194,-59237.410848947715,-57515.396739845106,-55794.81568855487,-54076.519144175465,-52361.40509163196,-50650.41939223146,-48944.55706397765,-47244.86348559379,-45552.43550604209,-43868.42243890219,-42194.02691825432,-40530.50558966629,-38879.16960647696,-37241.38489775552,-35618.57217006101,-34012.20660038439,-32423.817172383042,-30854.985602179167,-29307.344793546374,-27782.576755236358,-26282.409905481705,-24808.615680365725,-23363.00435382321,-21947.41996761231,-20563.734259840145,-19213.83947076872,-17899.639895041146,-16623.04204065629,-15385.943247705247,-14190.21861503044,-13037.706081875984,-11930.189515967486,-10869.379671483166,-9856.892902843934,-8894.22755663013,-7982.738018469529,-7123.606469491784,-6317.812513745026,-5566.100980288394,-4868.948388219709,-4226.528795942121,-3638.6800421515895,-3104.871726483783,-2624.176667363973,-2195.2479980350226,-1816.3044882494537,-1485.1270560628548,-1199.0696798629442,-955.0879180769978,-749.7878377544491,-579.497156811515,-440.3586243798817,-328.4429522791593,-239.87496415968985,-170.96233411837545,-118.31210826524229,-78.91755160559714,-50.19880045669531,-29.98762041655322,-16.460612438664953,-8.044738848465684,-3.3367647940117435,-1.080707808714283,-0.22071776202465107,0.00808403810842781,0.03629673354654171,0.028132139672164744,0.018309358671046865,0.009966394965355698,0.00352365422834764,0.0
23.0,-23110.130107773322,-23512.71333398016,-23912.182641246036,-24308.51119619626,-24701.67216507254,-25091.638716710953,-25478.384025563537,-25861.881274763386,-26242.103659234635,-26619.024388845915,-26992.616691608,-27362.853816915624,-27729.70903883352,-28093.155659426255,-28453.167012132217,-28809.716465181817,-29162.77742505916,-29512.323340008606,-29858.327703583054,-30200.764058238514,-30539.605998969975,-30874.82717699191,-31206.40130346141,-31534.302153244724,-31858.503568726373,-32178.979463660893,-32495.703827067475,-32808.650727165725,-33117.79431535448,-33423.10883023147,-33724.568601654624,-34022.148054844314,-34315.821714526144,-34605.5642091144,-34891.35027493498,-35173.15476048857,-35450.95263075255,-35724.71897152162,-35994.42899378733,-36260.05803815541,-36521.58157929978,-36778.97523045536,-37032.214747945516,-37281.27603574715,-37526.135150090486,-37766.76830409467,-38003.15187243726,-38235.262396058664,-38463.076586899704,-38686.57133267225,-38905.72370166285,-39120.51094756817,-39330.910514362055,-39536.900041193876,-39738.45736731697,-39935.56053704804,-40128.187804755406,-40316.31763987678,-40499.92873196595,-40678.99999576742,-40853.51057631946,-41023.439854084296,-41188.76745010593,-41349.47323119476,-41505.53731513886,-41656.94007594207,-41803.662149087955,-41945.684436830634,-42082.98811351126,-42215.554630901126,-42343.36572357088,-42466.40341428641,-42584.65001943142,-42698.08815445704,-42806.70073935932,-42910.471004184335,-43009.38249456263,-43103.41907727285,-43192.5649458359,-43276.80462614103,-43356.122982104076,-43430.50522136044,-43499.93690099343,-43564.40393329991,-43623.89259159551,-43678.389516061136,-43727.88171963304,-43772.356593939665,-43811.8019152871,-43846.205850696926,-43875.5569639997,-43899.84422198705,-43919.05700062741,-43933.18509134851,-43942.218707391774,-43946.148490243504,-43944.96551614795,-43938.661302708075,-43927.22781557972,-43910.65747526635,-43888.943164020515,-43862.07823285995,-43830.05650870592,-43792.872301652234,-43750.520412373866,-43702.99613968456,-43650.29528825346,-43592.414176491126,-43529.34964461685,-43461.099062918016,-43387.660340215014,-43309.031932544334,-43225.21285207394,-43136.202676265486,-43042.00155729866,-42942.61023177426,-42838.03003071221,-42728.26288986307,-42613.311360351334,-42493.17861966974,-42367.86848304575,-42237.385415200886,-42101.73454252525,-41960.92166569093,-41814.95327272789,-41663.83655258784,-41507.579409222344,-41346.190476201926,-41179.679131905265,-41008.0555153065,-40831.33054239232,-40649.51592323926,-40462.62417978388,-40270.66866431931,-40073.663578752814,-39871.62399465954,-39664.5658741692,-39452.50609172312,-39235.4624567402,-39013.45373723101,-38786.4996844004,-38554.621058279714,-38317.83965443057,-38076.17833176242,-37829.661041507934,-37578.31285739899,-37322.16000708842,-37061.229904861604,-36795.55118568329,-36525.15374062383,-36250.068753711064,-35970.32874025129,-35685.96758666489,-35397.02059187982,-35103.52451032644,-34805.51759657609,-34503.039651663465,-34196.132071133696,-33884.83789485055,-33569.20185860187,-33249.270447535986,-32925.09195145828,-32596.7165220165,-32264.19623179724,-31927.585135354275,-31586.939332182676,-31242.317031649935,-30893.77861988748,-30541.386728641326,-30185.206306073476,-29825.304689497472,-29461.751680024405,-29094.619619086297,-28723.983466793507,-28349.920882073555,-27972.51230452585,-27591.841037915863,-27207.99333521762,-26821.058485100053,-26431.12889973666,-26038.300203801693,-25642.671324497867,-25244.344582441503,-24843.425783211762,-24440.02430934652,-24034.25321254703,-23626.229305826233,-23216.07325531137,-22803.909671382276,-22389.86719879801,-21974.078605432467,-21556.680869207485,-21137.815262776137,-20717.627435472332,-20296.26749200441,-19873.890067329292,-19450.654397100683,-19026.724383040535,-18602.268652535648,-18177.460611711824,-17752.478491187398,-17327.50538365411,-16902.72927237785,-16478.343049654475,-16054.544524196126,-15631.536416362042,-15209.526340084854,-14788.726770277732,-14369.354994442536,-13951.633047130093,-13535.78762583661,-13122.049986849872,-12710.65581949062,-12301.84509712526,-11895.861903257854,-11492.954230943973,-11093.373753704807,-10697.375566060358,-10305.217891745328,-9917.161757622169,-9533.470631265085,-9154.410020156578,-8780.247030419,-8411.249882997763,-8047.687385224528,-7689.828355720811,-7337.941000658301,-6992.292239476336,-6653.146978274501,-6320.767329253238,-5995.411774775734,-5677.334274874353,-5366.783317334555,-5064.000909864326,-4769.221514308325,-4482.670923402304,-4204.565081194716,-3935.1088490016787,-3674.494719617937,-3422.90148349483,-3180.4928517262747,-2947.416041969557,-2723.800334879372,-2509.755610261207,-2305.3708739624817,-2110.7127885205446,-1925.8242227773396,-1750.7228380440254,-1585.399730943618,-1429.8181557501755,-1283.9123518442202,-1147.586504762369,-1020.7138721633065,-903.1361087663971,-794.6628268205642,-695.0714307747465,-604.107266356606,-521.4841249931566,-446.8851441544814,-379.96414245696286,-320.34742487492355,-267.63608779900557,-221.40884555060072,-181.22538892756612,-146.6302720744317,-117.15730618956566,-92.33441720887768,-71.68889978565618,-54.75297210154306,-41.06950622431085,-30.19777836572041,-21.719054640880852,-15.241803665524703,-10.40631113116726,-6.888467511676671,-4.402512646778106,-2.7025541350559887,-1.5827330533398571,-0.8759909563568443,-0.4514932196798676,-0.21087757312800126,-0.08360970239854801,-0.02182180164509326,0.004935704757468217,0.014602638625282941,0.016821819000132892,0.016231390680041022,0.014777895073359283,0.013150483541662022,0.011545989212198324,0.010007871230582607,0.008544797787628969,0.007160982566067956,0.0058611771270117114,0.004651198176363889,0.003538287826190041,0.002531793740665139,0.0016444489658472635,0.0008951250162044044,0.0003164746179344031,0.0
