,900,897,894,891,888,885,882,879,876,873,870,867,864,861,858,855,852,849,846,843,840,837,834,831,828,825,822,819,816,813,810,807,804,801,798,795,792,789,786,783,780,777,774,771,768,765,762,759,756,753,750,747,744,741,738,735,732,729,726,723,720,717,714,711,708,705,702,699,696,693,690,687,684,681,678,675,672,669,666,663,660,657,654,651,648,645,642,639,636,633,630,627,624,621,618,615,612,609,606,603,600,597,594,591,588,585,582,579,576,573,570,567,564,561,558,555,552,549,546,543,540,537,534,531,528,525,522,519,516,513,510,507,504,501,498,495,492,489,486,483,480,477,474,471,468,465,462,459,456,453,450,447,444,441,438,435,432,429,426,423,420,417,414,411,408,405,402,399,396,393,390,387,384,381,378,375,372,369,366,363,360,357,354,351,348,345,342,339,336,333,330,327,324,321,318,315,312,309,306,303,300,297,294,291,288,285,282,279,276,273,270,267,264,261,258,255,252,249,246,243,240,237,234,231,228,225,222,219,216,213,210,207,204,201,198,195,192,189,186,183,180,177,174,171,168,165,162,159,156,153,150,147,144,141,138,135,132,129,126,123,120,117,114,111,108,105,102,99,96,93,90,87,84,81,78,75,72,69,66,63,60,57,54,51,48,45,42,39,36,33,30,27,24,21,18,15,12,9,6,3,0
20.0,-3394411983.735642,-3432464861.5966344,-3470910397.177921,-3509752916.730434,-3548996798.14325,-3588646471.5815725,-3628706420.1316047,-3669181180.452394,-3710075343.434587,-3751393554.866172,-3793140516.105146,-3835320984.759148,-3877939775.3720174,-3921001760.117309,-3964511869.4986615,-4008475093.0571265,-4052896480.085302,-4097781140.348303,-4143134244.8115335,-4188961026.3751793,-4235266780.6154003,-4282056866.532141,-4329336707.303524,-4377111791.046703,-4425387671.585119,-4474169969.22212,-4523464371.520753,-4573276634.089656,-4623612581.374997,-4674478107.458231,-4725879176.8595915,-4777821825.347204,-4830312160.751561,-4883356363.785282,-4936960688.867972,-4991131464.95588,-5045875096.376278,-5101198063.666294,-5157106924.415895,-5213608314.114888,-5270708947.003555,-5328415616.926754,-5386735198.191068,-5445674646.424783,-5505240999.440328,-5565441378.098767,-5626282987.176105,-5687773116.230842,-5749919140.472513,-5812728521.630714,-5876208808.82414,-5940367639.429146,-6005212739.947474,-6070751926.872367,-6136993107.552697,-6203944281.054542,-6271613539.019451,-6340009066.518889,-6409139142.904199,-6479012142.651271,-6549636536.199365,-6621020890.783162,-6693173871.257379,-6766104240.91308,-6839820862.284781,-6914332697.947617,-6989648811.303388,-7065778367.354784,-7142730633.466656,-7220514980.113275,-7299140881.610562,-7378617916.83219,-7458955769.90832,-7540164230.905823,-7622253196.4887905,-7705232670.557975,-7789112764.867865,-7873903699.6201105,-7959615804.031693,-8046259516.876656,-8133845386.999665,-8222384073.800026,-8311886347.684455,-8402363090.487104,-8493825295.855108,-8586284069.597881,-8679750629.998638,-8774236308.086172,-8869752547.865034,-8966310906.502525,-9063923054.470343,-9162600775.6391,-9262355967.323793,-9363200640.278202,-9465146918.636272,-9568207039.798481,-9672393354.26119,-9777718325.387001,-9884194529.114023,-9991834653.602182,-10100651498.814524,-10210657976.03153,-10321867107.296692,-10434292024.791204,-10547945970.13635,-10662842293.621426,-10778994453.35595,-10896416014.34433,-11015120647.481709,-11135122128.469736,-11256434336.650984,-11379071253.761335,-11503046962.599327,-11628375645.612192,-11755071583.39826,-11883149153.125877,-12012622826.869175,-12143507169.861538,-12275816838.667984,-12409566579.278069,-12544771225.12161,-12681445695.00982,-12819604991.005405,-12959264196.22555,-13100438472.582663,-13243143058.46861,-13387393266.388887,-13533204480.554422,-13680592154.43958,-13829571808.316353,-13980159026.77586,-14132369456.249804,-14286218802.546043,-14441722828.414274,-14598897351.159473,-14757758240.322918,-14918321415.452744,-15080602843.988543,-15244618539.286753,-15410384558.816778,-15577917002.56072,-15747232011.652874,-15918345767.298676,-16091274490.016998,-16266034439.253586,-16442641913.418179,-16621113250.402876,-16801464828.644466,-16983713068.799488,-17167874436.107,-17353965443.520645,-17542002655.699265,-17732002693.95293,-17923982242.250114,-18117958054.40072,-18313946962.53973,-18511965887.047264,-18712031848.05209,-18914161978.678257,-19118373540.208424,-19324683939.351357,-19533110747.81746,-19743671724.422688,-19956384839.959557,-20171268305.093792,-20388340601.566032,-20607620517.001064,-20829127183.651447,-21052880121.428883,-21278899285.605083,-21507205119.594505,-21737818613.264244,-21970761367.251755,-22206055663.809143,-22443724544.733887,-22683791896.989407,-22926282546.667027,-23171222361.990772,-23418638366.12203,-23668558860.578987,-23921013560.149773,-24176033740.245003,-24433652397.709103,-24693904426.187458,-24956826807.23042,-25222458818.40565,-25490842259.78632,-25762021700.287407,-26036044745.432816,-26312962328.25646,-26592829025.16774,-26875703398.750633,-27161648369.612125,-27450731619.554638,-27743026028.517014,-28038610147.910313,-28337568713.170544,-28639993198.55964,-28945982417.470715,-29255643171.735023,-29569090953.685947,-29886450705.013134,-30207857636.737305,-30533458114.95548,-30863410617.34876,-31197886765.813503,-31537072440.970715,-31881168984.734222,-32230394497.573746,-32584985237.600235,-32945197129.12961,-33311307388.950027,-33683616279.132042,-34062448995.883724,-34448157704.66967,-34841123732.58786,-35241759929.839645,-35650513213.04119,-36067867304.11914,-36494345679.616394,-36930514746.42087,-37376987261.22852,-37834426012.48224,-38303547785.10372,-38785127630.08177,-39280003462.918144,-39789081017.09396,-40313339181.141,-40853835750.62179,-41411713629.3974,-41988207518.04404,-42584651131.25103,-43202484990.57381,-43843264844.135315,-44508670770.89424,-45200517034.08362,-45920762756.55141,-46671523500.23572,-47455083843.15175,-48273911060.38676,-49130670031.098854,-50028239511.882996,-50969729938.70146,-51958502945.60145,-52998192819.54965,-54092730147.98165,-55246367960.41914,-56463710719.37097,-57749746580.689255,-59109883422.03739,-60549989233.1396,-62076437576.70955,-63696158968.95216,-65416699198.926315,-67246285813.827515,-69193904251.07654,-71269385408.81029,-73483506827.52905,-75848110124.31416,-78376237898.76747,-81082294044.0592,-83982232282.29526,-87093778846.06786,-90436696606.27614,-94033099677.09032,-97907829714.08856,-102088907897.08554,-106608080138.47322,-111501477631.21623,-116810420792.93417,-122582402454.51163,-128872296460.75089,-135743851661.49298,-143271549963.4914,-151542932708.25912,-160661535115.9192,-170750618323.59903,-181957959336.3767,-194462061223.72113,-208480295005.56656,-224279705934.3134,-242191550601.39786,-262631143720.4344,-286125396017.6701,-313351709888.1119,-345194009527.67426,-382825245017.32056,-427831918788.51874,-482407397704.38904,-549661872707.3922,-634138423562.4525,-742711240811.2458,-886234317086.7489,-1082770183098.0165,-1364445772878.2588,-1793609755842.2312,-2506644730079.6045,-3859230321609.7095,-7089855685067.827,-20053131274936.72,0.0
19.0,-1871867137.4166312,-1894062452.8751614,-1916438227.7702134,-1938995878.3624778,-1961736825.2400491,-1984662493.0545592,-2007774310.2456515,-2031073708.7535148,-2054562123.719043,-2078240993.171226,-2102111757.7014432,-2126175860.1241446,-2150434745.1235924,-2174889858.8861556,-2199542648.717778,-2224394562.646089,-2249447049.006748,-2274701556.0134935,-2300159531.3114185,-2325822421.5129485,-2351691671.7159786,-2377768725.0036783,-2404055021.9253435,-2430551999.9577403,-2457261092.9463725,-2484183730.526041,-2511321337.520062,-2538675333.317527,-2566247131.227921,-2594038137.8124337,-2622049752.191252,-2650283365.3261194,-2678740359.2774453,-2707422106.4351306,-2736329968.7224436,-2765465296.772042,-2794829429.073359,-2824423691.090499,-2854249394.3497844,-2884307835.496006,-2914600295.316534,-2945128037.7322583,-2975892308.7544622,-3006894335.4065285,-3038135324.609596,-3069616462.030928,-3101338910.8940687,-3133303810.749557,-3165512276.2051115,-3197965395.6140904,-3230664229.7209773,-3263609810.26272,-3296803138.52457,-3330245183.849156,-3363936882.0973883,-3397879134.059882,-3432072803.8173785,-3466518717.0487785,-3501217659.2852383,-3536170374.108772,-3571377561.2938247,-3606839874.890119,-3642557921.2451296,-3678532256.964489,-3714763386.808484,-3751251761.5229173,-3787997775.602384,-3825001764.9841123,-3862264004.6703706,-3899784706.277434,-3937564015.509018,-3975602009.5521035,-4013898694.392908,-4052454002.0508075,-4091267787.7278943,-4130339826.87184,-4169669812.1495695,-4209257350.3293924,-4249101959.0689063,-4289203063.606171,-4329559993.351435,-4370171978.3766575,-4411038145.800069,-4452157516.062793,-4493528999.0947275,-4535151390.366479,-4577023366.824411,-4619143482.705558,-4661510165.229122,-4704121710.161357,-4746976277.2502775,-4790071885.5268345,-4833406408.468942,-4876977569.024727,-4920782934.491274,-4964819911.245088,-5009085739.320339,-5053577486.831009,-5098292044.232793,-5143226118.420689,-5188376226.658068,-5233738690.33289,-5279309628.53673,-5325084951.462125,-5371060353.613777,-5417231306.828928,-5463593053.102246,-5510140597.210509,-5556868699.132233,-5603771866.257299,-5650844345.381744,-5698080114.482585,-5745472874.267681,-5793016039.495483,-5840702730.059521,-5888525761.832451,-5936477637.264405,-5984550535.730447,-6032736303.62184,-6081026444.175902,-6129412107.039221,-6177884077.558973,-6226432765.797283,-6275048195.263344,-6323719991.358458,-6372437369.528875,-6421189123.121759,-6469963610.939477,-6518748744.487756,-6567531974.9133625,-6616300279.627194,-6665040148.608942,-6713737570.389823,-6762378017.710008,-6810946432.8481655,-6859427212.620464,-6907804193.047214,-6956060633.68581,-7004179201.628998,-7052141955.168531,-7099930327.124659,-7147525107.842906,-7194906427.8605,-7242053740.245661,-7288945802.614208,-7335560658.829069,-7381875620.389527,-7427867247.518663,-7473511329.958854,-7518782867.486998,-7563656050.163036,-7608104238.327357,-7652099942.364951,-7695614802.256677,-7738619566.940485,-7781084073.508661,-7822977226.26997,-7864266975.709252,-7904920297.380562,-7944903170.7741995,-7984180558.202071,-8022716383.750718,-8060473512.356597,-8097413729.063333,-8133497718.527137,-8168685044.84272,-8202934131.769103,-8236202243.442401,-8268445465.670468,-8299618687.913411,-8329675586.063192,-8358568606.145616,-8386248949.079138,-8412666556.636446,-8437770098.767432,-8461506962.455567,-8483823242.29439,-8504663732.985966,-8523971923.980107,-8541689996.490507,-8557758823.1432705,-8572117970.533109,-8584705704.984255,-8595459001.836056,-8604313558.597382,-8611203812.340021,-8616062961.72861,-8618822994.113605,-8619414718.14462,-8617767802.393633,-8613810820.511808,-8607471303.479406,-8598675799.545656,-8587349942.494958,-8573418528.916213,-8556805605.194996,-8537434564.991836,-8515228258.015322,-8490109110.945113,-8461999261.407336,-8430820705.952718,-8396495463.036262,-8358945752.045095,-8318094189.468947,-8273864003.353247,-8226179267.219305,-8174965154.676978,-8120148215.991935,-8061656677.902075,-7999420768.002241,-7933373065.033712,-7863448876.421639,-7789586644.398056,-7711728382.028095,-7629820140.418789,-7543812508.332009,-7453661145.339392,-7359327349.546683,-7260778660.770121,-7157989499.865545,-7050941844.685205,-6939625942.861275,-6824041061.282716,-6704196271.735498,-6580111271.706577,-6451817238.801837,-6319357716.586565,-6182789528.9149685,-6042183718.961546,-5897626508.191449,-5749220269.397919,-5597084506.681501,-5441356833.838334,-5282193941.052521,-5119772538.04395,-4954290259.901065,-4785966519.72612,-4615043289.939808,-4441785791.641226,-4266483068.8116508,-4089448421.413179,-3911019668.5999184,-3731559210.384541,-3551453853.2522755,-3371114362.482237,-3190974701.4360304,-3011490915.954464,-2833139620.444812,-2656416041.4654174,-2481831574.8840714,-2309910814.3147287,-2141188011.8828087,-1976202937.8432865,-1815496113.6326168,-1659603404.0674067,-1509049969.12145,-1364343594.5279355,-1225967443.8310022,-1094372302.8241117,-969968420.7685597,-853117091.3322024,-744122159.3979044,-643221686.8142486,-550580059.1645603,-466280864.2130855,-390320917.30111194,-322605844.8602833,-262947658.34528607,-211064749.97620967,-166584710.43813533,-129050298.39429806,-97928774.16852754,-72624639.16484079,-52495596.65389992,-36871273.51785579,-25073931.408978086,-16440077.337174695,-10341600.226026766,-6204867.294810472,-3526176.2879710356,-1882137.3316431288,-933990.4753086721,-425545.08556709887,-175279.88002306456,-64012.922347828106,-20222.699965056283,-5353.452860099209,-1139.0408916220547,-184.22030138461454,-20.985187373049214,-1.5127783766979233,-0.059099987798749934,-0.0009909806659448431,-4.93868477320009e-06,-3.958220576473959e-09,-1.6838534326623807e-13,-4.116308524914306e-20,-3.1837525980627516e-31,-1.2434936030710073e-53,-1.996476117476968e-121,0.0
18.0,2080328050.8217206,2091098215.0806549,2101944283.0393248,2112867038.510881,2123867275.4317515,2134945798.0205889,2146103420.9405975,2157340969.4653587,2168659279.6482286,2180059198.4954453,2191541584.1430087,2203107306.0374985,2214757245.120891,2226492294.0195355,2238313357.23739,2250221351.3536553,2262217205.224926,2274301860.192017,2286476270.291576,2298741402.472661,2311098236.8184056,2323547766.7729435,2336090999.3737593,2348728955.489611,2361462670.064226,2374293192.36592,2387221586.2433615,2400248930.387635,2413376318.6008325,2426604860.071367,2439935679.656222,2453369918.170373,2466908732.68358,2480553296.8248286,2494304801.0946403,2508164453.185514,2522133478.3107667,2536213119.5420566,2550404638.155853,2564709313.9891706,2579128445.8048673,2593663351.666822,2608315369.325322,2623085856.6130123,2637976191.851754,2652987774.270761,2668122024.4364066,2683380384.694089,2698764319.622569,2714275316.501226,2729914885.790642,2745684561.6270223,2761585902.330895,2777620490.930599,2793789935.7011023,2810095870.718644,2826539956.4318156,2843123880.249598,2859849357.147035,2876718130.289098,2893731971.673448,2910892682.792757,2928202095.3172827,2945662071.798455,2963274506.3942313,2981041325.6170063,2998964489.104912,3017045990.41738,3035287857.8558483,3053692155.310545,3072260983.1343393,3090996479.044658,3109900819.054522,3128976218.4338017,3148224932.7018495,3167649258.652678,3187251535.4139466,3207034145.5410357,3226999516.1475635,3247150120.073771,3267488477.0941906,3288017155.1662016,3308738771.7209873,3329655994.998631,3350771545.429028,3372088197.0604677,3393608779.0377455,3415336177.131798,3437273335.32291,3459423257.439638,3481789008.855726,3504373718.2472973,3527180579.4128537,3550212853.158561,3573473869.251544,3596967028.4439707,3620695804.570836,3644663746.724518,3668874481.509273,3693331715.379025,3718039237.06192,3743000920.0753336,3768220725.335096,3793702703.862957,3819450999.596512,3845469852.305872,3871763600.621749,3898336685.179701,3925193651.8855762,3952339155.3074236,3979777962.199352,4007514955.1631427,4035555136.4536552,4063903631.9343433,4092565695.189548,4121546711.8005505,4150852203.7926245,4180487834.2608337,4210459412.182522,4240772897.4250073,4271434405.9572515,4302450215.274818,4333826770.047877,4365570688.002435,4397688766.045562,4430187986.645874,4463075524.481124,4496358753.365315,4530045253.468446,4564142818.842571,4598659465.268663,4633603438.43943,4668983222.494008,4704807548.921407,4741085405.850246,4777826047.743433,4815039005.517285,4852734097.105672,4890921438.49083,4929611455.223624,4968814894.457279,5008542837.519862,5048806713.052128,5089618310.7388115,5130989795.662971,5172933723.314487,5215463055.285709,5258591175.688819,5302331908.331572,5346699534.689971,5391708812.7186165,5437374996.541759,5483713857.070397,5530741703.593483,5578475406.393762,5626932420.44191,5676130810.225452,5726089275.772359,5776827179.932537,5828364576.984164,5880722242.635708,5933921705.4985285,5987985280.109532,6042936101.587803,6098798162.014442,6155596348.62982,6213356483.948466,6272105367.897609,6331870822.092009,6392681736.364553,6454568117.679493,6517561141.563032,6581693206.194454,6646997989.3099575,6713510508.081057,6781267182.139643,6850305899.933055,6920666088.604204,6992388787.604679,7065516726.262416,7140094405.540208,7216168184.237184,7293786369.9024515,7372999314.748392,7453859516.870858,7536421727.104988,7620743061.868159,7706883122.366711,7794904120.569803,7884871012.383052,7976851638.485945,8070916873.331488,8167140782.843462,8265600791.387148,8366377858.633208,8469556666.982151,8575225820.268968,8683478054.524202,8794410461.629774,8908124726.775778,9024727380.698559,9144330067.761799,9267049831.031519,9393009415.594046,9522337591.473488,9655169497.6243,9791647008.60496,9931919125.683458,10076142394.284689,10224481349.866417,10377108994.506115,10534207306.697992,10695967787.10057,10862592043.243088,11034292416.498032,11211292654.959545,11393828636.239754,11582149144.610554,11776516707.384201,11977208495.94783,12184517297.453302,12398752563.822636,12620241545.471186,12849330517.98728,13086386110.951075,13331796749.143744,13585974217.60638,13849355363.379488,14122403948.310251,14405612669.08575,14699505362.666252,15004639417.59395,15321608414.280552,15651045020.385555,15993624170.845306,16350066566.072773,16721142526.402567,17107676246.104698,17510550496.350193,17930711833.521484,18369176377.3852,18827036233.081947,19305466641.87222,19805733958.39366,20329204567.17178,20877354868.69701,21451782486.033134,22054218867.26415,22686543487.857643,23350799891.13389,24049213845.596348,24784213946.285877,25558455045.279736,26374844966.108208,27236575040.880417,28147155110.66669,29110453753.432983,30130744654.97272,31212760223.73628,32361753779.084385,33583571925.726234,34884739079.79683,36272556553.57017,37755219161.665955,39341953015.47499,41043179069.24059,42870708130.92561,44837974534.89884,46960317602.22842,49255322539.92123,51743235763.37942,54447474061.30169,57395252975.73058,60618367837.10468,64154171935.45112,68046811583.747955,72348799206.33415,77123035875.45247,82445438218.55727,88408388002.1379,95125316521.07536,102736877211.10872,111419376700.8728,121396474109.16924,132955702533.54752,146472260783.4049,162444034307.16534,181544438917.51215,204704441190.3946,233244065584.29416,269091353555.57245,315163489982.12836,376066397546.89606,459464828611.8828,578991614789.6215,761103922181.4232,1063674618670.7344,1637633515490.8843,3008523604595.343,8509386178325.208,0.0
