signal,n,win_rate,win_rate_barrier,expectancy,expectancy_R,n_barrier,mae,mfe,avg_duration,sharpe_like,sharpe_R,last_updated
PINNING_RISK,274,0.318,0.305,-0.6448,0.0015,269,-1.7258,1.2975,60,-0.133,0.002,2026-06-25 15:22:01
ZERO_CROSS_UP,245,0.318,0.336,-10.2322,-0.1669,244,-24.9935,15.2746,60,-0.172,-0.159,2026-06-25 14:59:01
VIX_REGIME_CONFIRM,1000,0.454,0.381,-3.421,0.01,1000,-19.2489,16.8389,60,-0.048,0.01,2026-06-25 15:24:01
SWEEP_ACCELERATION,144,0.361,0.254,-1.6402,-0.0185,177,-28.032,22.1716,60,-0.034,-0.02,2026-06-25 15:16:01
CALL_SURGE,134,0.418,0.398,-32.2544,0.0279,133,-76.9614,36.3448,60,-0.329,0.024,2026-06-25 14:41:01
ZERO_CROSS_DOWN,325,0.683,0.543,-9.7723,0.2894,324,-18.0517,26.9131,60,-0.139,0.251,2026-06-25 15:14:01
ZERO_PROXIMITY_RESISTANCE,1000,0.407,0.334,-3.9932,0.0749,1000,-16.9278,17.6589,60,-0.076,0.08,2026-06-25 15:24:01
IMBALANCE_REVERSAL,1000,0.331,0.314,-2.25,-0.0758,1000,-35.3361,36.4517,60,-0.025,-0.072,2026-06-25 15:23:01
DELTA_DIVERGENCE_BEAR,1000,0.338,0.308,-7.5127,0.0351,1000,-20.6718,29.2564,60,-0.103,0.039,2026-06-25 15:24:01
REGIME_TRADE_CONFIRM,1000,0.477,0.403,-9.7976,0.0154,1000,-45.3246,33.0481,60,-0.112,0.014,2026-06-25 15:23:01
FAILED_SQUEEZE,117,0.393,0.257,-6.9257,-0.2035,113,-52.8752,60.1378,60,-0.045,-0.2,2026-06-25 15:15:01
DELTA_DIVERGENCE_BULL,49,0.184,0.204,-1.7571,-0.404,49,-2.982,1.5214,60,-0.333,-0.461,2026-06-25 12:15:21
CHARM_MOMENTUM_EOD,27,0.148,0.259,10.6855,-0.349,27,-24.4937,41.7749,60,0.078,-0.311,2026-06-25 15:05:01
ABSORPTION_REVERSAL,4,0.5,0.75,-46.9375,1.125,4,-7.6875,55.6875,60,-0.897,1.5,2026-06-24 11:37:29
PUT_SURGE,27,0.556,0.333,0.7033,-0.1036,27,-27.1042,9.7858,60,0.028,-0.098,2026-06-24 18:01:37
