Time,MAXGEX,MINGEX,MAXVEX,MINVEX,MAXDEX,MINDEX,ZERO,BAC,SAC,BAP,SAP,MAXCP,MINCP,LONGGAMMA,SHORTGAMMA,LONGCALLS,SHORTCALLS,LONGPUTS,SHORTPUTS,SPOT
2026-04-27 00:44:00,663.0,,665.0,,650.0,688.0,666.61,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,664.63
2026-04-27 00:46:00,663.0,,665.0,,650.0,688.0,666.8,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,664.58
2026-04-27 00:47:00,663.0,,665.0,,650.0,688.0,666.61,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,664.63
2026-04-27 00:49:00,663.0,,665.0,,650.0,688.0,666.76,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,664.59
2026-04-27 00:51:00,663.0,,665.0,,650.0,687.0,667.49,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,664.27
2026-04-27 00:53:00,663.0,,670.0,,650.0,687.0,667.55,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,664.42
2026-04-27 00:55:00,663.0,,665.0,,650.0,688.0,666.82,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,664.55
2026-04-27 00:58:00,663.0,,670.0,,650.0,688.0,667.02,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,664.52
2026-04-27 01:01:00,663.0,,670.0,,650.0,687.0,667.58,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,664.39
2026-04-27 01:06:00,663.0,,670.0,,650.0,687.0,669.11,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,664.13
2026-04-27 01:09:00,663.0,,670.0,,650.0,687.0,669.31,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,664.08
2026-04-27 01:12:00,663.0,,670.0,,650.0,687.0,669.27,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,664.09
2026-04-27 01:15:00,663.0,,670.0,,650.0,687.0,669.67,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,663.99
2026-04-27 01:19:00,663.0,,670.0,,650.0,687.0,669.04,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,664.15
2026-04-27 01:23:00,663.0,,670.0,,650.0,687.0,668.12,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,664.31
2026-04-27 01:26:00,663.0,,670.0,,650.0,687.0,667.91,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,664.35
2026-04-27 01:31:00,663.0,,670.0,,650.0,687.0,669.71,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,663.98
2026-04-27 01:35:00,663.0,,670.0,,650.0,687.0,670.0,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,663.91
2026-04-27 01:39:00,663.0,,670.0,,650.0,687.0,669.44,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,664.05
2026-04-27 01:44:00,663.0,,670.0,,650.0,687.0,669.47,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,664.04
2026-04-27 01:49:00,663.0,,670.0,,650.0,687.0,669.09,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,664.14
2026-04-27 01:56:00,663.0,,670.0,,650.0,687.0,669.13,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,664.13
2026-04-27 02:01:00,663.0,,687.0,,650.0,687.0,663.99,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,663.99
2026-04-27 02:06:00,663.0,,687.0,,650.0,687.0,663.85,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,663.85
2026-04-27 02:12:00,663.0,,686.0,,650.0,686.0,663.46,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,663.46
2026-04-27 02:18:00,663.0,,687.0,,650.0,687.0,663.7,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,663.7
2026-04-27 02:24:00,663.0,,687.0,,650.0,687.0,663.99,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,663.99
2026-04-27 02:30:00,663.0,,687.0,,650.0,687.0,663.77,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,663.77
2026-04-27 02:36:00,663.0,,687.0,,650.0,687.0,663.63,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,663.63
2026-04-27 02:43:00,663.0,,687.0,,650.0,687.0,663.71,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,663.71
2026-04-27 02:49:00,663.0,,687.0,,650.0,687.0,663.77,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,663.77
2026-04-27 02:56:00,663.0,,687.0,,650.0,687.0,663.88,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,663.88
2026-04-27 03:04:00,663.0,,687.0,,650.0,687.0,663.53,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,663.53
2026-04-27 03:11:00,663.0,,686.0,,650.0,670.0,663.13,,,,,657.0,650.0,663.0,670.0,663.0,670.0,663.0,657.0,663.13
