Time,MAXGEX,MINGEX,MAXVEX,MINVEX,MAXDEX,MINDEX,ZERO,BAC,SAC,BAP,SAP,MAXCP,MINCP,LONGGAMMA,SHORTGAMMA,LONGCALLS,SHORTCALLS,LONGPUTS,SHORTPUTS,SPOT

2026-04-27 00:58:00,27700.0,,27500.0,,26700.0,27340.0,26835.47,,,,,27700.0,27100.0,27500.0,27400.0,27600.0,27550.0,27500.0,27400.0,27454.5
2026-04-27 01:01:00,27700.0,,,27400.0,26700.0,27340.0,27597.42,,,,,27700.0,27100.0,27500.0,27400.0,27600.0,27550.0,27500.0,27400.0,27449.75
2026-04-27 01:06:00,27700.0,,,27400.0,26700.0,27340.0,27048.3,,,,,27700.0,27100.0,27500.0,27400.0,27600.0,27550.0,27500.0,27400.0,27439.5
2026-04-27 01:09:00,,27340.0,,27400.0,26700.0,27340.0,26842.07,,,,,27700.0,27100.0,27500.0,27400.0,27600.0,27550.0,27500.0,27400.0,27436.5
2026-04-27 01:12:00,,27340.0,,27400.0,26700.0,27340.0,26855.38,,,,,27700.0,27100.0,27500.0,27400.0,27600.0,27550.0,27500.0,27400.0,27437.0
2026-04-27 01:15:00,,27340.0,,27400.0,26700.0,27340.0,27068.59,,,,,27700.0,27100.0,27500.0,27400.0,27600.0,27550.0,27500.0,27400.0,27434.25
2026-04-27 01:19:00,27700.0,,,27400.0,26700.0,27340.0,26855.75,,,,,27700.0,27100.0,27500.0,27400.0,27600.0,27550.0,27500.0,27400.0,27440.25
2026-04-27 01:23:00,27700.0,,27500.0,,26700.0,27340.0,26863.95,,,,,27700.0,27100.0,27500.0,27400.0,27600.0,27550.0,27500.0,27400.0,27447.25
2026-04-27 01:26:00,27700.0,,27500.0,,26700.0,27340.0,26796.09,,,,,27700.0,27100.0,27500.0,27400.0,27600.0,27550.0,27500.0,27400.0,27448.25
2026-04-27 01:31:00,,27340.0,,27400.0,26700.0,27340.0,26848.19,,,,,27700.0,27100.0,27500.0,27400.0,27600.0,27550.0,27500.0,27400.0,27433.75
2026-04-27 01:35:00,,27340.0,,27400.0,26700.0,27340.0,26855.16,,,,,27700.0,27100.0,27500.0,27400.0,27600.0,27550.0,27500.0,27400.0,27430.5
2026-04-27 01:39:00,,27340.0,,27400.0,26700.0,27340.0,26849.21,,,,,27700.0,27100.0,27500.0,27400.0,27600.0,27550.0,27500.0,27400.0,27436.0
2026-04-27 01:44:00,,27340.0,,27400.0,26700.0,27340.0,26638.89,,,,,27700.0,27100.0,27500.0,27400.0,27600.0,27550.0,27400.0,27400.0,27436.5
2026-04-27 01:49:00,,27340.0,,27400.0,26700.0,27340.0,27599.72,,,,,27700.0,27100.0,27500.0,27400.0,27600.0,27550.0,27400.0,27400.0,27440.0
2026-04-27 01:56:00,,27340.0,,27400.0,26700.0,27340.0,26842.53,,,,,27700.0,27100.0,27500.0,27400.0,27600.0,27550.0,27400.0,27400.0,27439.75
2026-04-27 02:01:00,,27340.0,,27400.0,26700.0,27340.0,27601.26,,,,,27700.0,27100.0,27500.0,27400.0,27600.0,27550.0,27400.0,27400.0,27434.75
2026-04-27 02:06:00,,27340.0,,27400.0,26700.0,27340.0,26620.0,,,,,27700.0,27100.0,27500.0,27400.0,27600.0,27550.0,27400.0,27400.0,27424.5
